============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  20 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   55  2 .3375946E+07   2000000E+02  .2887E+07  .1228E+07   .9998941 -.0144843  .0013955
T   56  2 .3386192E+07   2000000E+02  .1251E+07 -.5286E+06   .9997735  .0193958 -.0087659
T   57  2 .3310461E+07   2000000E+02 -.3028E+07  .1684E+07   .9995339 -.0268132  .0145930
T   58  2 .3405624E+07   2000000E+02 -.2472E+07  .1588E+07   .9996379 -.0260110  .0068880
T   59  2 .3388152E+07   2000000E+02  .3229E+07 -.6486E+06   .9986272  .0466492 -.0238220
T   60  2 .3329277E+07   2000000E+02 -.1096E+07  .1937E+07   .9995193 -.0209630  .0228393
T   61  2 .3293334E+07   2000000E+02 -.4692E+06 -.4966E+05   .9999431 -.0088932 -.0058839
T   62  2 .3352759E+07   2000000E+02 -.3461E+07 -.9554E+06   .9999386 -.0084196 -.0072062
T   63  2 .3327874E+07   2000000E+02 -.1777E+07  .6972E+06   .9996908 -.0224173  .0107577
T   64  2 .3342375E+07   2000000E+02  .7016E+06  .6556E+06   .9999422 -.0020990  .0105447
T   65  2 .3392369E+07   2000000E+02  .6037E+06 -.5213E+06   .9999701  .0027402 -.0072255
T   66  2 .3394560E+07   2000000E+02 -.2687E+06  .2331E+07   .9998261 -.0119492  .0143205
T   67  2 .3280318E+07   2000000E+02 -.2483E+07  .4042E+06   .9999091 -.0079151  .0109112
T   68  2 .3306002E+07   2000000E+02 -.5465E+06  .6377E+06   .9996053 -.0272507  .0068337
T   69  2 .3329753E+07   2000000E+02  .3397E+07 -.1257E+07   .9995946  .0270559 -.0088707
T   70  2 .3326364E+07   2000000E+02 -.2051E+07  .2531E+07   .9995002 -.0182281  .0258287
T   71  2 .3302287E+07   2000000E+02 -.1927E+07  .6011E+06   .9999666 -.0071192  .0040145
T   72  2 .3311007E+07   2000000E+02  .9678E+05 -.1239E+07   .9999939  .0002250 -.0034810
T   73  2 .3334488E+07   2000000E+02 -.1884E+07  .2364E+07   .9994942 -.0232941  .0216480
T   74  2 .3334732E+07   2000000E+02 -.8632E+06 -.2445E+07   .9997192 -.0132330 -.0196564
T   75  2 .3333731E+07   2000000E+02  .3787E+06 -.1997E+06   .9996447  .0264643  .0031910
T   76  2 .3336402E+07   2000000E+02 -.2021E+06  .4329E+06   .9998681  .0146794  .0069538
T   77  2 .3365530E+07   2000000E+02 -.5373E+06 -.2353E+07   .9998518 -.0137557 -.0103562
T   78  2 .3357800E+07   2000000E+02  .8494E+06  .1960E+07   .9999826  .0042561  .0040814
T   79  2 .3347380E+07   2000000E+02 -.5746E+06  .2483E+07   .9997698 -.0060638  .0205813
T   80  2 .3335172E+07   2000000E+02  .7603E+05 -.3895E+06   .9999969  .0025089  .0000644
T   81  2 .3297861E+07   2000000E+02  .7810E+06 -.2270E+06   .9997375  .0199757  .0112187
T   82  2 .3352939E+07   2000000E+02  .1716E+07 -.2699E+07   .9997189  .0079041 -.0223532
T   83  2 .3316699E+07   2000000E+02  .1900E+07 -.8364E+06   .9998370  .0179345  .0020600
T   84  2 .3275929E+07   2000000E+02  .1489E+07  .2766E+06   .9998551  .0152971 -.0074721
T   85  2 .3351665E+07   2000000E+02 -.4784E+06  .4946E+06   .9999569 -.0039643  .0083902
T   86  2 .3335224E+07   2000000E+02 -.3727E+06 -.3488E+06   .9999554 -.0094282  .0006190
T   87  2 .3350995E+07   2000000E+02  .2735E+05  .1555E+07   .9998880 -.0022063  .0148014
T   88  2 .3341809E+07   2000000E+02  .5056E+06 -.3996E+06   .9998449  .0103816 -.0142282
T   89  2 .3336307E+07   2000000E+02  .8800E+06 -.1290E+06   .9996464  .0235879 -.0122777
T   90  2 .3358200E+07   2000000E+02  .7258E+06 -.1240E+07   .9999289 -.0052774 -.0106957
T   91  2 .3328544E+07   2000000E+02  .2950E+07  .6981E+06   .9998314  .0170648  .0067863
T   92  2 .3330509E+07   2000000E+02  .4041E+06 -.1593E+07   .9999776  .0018583 -.0064308
T   93  2 .3336921E+07   2000000E+02  .3619E+07 -.1876E+07   .9993159  .0369314 -.0019265
T   94  2 .3334520E+07   2000000E+02 -.4251E+07 -.1399E+07   .9983596 -.0567223 -.0077893
T   95  2 .3303486E+07   2000000E+02  .1169E+07  .1683E+06   .9998432  .0173922 -.0033185
T   96  2 .3336181E+07   2000000E+02 -.7563E+06 -.5425E+07   .9990289  .0104449 -.0428026
T   97  2 .3301236E+07   2000000E+02 -.2225E+07  .1575E+07   .9995315 -.0244188  .0184551
T   98  2 .3355987E+07   2000000E+02 -.2092E+07  .1747E+07   .9995302 -.0254866  .0170261
T   99  2 .3331076E+07   2000000E+02  .6708E+05  .3465E+05   .9999858 -.0053203  .0000405
T  100  2 .3389474E+07   2000000E+02  .3037E+07  .1713E+07   .9996762  .0187739  .0171773
T  101  2 .3390096E+07   2000000E+02 -.5907E+05 -.1376E+07   .9998805  .0090136 -.0125558
T  102  2 .3383751E+07   2000000E+02 -.1814E+07 -.3125E+07   .9997593 -.0062225 -.0210379
T  103  2 .3359647E+07   2000000E+02 -.8998E+06  .3339E+07   .9982970 -.0447418  .0374349
T  104  2 .3355708E+07   2000000E+02  .1460E+05 -.1481E+07   .9997541 -.0035310 -.0218916
T  105  2 .3343885E+07   2000000E+02  .1607E+07 -.3964E+07   .9995401  .0026842 -.0302067
T  106  2 .3328244E+07   2000000E+02 -.1277E+06 -.2261E+07   .9992638 -.0089750 -.0373009
T  107  2 .3256888E+07   2000000E+02 -.1156E+07 -.1911E+06   .9998274 -.0179228  .0048912
T  108  2 .3318201E+07   2000000E+02  .2800E+07  .2609E+07   .9996060  .0094417  .0264334
T  109  2 .3333177E+07   2000000E+02  .1105E+07 -.1272E+07   .9999551  .0056484 -.0076119
T  110  2 .3337005E+07   2000000E+02  .2322E+07  .2926E+06   .9998275  .0143898  .0117426
T  111  2 .3334764E+07   2000000E+02 -.2176E+07  .1005E+06   .9996965 -.0243166  .0039630
T  112  2 .3290861E+07   2000000E+02  .1866E+07 -.2464E+07   .9994881  .0217876 -.0234252
T  113  2 .3381292E+07   2000000E+02 -.1126E+07 -.4584E+05   .9999132 -.0125653  .0039587
T  114  2 .3277580E+07   2000000E+02 -.1736E+06 -.3073E+07   .9996876 -.0033432 -.0247706
T  115  2 .3345423E+07   2000000E+02 -.5812E+06  .7972E+06   .9999834 -.0042587 -.0038812
T  116  2 .3318713E+07   2000000E+02 -.1109E+07  .8713E+06   .9997844 -.0170666  .0118264
T  117  2 .3336075E+07   2000000E+02  .8694E+05 -.1108E+06   .9999862 -.0034322  .0039801
T  118  2 .3357330E+07   2000000E+02 -.1495E+07 -.1396E+07   .9998078 -.0185969 -.0062124
T  119  2 .3411883E+07   2000000E+02  .9381E+06 -.2955E+06   .9999567  .0021363 -.0090556
T  120  2 .3384596E+07   2000000E+02  .9834E+06  .6274E+06   .9997790  .0126045  .0168257
T  121  2 .3316365E+07   2000000E+02 -.3093E+07 -.4147E+06   .9994018 -.0344589 -.0029231
