============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  17 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .3720351E+07   1700000E+02 -.8457E+06 -.5844E+06   .9998437 -.0104693 -.0142496
T    2  2 .3700300E+07   1700000E+02 -.5539E+06 -.1665E+07   .9994934 -.0258439 -.0185755
T    3  2 .3731277E+07   1700000E+02  .1282E+07 -.1119E+07   .9996558  .0233750 -.0119121
T    4  2 .3725222E+07   1700000E+02 -.2555E+05 -.3841E+06   .9999641  .0027050 -.0080313
T    5  2 .3700686E+07   1700000E+02 -.2440E+06 -.2067E+06   .9999125 -.0129532  .0026762
T    6  2 .3736394E+07   1700000E+02 -.4952E+04 -.2841E+07   .9996257 -.0041839 -.0270364
T    7  2 .3674245E+07   1700000E+02 -.6544E+06 -.3051E+05   .9998331 -.0182124 -.0014276
T    8  2 .3739058E+07   1700000E+02 -.2880E+06  .2014E+07   .9994217  .0023029  .0339269
T    9  2 .3709463E+07   1700000E+02 -.7621E+06 -.9111E+06   .9999137 -.0114226 -.0064973
T   10  2 .3677185E+07   1700000E+02 -.2986E+06 -.5606E+06   .9999395  .0109008 -.0014798
T   11  2 .3725415E+07   1700000E+02  .2865E+06  .1474E+07   .9997642  .0044432  .0212570
T   12  2 .3750663E+07   1700000E+02 -.2152E+06  .1535E+07   .9998529 -.0112116  .0129834
T   13  2 .3717572E+07   1700000E+02  .1026E+06 -.7447E+06   .9999703  .0048372 -.0059923
T   14  2 .3703058E+07   1700000E+02  .5348E+06 -.8095E+05   .9999201  .0087633 -.0091067
T   15  2 .3725038E+07   1700000E+02  .2558E+05  .1321E+07   .9999351 -.0042866  .0105530
T   16  2 .3685702E+07   1700000E+02  .3771E+05 -.6892E+06   .9999030 -.0103345  .0093392
T   17  2 .3694920E+07   1700000E+02  .8912E+05  .9455E+06   .9998608 -.0065189  .0153568
T   18  2 .3690129E+07   1700000E+02 -.1808E+06  .6830E+06   .9999428 -.0079753 -.0071251
T   19  2 .3722038E+07   1700000E+02 -.2213E+07  .7400E+06   .9996986 -.0236077  .0067375
T   20  2 .3725205E+07   1700000E+02  .1240E+07  .1056E+07   .9995413  .0240800  .0183676
T   21  2 .3708375E+07   1700000E+02 -.4762E+06  .1246E+07   .9999460 -.0098212  .0033824
T   22  2 .3716653E+07   1700000E+02  .1184E+07  .1016E+07   .9998632  .0142856  .0083408
T   23  2 .3713342E+07   1700000E+02  .3307E+06  .1946E+06   .9999704  .0035556  .0068219
T   24  2 .3673711E+07   1700000E+02  .1597E+06  .2167E+06   .9999765  .0022050  .0064926
T   25  2 .3711188E+07   1700000E+02 -.1060E+07  .2284E+07   .9996199 -.0132205  .0241905
T   26  2 .3681493E+07   1700000E+02 -.8974E+06  .2012E+07   .9998198 -.0164491  .0094758
T   27  2 .3764012E+07   1700000E+02 -.1123E+05  .1693E+07   .9997433 -.0092642  .0206779
T   28  2 .3701946E+07   1700000E+02 -.4522E+06  .1330E+07   .9999077  .0015626  .0134950
T   29  2 .3670535E+07   1700000E+02 -.3185E+07  .5578E+06   .9996561 -.0247830  .0085723
T   30  2 .3691575E+07   1700000E+02  .8050E+06 -.8238E+06   .9999853  .0053334  .0009916
T   31  2 .3691499E+07   1700000E+02  .1433E+07 -.2933E+07   .9994977  .0112809 -.0296152
T   32  2 .3695599E+07   1700000E+02 -.6100E+06 -.2301E+06   .9999938 -.0033130  .0011962
T   33  2 .3686730E+07   1700000E+02  .1491E+06  .2813E+07   .9995924 -.0027174  .0284195
T   34  2 .3740247E+07   1700000E+02  .1107E+07  .1151E+07   .9998538  .0150849  .0080542
T   35  2 .3730682E+07   1700000E+02 -.2967E+07 -.2058E+07   .9990883 -.0357497 -.0233349
T   36  2 .3682770E+07   1700000E+02 -.1700E+07  .1564E+07   .9995527 -.0165478  .0249116
T   37  2 .3657424E+07   1700000E+02 -.5810E+06 -.9452E+06   .9999263 -.0058893 -.0106187
T   38  2 .3760946E+07   1700000E+02  .6187E+06  .2644E+06   .9999364  .0100554  .0051022
T   39  2 .3702942E+07   1700000E+02 -.4919E+07 -.4329E+07   .9942125 -.0671952 -.0838237
T   40  2 .3678324E+07   1700000E+02  .1366E+06 -.1030E+07   .9999545  .0064962 -.0069857
T   41  2 .3749701E+07   1700000E+02  .1814E+06  .2320E+06   .9999812  .0052578 -.0031553
T   42  2 .3712079E+07   1700000E+02 -.1443E+07 -.1753E+06   .9999312  .0049329 -.0106422
T   43  2 .3743874E+07   1700000E+02 -.1480E+07 -.4710E+06   .9999430 -.0083537 -.0066546
T   44  2 .3731308E+07   1700000E+02 -.1188E+07 -.9775E+06   .9999830 -.0047686 -.0033657
T   45  2 .3726574E+07   1700000E+02  .1254E+07 -.5153E+06   .9999702  .0055912 -.0053297
T   46  2 .3726814E+07   1700000E+02 -.2939E+06  .1968E+06   .9999508 -.0085970 -.0049474
T   47  2 .3740269E+07   1700000E+02 -.1075E+07 -.2689E+07   .9996468 -.0104048 -.0244527
T   48  2 .3673201E+07   1700000E+02  .3636E+06 -.9133E+06   .9999184  .0107513 -.0068955
T   49  2 .3720954E+07   1700000E+02  .1051E+07  .6766E+06   .9998501  .0150054  .0086417
T   50  2 .3736457E+07   1700000E+02 -.5178E+06 -.1683E+06   .9999377 -.0087406  .0069374
T   51  2 .3695782E+07   1700000E+02 -.1135E+07  .8164E+06   .9998423 -.0143827  .0104192
T   52  2 .3687517E+07   1700000E+02  .8877E+06  .1166E+07   .9999168  .0073652  .0105937
T   53  2 .3686092E+07   1700000E+02  .7195E+06  .1093E+06   .9999687  .0078678  .0008229
T   54  2 .3701065E+07   1700000E+02 -.1336E+07 -.5899E+05   .9985146 -.0542319 -.0052407
T   55  2 .3710548E+07   1700000E+02 -.1966E+07 -.3405E+06   .9995814 -.0259593 -.0127694
T   56  2 .3711388E+07   1700000E+02 -.1162E+06 -.9834E+05   .9999615 -.0065228  .0058726
T   57  2 .3763370E+07   1700000E+02 -.3423E+06  .4547E+06   .9999081  .0012287  .0135015
T   58  2 .3710072E+07   1700000E+02 -.9530E+06  .2106E+07   .9997179 -.0109327  .0210840
T   59  2 .3708918E+07   1700000E+02 -.3407E+06 -.1025E+07   .9999296 -.0110462 -.0043332
T   60  2 .3699743E+07   1700000E+02 -.1385E+06 -.5343E+06   .9999461 -.0076995  .0069613
T   61  2 .3721886E+07   1700000E+02 -.1216E+07  .7890E+06   .9998043 -.0197020 -.0017833
T   62  2 .3707070E+07   1700000E+02  .7463E+06  .1411E+07   .9999608  .0017587  .0086836
T   63  2 .3712278E+07   1700000E+02 -.1100E+05 -.4234E+05   .9999511  .0017560  .0097360
T   64  2 .3702342E+07   1700000E+02 -.4493E+05 -.9703E+06   .9998941 -.0098844 -.0106818
T   65  2 .3736629E+07   1700000E+02 -.7074E+06 -.1669E+07   .9998886 -.0136601 -.0060177
T   66  2 .3694097E+07   1700000E+02 -.4565E+06 -.6291E+06   .9997120 -.0207050 -.0121322
T   67  2 .3714283E+07   1700000E+02  .6022E+06 -.1687E+07   .9999883  .0044375  .0019113
T   68  2 .3720564E+07   1700000E+02 -.6054E+05 -.3343E+06   .9999464 -.0058232 -.0085641
T   69  2 .3698180E+07   1700000E+02  .1484E+07  .1082E+07   .9998307  .0121323  .0138317
T   70  2 .3669263E+07   1700000E+02 -.1588E+07 -.3105E+06   .9998559 -.0163172 -.0046846
T   71  2 .3744809E+07   1700000E+02  .6844E+06  .2872E+06   .9999972  .0016277 -.0017098
T   72  2 .3716173E+07   1700000E+02 -.1563E+07  .1117E+07   .9999392 -.0103338  .0038442
T   73  2 .3733554E+07   1700000E+02  .1999E+06 -.3360E+06   .9996436  .0232658 -.0130925
T   74  2 .3652620E+07   1700000E+02  .9121E+06 -.7798E+05   .9999651  .0077092 -.0032065
T   75  2 .3681892E+07   1700000E+02  .2786E+06  .1122E+07   .9999621 -.0025796  .0083130
T   76  2 .3723788E+07   1700000E+02 -.3268E+06 -.7195E+05   .9999843 -.0055777  .0004637
T   77  2 .3658951E+07   1700000E+02  .8796E+06 -.5643E+06   .9996762  .0254360 -.0006499
T   78  2 .3737035E+07   1700000E+02 -.4045E+06 -.1490E+07   .9997305 -.0143145 -.0182760
T   79  2 .3702698E+07   1700000E+02  .9435E+06 -.3357E+05   .9998702  .0160229  .0016894
T   80  2 .3778210E+07   1700000E+02 -.1137E+07  .1636E+07   .9996694 -.0193927  .0168853
T   81  2 .3719683E+07   1700000E+02  .3825E+07 -.3189E+07   .9993600  .0258976 -.0246774
T   82  2 .3707123E+07   1700000E+02  .6588E+06  .2178E+06   .9999975  .0022233  .0000192
T   83  2 .3711232E+07   1700000E+02 -.1408E+07  .1325E+07   .9996874 -.0212562  .0131618
T   84  2 .3692795E+07   1700000E+02  .2131E+06  .3299E+06   .9999488  .0059554 -.0081800
T   85  2 .3737501E+07   1700000E+02 -.1261E+06 -.1959E+06   .9999286  .0114555 -.0034105
T   86  2 .3723091E+07   1700000E+02 -.9181E+06 -.1349E+06   .9998435 -.0169080 -.0052121
T   87  2 .3747269E+07   1700000E+02 -.1322E+06  .1004E+07   .9998166 -.0101046  .0162677
T   88  2 .3729345E+07   1700000E+02  .1758E+07 -.3415E+06   .9995760  .0256802  .0137257
T   89  2 .3753402E+07   1700000E+02  .3437E+06 -.5255E+06   .9999264  .0097944 -.0071541
T   90  2 .3727100E+07   1700000E+02 -.1172E+07 -.2010E+07   .9996875 -.0189693 -.0162808
T   91  2 .3756531E+07   1700000E+02 -.9943E+06  .1162E+07   .9997891 -.0124862  .0163028
T   92  2 .3702542E+07   1700000E+02  .1744E+07  .4256E+06   .9995818  .0189435  .0218477
T   93  2 .3699407E+07   1700000E+02 -.4091E+07  .2118E+07   .9996490 -.0239162  .0114000
T   94  2 .3697983E+07   1700000E+02 -.1632E+07 -.9479E+06   .9996172 -.0253506 -.0110834
T   95  2 .3704906E+07   1700000E+02 -.9730E+06  .3157E+06   .9999976 -.0020043 -.0008643
T   96  2 .3692039E+07   1700000E+02 -.4315E+06 -.8624E+06   .9999263 -.0077055  .0093846
T   97  2 .3696218E+07   1700000E+02  .5123E+06  .6892E+06   .9999688  .0062853 -.0047888
T   98  2 .3745084E+07   1700000E+02  .3666E+06 -.6030E+06   .9999254  .0120974 -.0017090
T   99  2 .3703804E+07   1700000E+02 -.9210E+06 -.7631E+06   .9999789 -.0054097 -.0036071
T  100  2 .3757709E+07   1700000E+02  .1414E+07 -.2976E+06   .9998978  .0140471 -.0026474
T  101  2 .3705295E+07   1700000E+02 -.1290E+07 -.3453E+06   .9999588 -.0089221  .0016599
T  102  2 .3656912E+07   1700000E+02 -.1041E+05  .8591E+06   .9999945  .0014248  .0030107
T  103  2 .3746488E+07   1700000E+02  .1691E+07  .1170E+07   .9997448  .0198510  .0107797
T  104  2 .3687272E+07   1700000E+02 -.2093E+07  .2771E+07   .9997128 -.0164566  .0174198
T  105  2 .3736409E+07   1700000E+02  .1058E+07 -.1056E+06   .9997537  .0122646 -.0184944
T  106  2 .3745158E+07   1700000E+02 -.1194E+07 -.1342E+07   .9997163 -.0214562 -.0103386
T  107  2 .3719537E+07   1700000E+02  .2579E+06  .2503E+06   .9999676  .0077084  .0023313
T  108  2 .3748826E+07   1700000E+02 -.5974E+04 -.2138E+06   .9999786 -.0011039 -.0064558
T  109  2 .3744944E+07   1700000E+02 -.1134E+05  .1958E+06   .9999788  .0009544  .0064476
T  110  2 .3748980E+07   1700000E+02 -.1549E+07 -.2158E+06   .9999643 -.0084408 -.0002531
T  111  2 .3689997E+07   1700000E+02 -.7816E+06  .1431E+07   .9997577 -.0204485  .0081496
