============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  25 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .2639309E+07   2500000E+02 -.2205E+07 -.1797E+07   .9997704 -.0169925 -.0130560
T    2  2 .2669124E+07   2500000E+02 -.1654E+07 -.1133E+07   .9994980 -.0301738  .0096550
T    3  2 .2616030E+07   2500000E+02 -.9219E+06 -.3367E+06   .9999870  .0047657  .0018362
T    4  2 .2645955E+07   2500000E+02 -.9400E+05 -.3287E+07   .9994930  .0029216 -.0317061
T    5  2 .2660145E+07   2500000E+02  .8983E+06  .1750E+07   .9995880  .0078191  .0276178
T    6  2 .2474569E+07   2500000E+02  .1275E+08 -.6419E+07   .9617125  .2590330 -.0895043
T    7  2 .2640745E+07   2500000E+02  .3458E+07  .2637E+07   .9994354  .0207317  .0264384
T    8  2 .2740693E+07   2500000E+02  .6351E+06 -.2563E+07   .9999644  .0083421  .0012485
T    9  2 .2687009E+07   2500000E+02  .3176E+06  .3517E+07   .9997592  .0018423  .0218685
T   10  2 .2736396E+07   2500000E+02 -.2194E+07 -.8208E+06   .9999149 -.0126224 -.0032881
T   11  2 .2733262E+07   2500000E+02 -.2045E+07  .2116E+07   .9997196 -.0160599  .0174008
T   12  2 .2552156E+07   2500000E+02  .1991E+07 -.3580E+07   .9997775  .0182246 -.0106260
T   13  2 .2675643E+07   2500000E+02 -.6329E+06  .3050E+06   .9998898 -.0117214  .0091155
T   14  2 .2651873E+07   2500000E+02 -.2586E+07 -.1220E+07   .9998047 -.0186908  .0064266
T   15  2 .2664466E+07   2500000E+02 -.4925E+07  .5751E+06   .9994057 -.0336994  .0072549
T   16  2 .2604016E+07   2500000E+02 -.2825E+06 -.1822E+06   .9992804  .0368541  .0089669
T   17  2 .2649543E+07   2500000E+02 -.2815E+07 -.4535E+03   .9996258 -.0193461  .0193404
T   18  2 .2642047E+07   2500000E+02  .2764E+06 -.3554E+06   .9999549  .0057440 -.0075689
T   19  2 .2625931E+07   2500000E+02 -.3260E+06  .3858E+06   .9998396 -.0057062  .0169762
T   20  2 .2580574E+07   2500000E+02  .1166E+05  .1093E+07   .9994537  .0177801  .0278592
