============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  222  2 .3698670E+07   1440021E-01 -.3568E+03  .1327E+04   .9994262 -.0026692  .0337663
T  223  2 .3664002E+07   1440004E-01  .5352E+03 -.2144E+03   .9999629  .0049503 -.0070430
T  224  2 .3685150E+07   1440009E-01  .1528E+03 -.2879E+03   .9999881  .0043154 -.0022718
T  225  2 .3672180E+07   1440009E-01  .8748E+03  .2254E+03   .9997547  .0148828  .0164041
T  226  2 .3699454E+07   1440004E-01 -.1384E+03 -.5065E+02   .9999911  .0022807 -.0035373
T  227  2 .3689115E+07   1440018E-01 -.7223E+03 -.3243E+03   .9998271 -.0166665 -.0082463
T  228  2 .3701945E+07   1440008E-01  .7942E+03 -.1377E+04   .9995088  .0211583 -.0231172
T  229  2 .3675204E+07   1440012E-01  .2878E+03 -.3275E+03   .9999711  .0073579 -.0019137
T  230  2 .3712879E+07   1440005E-01  .9028E+02 -.2002E+03   .9999643 -.0078723  .0030761
T  231  2 .3670456E+07   1440018E-01  .1762E+04 -.1751E+04   .9989746  .0374915 -.0253814
T  232  2 .3735209E+07   1440018E-01 -.2523E+03  .7902E+03   .9998964 -.0074608  .0123083
T  233  2 .3694887E+07   1440016E-01  .7542E+03 -.1121E+03   .9999554  .0091099  .0024986
T  234  2 .3719795E+07   1440004E-01 -.7246E+03  .2109E+04   .9994639 -.0081117  .0317198
T  235  2 .3627895E+07   1440018E-01 -.1822E+04  .6704E+03   .9996996  .0184432 -.0161398
T  236  2 .3731450E+07   1440015E-01  .1200E+04 -.7390E+03   .9999460  .0101141  .0023687
T  237  2 .3674947E+07   1440006E-01 -.2031E+03  .2234E+03   .9999944  .0004888  .0033045
T  238  2 .3690560E+07   1440008E-01  .6567E+03  .1273E+04   .9998641  .0016406  .0164054
T  239  2 .3707692E+07   1440020E-01  .3068E+03  .3997E+03   .9997870  .0152561  .0139005
T  240  2 .3656981E+07   1440008E-01 -.1971E+03 -.6963E+03   .9999463 -.0095931  .0039278
T  241  2 .3647426E+07   1440015E-01 -.5747E+02 -.5265E+02   .9999740 -.0042651  .0058223
T  242  2 .3638923E+07   1440005E-01 -.1376E+04  .4715E+03   .9998846 -.0142313  .0053083
T  243  2 .3634959E+07   1440020E-01 -.4531E+02 -.6783E+03   .9999640 -.0048733 -.0069412
T  244  2 .3707972E+07   1440000E-01 -.8491E+03  .6901E+03   .9999483 -.0095772  .0034122
T  245  2 .3727107E+07   1440001E-01  .4909E+03  .3462E+03   .9999830  .0058258  .0003618
T  246  2 .3676931E+07   1440019E-01  .1410E+04  .2259E+03   .9999130  .0128401  .0030092
T  247  2 .3709164E+07   1440011E-01  .1334E+04 -.2358E+04   .9998012 -.0008111 -.0199245
T  248  2 .3679131E+07   1440012E-01  .7187E+03  .4225E+03   .9999757  .0059120  .0036969
T  249  2 .3676566E+07   1440005E-01  .1113E+03  .1209E+04   .9978890 -.0303252  .0574268
T  250  2 .3704572E+07   1440000E-01 -.4653E+03 -.3714E+03   .9999742 -.0042071 -.0058288
T  251  2 .3718854E+07   1440011E-01  .9009E+03 -.2857E+03   .9999118  .0125536 -.0043423
T  252  2 .3656219E+07   1440021E-01  .2304E+03  .3974E+02   .9999696  .0071442 -.0031087
T  253  2 .3674148E+07   1440014E-01  .1880E+04 -.2672E+03   .9994896  .0302293 -.0103348
T  254  2 .3709020E+07   1440013E-01  .1001E+04 -.4550E+03   .9999297  .0118012 -.0011880
T  255  2 .3682748E+07   1440013E-01 -.1033E+02  .3791E+03   .9999200  .0098620  .0079184
T  256  2 .3746303E+07   1440006E-01 -.1490E+03  .1028E+04   .9999247 -.0048600  .0112677
T  257  2 .3718496E+07   1440008E-01 -.5404E+03 -.9118E+03   .9998819 -.0116564 -.0100131
T  258  2 .3641652E+07   1440005E-01 -.2262E+03  .1226E+04   .9999632  .0000223  .0085801
T  259  2 .3702541E+07   1440020E-01 -.1938E+02  .3271E+03   .9999827  .0053105  .0025306
T  260  2 .3655858E+07   1440004E-01 -.3712E+04 -.1162E+04   .9992643 -.0349814 -.0157218
T  261  2 .3662131E+07   1440010E-01  .4282E+03  .5078E+03   .9999920  .0003171  .0039881
T  262  2 .3687765E+07   1440020E-01 -.7018E+03  .3613E+03   .9999658  .0018033  .0080686
T  263  2 .3675525E+07   1440004E-01 -.7836E+03  .4094E+03   .9998666 -.0161170  .0026334
T  264  2 .3651751E+07   1440004E-01  .1396E+03  .1156E+04   .9998288  .0048754  .0178488
T  265  2 .3661474E+07   1440015E-01  .4286E+03 -.1772E+04   .9997603  .0086833 -.0200977
T  266  2 .3708191E+07   1440009E-01 -.1363E+04  .5806E+03   .9998434 -.0175603  .0022113
T  267  2 .3699884E+07   1440003E-01 -.6800E+02  .5602E+03   .9999777 -.0050885  .0043313
T  268  2 .3703631E+07   1440021E-01 -.2017E+04  .3383E+04   .9979049 -.0409483  .0500904
T  269  2 .3694286E+07   1440020E-01 -.1124E+04  .2499E+02   .9999102 -.0130325 -.0031343
T  270  2 .3669581E+07   1440002E-01 -.4746E+03 -.1033E+04   .9998371 -.0125907 -.0129294
T  271  2 .3667553E+07   1440016E-01 -.1302E+04 -.2903E+04   .9993621 -.0163537 -.0317476
T  272  2 .3632002E+07   1440015E-01  .2016E+03  .7658E+03   .9999072  .0103711  .0088362
T  273  2 .3736056E+07   1440017E-01 -.7996E+03 -.4847E+03   .9999512 -.0098741 -.0001258
T  274  2 .3657106E+07   1440014E-01 -.1011E+03  .1001E+04   .9992062  .0094244  .0387057
T  275  2 .3662223E+07   1440021E-01 -.1012E+04  .1374E+03   .9999106 -.0129220  .0034381
T  276  2 .3713982E+07   1440011E-01  .1545E+03  .6287E+03   .9999822 -.0011253  .0058676
T  277  2 .3665999E+07   1440006E-01 -.1136E+04 -.5134E+03   .9999756 -.0002290 -.0069797
T  278  2 .3750493E+07   1440000E-01  .2696E+03  .3356E+03   .9999616 -.0001114 -.0087631
T  279  2 .3697308E+07   1440019E-01  .5639E+03  .4518E+02   .9999932  .0036883  .0001005
T  280  2 .3677305E+07   1440016E-01 -.1462E+04 -.7546E+03   .9998132 -.0128424 -.0144438
T  281  2 .3674308E+07   1440003E-01 -.3646E+04 -.1844E+04   .9994946 -.0281089 -.0148490
T  282  2 .3674496E+07   1440010E-01 -.1139E+03  .1281E+03   .9999905 -.0004519  .0043277
T  283  2 .3644718E+07   1440000E-01 -.4857E+03  .1207E+04   .9999412  .0009352  .0108031
T  284  2 .3719801E+07   1440017E-01  .2792E+04 -.1365E+04   .9995486  .0262317 -.0146436
T  285  2 .3658277E+07   1440006E-01  .4287E+03  .2765E+03   .9999757  .0069705  .0002427
T  286  2 .3630181E+07   1440000E-01 -.7913E+03  .8933E+03   .9998373 -.0128153  .0126959
T  287  2 .3709601E+07   1440017E-01 -.1449E+03 -.6182E+03   .9998498 -.0129394 -.0115346
T  288  2 .3685985E+07   1440001E-01 -.1042E+04 -.4348E+03   .9998982 -.0032986 -.0138824
T  289  2 .3680813E+07   1440012E-01 -.1423E+03 -.1385E+03   .9999956  .0013787  .0026211
T  290  2 .3663716E+07   1440005E-01  .1113E+04  .6252E+02   .9998937  .0123567  .0077360
T  291  2 .3720376E+07   1440014E-01 -.1585E+04  .2683E+03   .9997302 -.0221943  .0068552
T  292  2 .3654661E+07   1440002E-01 -.1748E+04 -.9202E+03   .9998445 -.0157301 -.0079753
T  293  2 .3670845E+07   1440014E-01  .3024E+03 -.3703E+03   .9999899  .0044332  .0006887
T  294  2 .3684649E+07   1440021E-01  .4815E+03  .1546E+04   .9998520  .0070506  .0156950
T  295  2 .3661272E+07   1440019E-01  .1178E+04  .1221E+04   .9999535  .0089197  .0036711
T  296  2 .3595410E+07   1440017E-01 -.6842E+03 -.3126E+03   .9999374 -.0111317 -.0011131
T  297  2 .3644080E+07   1440020E-01 -.7804E+03 -.8010E+01   .9999796  .0047277 -.0043049
T  298  2 .3683414E+07   1440001E-01  .2864E+03 -.1435E+04   .9987510  .0247995 -.0433744
T  299  2 .3676541E+07   1440006E-01 -.2265E+03  .8238E+03   .9999704  .0032470  .0069731
T  300  2 .3715738E+07   1440020E-01  .7564E+03 -.7316E+03   .9999305  .0079903 -.0086667
T  301  2 .3693814E+07   1440021E-01 -.6998E+03 -.4448E+03   .9998197 -.0189811  .0006111
T  302  2 .3598634E+07   1440001E-01 -.6749E+03 -.4016E+03   .9998596 -.0147669 -.0079259
T  303  2 .3691811E+07   1440005E-01 -.7210E+03  .2755E+03   .9999800 -.0062078  .0012418
T  304  2 .3734041E+07   1440006E-01  .9531E+03 -.5362E+03   .9999172  .0114451 -.0058907
T  305  2 .3705871E+07   1440020E-01  .1098E+04 -.8469E+03   .9999742  .0048863 -.0052614
T  306  2 .3705381E+07   1440021E-01  .1719E+04 -.1064E+04   .9996803  .0217065 -.0129698
T  307  2 .3679792E+07   1440022E-01  .2664E+03  .9507E+03   .9999564  .0044883  .0081942
T  308  2 .3694250E+07   1440003E-01  .8107E+02 -.6387E+03   .9999536  .0035740 -.0089422
T  309  2 .3669095E+07   1440012E-01  .4022E+03 -.1457E+04   .9998023  .0073458 -.0184757
T  310  2 .3672697E+07   1440007E-01  .2019E+04 -.2141E+03   .9994165  .0301235 -.0160999
T  311  2 .3707365E+07   1440015E-01  .6672E+02 -.6873E+03   .9999886 -.0023091 -.0041825
T  312  2 .3707202E+07   1440000E-01  .6292E+02  .4726E+03   .9999362 -.0048472  .0101995
T  313  2 .3662113E+07   1440001E-01 -.5751E+03  .9762E+02   .9999970  .0019458 -.0014922
T  314  2 .3700170E+07   1440019E-01 -.1204E+04  .2880E+03   .9999691 -.0073504  .0027785
T  315  2 .3698646E+07   1440011E-01 -.5890E+03  .2788E+03   .9999223 -.0109917  .0058775
T  316  2 .3641784E+07   1440001E-01  .8028E+03 -.1224E+03   .9999506  .0097277 -.0020294
T  317  2 .3663627E+07   1440006E-01  .4426E+04  .2225E+04   .9989097  .0431448  .0178335
T  318  2 .3672340E+07   1440018E-01  .8064E+03  .3821E+03   .9999633  .0081881  .0025328
T  319  2 .3649450E+07   1440014E-01 -.2196E+03 -.7527E+03   .9999602 -.0044251 -.0077411
T  320  2 .3708850E+07   1440015E-01 -.9950E+03  .1500E+04   .9998035 -.0078532  .0181999
T  321  2 .3674660E+07   1440002E-01  .8516E+02  .1329E+04   .9998185  .0002613  .0190487
T  322  2 .3724272E+07   1440017E-01  .1230E+04 -.1901E+04   .9998016  .0095281 -.0174919
T  323  2 .3739570E+07   1440020E-01 -.1126E+04 -.9612E+03   .9998460 -.0146488 -.0096633
T  324  2 .3709675E+07   1440013E-01  .2348E+03 -.4275E+03   .9997240  .0187614 -.0141397
T  325  2 .3636843E+07   1440021E-01 -.1258E+04  .2937E+03   .9999286 -.0112777  .0039382
T  326  2 .3692296E+07   1440021E-01 -.9724E+03  .1235E+04   .9999985 -.0015407 -.0008418
T  327  2 .3717459E+07   1440011E-01 -.1820E+03  .5709E+03   .9999856 -.0035051  .0040740
T  328  2 .3704804E+07   1440021E-01  .1683E+04  .4926E+03   .9998777  .0142280  .0064975
T  329  2 .3649327E+07   1440007E-01 -.1067E+03 -.1723E+04   .9997183  .0148991 -.0184779
T  330  2 .3677897E+07   1440005E-01  .5110E+03  .7677E+03   .9999695  .0077787 -.0006878
T  331  2 .3710063E+07   1440014E-01 -.8949E+02  .3919E+03   .9999987  .0000572 -.0015974
T  332  2 .3678021E+07   1440006E-01  .1340E+03  .1003E+04   .9999228  .0013421  .0123494
T  333  2 .3729799E+07   1440005E-01 -.8478E+03  .5757E+02   .9999964 -.0006407  .0025884
T  334  2 .3712695E+07   1440016E-01 -.1218E+04  .8167E+02   .9999659 -.0081395 -.0014164
T  335  2 .3732037E+07   1440002E-01  .7278E+03  .1436E+04   .9993181  .0150832  .0337033
T  336  2 .3638585E+07   1440003E-01  .4589E+03  .1719E+04   .9986612  .0048145  .0515032
T  337  2 .3690295E+07   1440011E-01  .2124E+04  .3176E+03   .9995826  .0288897 -.0002141
T  338  2 .3702231E+07   1440001E-01  .1308E+03 -.1402E+03   .9999960  .0026759 -.0009373
T  339  2 .3696829E+07   1440003E-01  .1430E+04  .1716E+03   .9998156  .0192018 -.0001726
T  340  2 .3694872E+07   1440015E-01 -.8329E+03  .3949E+03   .9999518 -.0052260  .0083153
T  341  2 .3702175E+07   1440016E-01 -.5039E+03  .9859E+03   .9998736 -.0078278  .0138365
T  342  2 .3735080E+07   1440004E-01  .2301E+04 -.8150E+03   .9998439  .0159711 -.0075564
T  343  2 .3722102E+07   1440002E-01  .9476E+03  .3164E+03   .9992764  .0373516  .0071836
T  344  2 .3655588E+07   1440002E-01 -.1625E+04 -.2434E+03   .9999123 -.0129720  .0026827
T  345  2 .3689560E+07   1440015E-01  .1482E+03 -.5285E+02   .9999749 -.0024830 -.0066292
T  346  2 .3623038E+07   1440008E-01 -.1990E+02 -.3464E+02   .9999645 -.0049424  .0068253
T  347  2 .3669126E+07   1440007E-01 -.4501E+03  .2015E+03   .9998853 -.0083661  .0126232
T  348  2 .3642490E+07   1440021E-01 -.6230E+03 -.6671E+03   .9999218 -.0080143 -.0095970
T  349  2 .3680651E+07   1440012E-01  .5745E+02 -.5861E+03   .9998973 -.0053616  .0132892
T  350  2 .3699910E+07   1440021E-01 -.2655E+04  .2721E+04   .9995284 -.0269222  .0147707
T  351  2 .3679228E+07   1440021E-01  .1393E+04  .6407E+03   .9996906  .0224597  .0106932
T  352  2 .3701623E+07   1440007E-01  .1892E+03  .1589E+04   .9996281 -.0088682  .0257889
T  353  2 .3680153E+07   1440017E-01  .1467E+03 -.3079E+03   .9998999  .0006951 -.0141310
T  354  2 .3695146E+07   1440021E-01 -.1707E+03  .5263E+03   .9999931 -.0007995  .0036291
T  355  2 .3676444E+07   1440009E-01 -.8235E+03  .5887E+03   .9998846 -.0151395  .0012453
T  356  2 .3684770E+07   1440009E-01  .2273E+03  .2429E+03   .9999749 -.0011723  .0069806
T  357  2 .3653891E+07   1440014E-01  .3951E+04  .1422E+04   .9873485  .1548038  .0343310
T  358  2 .3642585E+07   1440015E-01  .1860E+04  .1579E+03   .9997275  .0233275 -.0008773
T  359  2 .3677581E+07   1440019E-01  .1005E+03  .1271E+03   .9999947 -.0006095 -.0031867
T  360  2 .3682531E+07   1440005E-01 -.1317E+04 -.2334E+03   .9998152 -.0107164 -.0159621
T  361  2 .3668962E+07   1440020E-01  .2595E+03 -.6517E+03   .9998923 -.0041916 -.0140619
T  362  2 .3725749E+07   1440000E-01  .1106E+04  .4864E+03   .9999231  .0110559  .0056176
T  363  2 .3693124E+07   1440008E-01  .9471E+03 -.7249E+02   .9999983  .0017241 -.0005792
T  364  2 .3678716E+07   1440015E-01 -.1845E+04 -.7197E+03   .9995584 -.0295765 -.0028795
T  365  2 .3703386E+07   1440011E-01 -.1991E+03 -.1321E+03   .9999869 -.0047328 -.0019705
T  366  2 .3664533E+07   1440008E-01 -.4474E+03  .7143E+03   .9999896 -.0033749  .0030565
T  367  2 .3690761E+07   1440016E-01 -.1057E+04  .6859E+03   .9997699 -.0201197  .0074400
T  368  2 .3677984E+07   1440014E-01 -.3935E+03 -.5901E+03   .9999321 -.0116027  .0010965
T  369  2 .3675796E+07   1440016E-01 -.2642E+03  .2903E+02   .9999643 -.0062065  .0057323
T  370  2 .3655023E+07   1440008E-01 -.6441E+03  .4375E+03   .9999606 -.0067058  .0058169
T  371  2 .3709721E+07   1440009E-01  .4510E+03  .5941E+02   .9999355  .0113240  .0008311
T  372  2 .3626244E+07   1440015E-01 -.1914E+04 -.5778E+03   .9999547 -.0081973  .0048365
T  373  2 .3677133E+07   1440005E-01  .2481E+04  .9083E+03   .9990465  .0392535  .0191119
T  374  2 .3743934E+07   1440014E-01 -.9306E+03 -.1618E+03   .9999409 -.0077817 -.0075968
T  375  2 .3686010E+07   1440016E-01  .6303E+03  .1509E+04   .9998437  .0020252  .0175632
T  376  2 .3725199E+07   1440007E-01  .4384E+01  .2196E+03   .9999956 -.0024379 -.0016852
T  377  2 .3699504E+07   1440015E-01 -.8857E+03  .7134E+03   .9998929 -.0131367  .0064544
T  378  2 .3641132E+07   1440010E-01  .1141E+03 -.8914E+03   .9998379  .0156821 -.0088476
T  379  2 .3679654E+07   1440015E-01 -.7095E+03 -.4899E+03   .9999951 -.0031389  .0001858
T  380  2 .3686595E+07   1440019E-01 -.6698E+03  .4548E+03   .9999735 -.0031696  .0065490
T  381  2 .3634114E+07   1440017E-01  .1154E+04  .5591E+02   .9998315  .0078498 -.0165920
T  382  2 .3712064E+07   1440004E-01 -.1112E+03 -.2109E+03   .9999901 -.0041874 -.0015376
T  383  2 .3708614E+07   1440020E-01  .1565E+04 -.1690E+02   .9996719  .0255561  .0017130
T  384  2 .3705415E+07   1440014E-01  .2284E+03 -.5161E+03   .9999790  .0047855 -.0043606
T  385  2 .3663257E+07   1440009E-01  .1158E+04 -.1475E+03   .9997241  .0232658  .0032272
T  386  2 .3707374E+07   1440001E-01 -.5990E+03 -.1644E+03   .9997670 -.0214948 -.0019553
T  387  2 .3654575E+07   1440011E-01  .1156E+04  .1199E+04   .9999091 -.0002482  .0134806
T  388  2 .3685356E+07   1440011E-01  .4340E+03  .3500E+03   .9997408  .0100913  .0204064
T  389  2 .3678735E+07   1440018E-01 -.8055E+03  .3127E+03   .9997721 -.0150096  .0151834
T  390  2 .3667254E+07   1440003E-01 -.4125E+03  .1528E+04   .9999585 -.0032569  .0085079
T  391  2 .3682877E+07   1440020E-01 -.5108E+03 -.4841E+03   .9999641 -.0061865 -.0057831
T  392  2 .3663896E+07   1440011E-01  .8511E+02 -.6560E+03   .9999909  .0041792 -.0008331
T  393  2 .3666166E+07   1440012E-01  .5188E+03  .4625E+03   .9999710  .0032470  .0068933
T  394  2 .3651168E+07   1440014E-01  .8626E+03  .3919E+03   .9998157  .0162737  .0101806
T  395  2 .3701781E+07   1440010E-01 -.1319E+04 -.1497E+04   .9999511 -.0087464 -.0046086
T  396  2 .3698481E+07   1440014E-01 -.2064E+04  .9065E+02   .9999459 -.0076168  .0070905
T  397  2 .3658953E+07   1440003E-01  .5532E+03  .3332E+03   .9999796  .0024703  .0058890
T  398  2 .3673106E+07   1440012E-01 -.1550E+03 -.1279E+03   .9994617  .0125424 -.0303134
T  399  2 .3670052E+07   1440021E-01  .1092E+04 -.4196E+03   .9998473  .0174385  .0011567
T  400  2 .3675805E+07   1440014E-01 -.9572E+03  .1137E+04   .9991943 -.0401155  .0012086
T  401  2 .3679416E+07   1440021E-01 -.4273E+03  .4733E+01   .9999587 -.0053819 -.0073175
T  402  2 .3680681E+07   1440009E-01  .7008E+03  .2218E+04   .9995451  .0163043  .0253708
T  403  2 .3670691E+07   1440016E-01 -.3991E+02 -.5004E+03   .9999787 -.0039502 -.0051985
T  404  2 .3711673E+07   1440002E-01 -.1296E+03  .4137E+03   .9999829 -.0010477 -.0057503
T  405  2 .3641930E+07   1440017E-01  .9415E+03  .9486E+03   .9997382  .0159127  .0164435
T  406  2 .3704664E+07   1440001E-01  .2079E+04  .1289E+04   .9995671  .0278705  .0094255
T  407  2 .3632093E+07   1440010E-01  .2559E+03  .1558E+03   .9999921  .0018115  .0035327
T  408  2 .3679137E+07   1440018E-01  .2213E+03  .2498E+03   .9999333  .0096585  .0063394
T  409  2 .3682320E+07   1440019E-01 -.3108E+03  .3191E+03   .9999962 -.0027421 -.0002116
T  410  2 .3701395E+07   1440010E-01 -.5218E+03  .2242E+03   .9998101 -.0184710  .0062053
T  411  2 .3690068E+07   1440003E-01  .8084E+03  .2836E+03   .9999918  .0033148  .0023388
T  412  2 .3640770E+07   1440011E-01 -.8612E+03 -.2859E+03   .9998654 -.0158341 -.0043033
T  413  2 .3645544E+07   1440020E-01 -.3498E+02  .2065E+04   .9997479  .0076348  .0211168
T  414  2 .3724128E+07   1440021E-01 -.1376E+03  .4317E+03   .9999946  .0016844 -.0028378
T  415  2 .3723866E+07   1440010E-01  .1072E+04 -.2503E+02   .9999662  .0075886  .0031588
T  416  2 .3649556E+07   1440019E-01 -.2197E+03 -.8027E+03   .9999304  .0113610 -.0031912
T  417  2 .3694807E+07   1440007E-01 -.3445E+03  .1396E+03   .9998429 -.0176436  .0017061
T  418  2 .3666558E+07   1440007E-01  .1988E+03  .3099E+04   .9993565  .0044080  .0355971
T  419  2 .3652157E+07   1440016E-01  .1493E+03  .5405E+03   .9999765 -.0043995  .0052510
T  420  2 .3655875E+07   1440010E-01  .1038E+04 -.4877E+02   .9999328  .0115239 -.0012632
T  421  2 .3709118E+07   1440021E-01 -.7592E+03  .1114E+04   .9999971  .0020544  .0012603
T  422  2 .3710548E+07   1440010E-01  .4813E+03  .1382E+03   .9999979 -.0020339  .0002919
T  423  2 .3611100E+07   1440019E-01 -.1134E+02 -.3668E+03   .9998780  .0109817 -.0111042
T  424  2 .3694798E+07   1440011E-01 -.7943E+03  .3615E+03   .9998442 -.0103793  .0142780
T  425  2 .3648438E+07   1440017E-01  .7589E+03  .3504E+02   .9999249  .0119625  .0026606
T  426  2 .3703625E+07   1440006E-01  .3335E+03 -.8206E+02   .9996095  .0276812 -.0038125
T  427  2 .3681932E+07   1440019E-01  .4610E+03  .5961E+03   .9998954  .0126645  .0069800
T  428  2 .3678792E+07   1440017E-01 -.8660E+02 -.1758E+04   .9998311  .0050794 -.0176620
T  429  2 .3647053E+07   1440006E-01  .2424E+03  .9461E+03   .9999251  .0058321  .0107607
T  430  2 .3693950E+07   1440007E-01 -.2318E+03  .6150E+03   .9998275 -.0120551  .0141324
T  431  2 .3680068E+07   1440006E-01  .4923E+03 -.5905E+03   .9999070  .0057355 -.0123713
T  432  2 .3705042E+07   1440011E-01  .7449E+02  .1238E+03   .9999860 -.0050955  .0014287
T  433  2 .3684431E+07   1440006E-01  .6468E+03  .7935E+03   .9999952 -.0024948  .0018577
T  434  2 .3675531E+07   1440000E-01  .1554E+04 -.3301E+02   .9999682  .0078442  .0014054
T  435  2 .3680448E+07   1440016E-01  .6907E+02 -.3133E+03   .9999083  .0100161 -.0091139
T  436  2 .3665466E+07   1440017E-01  .7249E+03  .1535E+04   .9997415  .0104235  .0202067
T  437  2 .3660909E+07   1440000E-01 -.1545E+04 -.3897E+03   .9999212 -.0119251 -.0039128
T  438  2 .3665468E+07   1440012E-01  .2395E+04  .9043E+03   .9996251  .0236451  .0138040
T  439  2 .3705779E+07   1440002E-01 -.2390E+03  .8328E+03   .9999549 -.0005657  .0094847
T  440  2 .3675848E+07   1440019E-01  .9495E+02  .8329E+02   .9999933  .0034638  .0011567
T  441  2 .3694469E+07   1440000E-01 -.5791E+02 -.1181E+03   .9999920 -.0027315 -.0029057
T  442  2 .3700621E+07   1440009E-01 -.6382E+03 -.9377E+03   .9999581 -.0053044 -.0074563
T  443  2 .3688683E+07   1440007E-01  .5974E+03  .1062E+03   .9999395  .0107225 -.0024689
T  444  2 .3684487E+07   1440018E-01 -.3589E+03  .1897E+03   .9999685 -.0078760 -.0010265
T  445  2 .3691986E+07   1440019E-01 -.6486E+03  .6180E+03   .9999125 -.0112952  .0068890
T  446  2 .3699249E+07   1440017E-01 -.2303E+04 -.7524E+03   .9996196 -.0269446 -.0058863
T  447  2 .3694368E+07   1440000E-01 -.5425E+03  .1934E+03   .9999363 -.0111695  .0016105
T  448  2 .3699947E+07   1440003E-01 -.2289E+03 -.1070E+03   .9999874  .0049906  .0006254
T  449  2 .3658777E+07   1440020E-01  .9053E+03  .1144E+03   .9999260  .0117050 -.0033135
T  450  2 .3663087E+07   1440017E-01 -.3768E+03 -.1350E+04   .9998849 -.0065063 -.0137054
T  451  2 .3636648E+07   1440021E-01 -.1039E+03  .2288E+02   .9999946  .0031985  .0007633
T  452  2 .3646236E+07   1440020E-01 -.2618E+03  .3782E+02   .9999928 -.0016808 -.0034040
T  453  2 .3630753E+07   1440002E-01 -.8257E+03 -.3985E+03   .9999657 -.0077191  .0030047
T  454  2 .3742705E+07   1440016E-01  .7940E+03  .2530E+04   .9999183 -.0000700  .0127824
T  455  2 .3712223E+07   1440006E-01  .1184E+03  .3516E+03   .9999837  .0006678  .0056727
T  456  2 .3666310E+07   1440019E-01 -.2709E+03  .1076E+04   .9999145 -.0124768  .0039134
T  457  2 .3659773E+07   1440018E-01  .6809E+03 -.1194E+04   .9998668  .0054883 -.0153691
T  458  2 .3709901E+07   1440020E-01  .3904E+03  .4832E+02   .9999697  .0076784 -.0012667
T  459  2 .3707285E+07   1440007E-01 -.2355E+03  .5606E+03   .9999990 -.0014170 -.0000580
T  460  2 .3730613E+07   1440013E-01  .4228E+04  .2139E+04   .9989466  .0415919  .0193859
T  461  2 .3676347E+07   1440004E-01  .6312E+03 -.6646E+03   .9999710  .0014938 -.0074735
T  462  2 .3666560E+07   1440008E-01  .7514E+03 -.9365E+02   .9999963  .0012655 -.0024258
T  463  2 .3701119E+07   1440015E-01  .8046E+03 -.4687E+03   .9999313  .0106573 -.0048897
T  464  2 .3654186E+07   1440020E-01  .1363E+03 -.7010E+03   .9999758  .0062471 -.0030571
T  465  2 .3621410E+07   1440002E-01 -.5121E+02  .4837E+02   .9999672  .0071023 -.0038941
T  466  2 .3701864E+07   1440016E-01  .3766E+03 -.1511E+04   .9998763  .0097011 -.0123819
T  467  2 .3716198E+07   1440000E-01 -.7529E+03 -.1464E+04   .9998286 -.0134155 -.0127597
T  468  2 .3676772E+07   1440000E-01  .3638E+03 -.3908E+02   .9999091  .0067458  .0116772
T  469  2 .3656725E+07   1440005E-01 -.1153E+04  .2976E+03   .9998549 -.0167696  .0029960
T  470  2 .3675487E+07   1440018E-01 -.1563E+04  .3706E+03   .9996609 -.0258792  .0028863
T  471  2 .3700242E+07   1440011E-01  .5550E+02  .2069E+04   .9997685  .0112779  .0183233
T  472  2 .3700982E+07   1440002E-01 -.4577E+03 -.5260E+03   .9999541 -.0033972 -.0089565
T  473  2 .3673902E+07   1440015E-01  .2639E+03  .1287E+04   .9998100  .0068338  .0182531
T  474  2 .3680226E+07   1440000E-01 -.1625E+03  .1923E+03   .9999286  .0110917  .0044414
T  475  2 .3676547E+07   1440013E-01 -.1372E+04 -.1060E+04   .9999086 -.0127950 -.0043643
T  476  2 .3662834E+07   1440000E-01 -.1552E+03  .1388E+03   .9999599 -.0042782 -.0078699
T  477  2 .3724923E+07   1440011E-01  .7920E+03 -.6848E+03   .9999363  .0110434 -.0023460
T  478  2 .3704408E+07   1440010E-01 -.3229E+02  .7324E+03   .9999307 -.0035735  .0112209
T  479  2 .3688682E+07   1440014E-01 -.1175E+04  .4651E+03   .9999531 -.0095712  .0014830
T  480  2 .3722278E+07   1440006E-01  .4016E+03 -.1799E+04   .9999294  .0019218 -.0117303
T  481  2 .3704594E+07   1440010E-01 -.8009E+02  .1123E+04   .9999251 -.0056280  .0108660
T  482  2 .3693820E+07   1440006E-01 -.7922E+03 -.1668E+03   .9999837 -.0043300  .0037224
