============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar( 10.7 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  238  2 .4229352E+07   1080017E-01 -.5431E+03 -.7042E+01   .9999272 -.0118297 -.0023857
T  239  2 .4212182E+07   1080012E-01 -.1954E+03 -.2859E+03   .9998413 -.0139662  .0110597
T  240  2 .4121895E+07   1080007E-01 -.4684E+03  .2116E+02   .9999993  .0007866 -.0009028
T  241  2 .4173601E+07   1080001E-01  .3937E+03  .3220E+03   .9999854  .0046232  .0027912
T  242  2 .4195650E+07   1080018E-01 -.1636E+02 -.2331E+03   .9999719 -.0066785 -.0034079
T  243  2 .4224335E+07   1080019E-01  .1256E+03  .3009E+02   .9999792  .0037514 -.0052558
T  244  2 .4202486E+07   1080015E-01  .1604E+03 -.1799E+03   .9999973  .0020441  .0010808
T  245  2 .4171068E+07   1080018E-01 -.5882E+03  .2255E+03   .9998049 -.0171914  .0097286
T  246  2 .4172631E+07   1080009E-01  .1041E+04 -.3328E+03   .9999537  .0092764 -.0025779
T  247  2 .4198041E+07   1080018E-01 -.3280E+02 -.3838E+02   .9999977 -.0021206  .0004014
T  248  2 .4190445E+07   1080012E-01  .7820E+03  .8613E+03   .9999374  .0071718  .0085936
T  249  2 .4182577E+07   1080010E-01 -.4081E+03 -.6114E+03   .9999806 -.0020763 -.0058671
T  250  2 .4218972E+07   1080003E-01 -.6460E+02  .7162E+03   .9998971 -.0063094  .0128838
T  251  2 .4179074E+07   1080015E-01  .2546E+03 -.4119E+03   .9999948  .0022828 -.0022664
T  252  2 .4219554E+07   1080007E-01 -.7394E+03  .7573E+02   .9996334 -.0238522  .0128148
T  253  2 .4149409E+07   1080000E-01 -.8655E+03  .7187E+03   .9998401  .0020776  .0177639
T  254  2 .4198608E+07   1080006E-01  .7902E+03 -.3938E+03   .9999487  .0065801 -.0076973
T  255  2 .4206271E+07   1080002E-01  .4200E+03  .1804E+03   .9999482  .0089487  .0048455
T  256  2 .4195105E+07   1080021E-01  .5455E+03 -.3072E+03   .9998419  .0177732 -.0004967
T  257  2 .4215661E+07   1080020E-01 -.2190E+03 -.7692E+02   .9999735  .0027728 -.0067313
T  258  2 .4167245E+07   1080008E-01  .9689E+03 -.9302E+03   .9998267  .0158395 -.0097798
T  259  2 .4182361E+07   1080020E-01 -.3928E+03  .2977E+03   .9999908  .0040695  .0013623
T  260  2 .4195990E+07   1080011E-01  .9523E+03  .5664E+02   .9998886  .0149190 -.0004154
T  261  2 .4197235E+07   1080017E-01 -.6845E+03 -.1069E+04   .9998530 -.0075939 -.0153720
T  262  2 .4139032E+07   1080008E-01 -.3300E+03 -.5767E+03   .9999448 -.0082235 -.0065356
T  263  2 .4222594E+07   1080019E-01  .3379E+03  .5774E+03   .9998961  .0038692  .0138826
T  264  2 .4196597E+07   1080022E-01 -.9834E+03  .6885E+03   .9997623 -.0142515  .0164976
T  265  2 .4178143E+07   1080021E-01 -.4292E+03  .9276E+02   .9999297 -.0116544 -.0021947
T  266  2 .4178299E+07   1080020E-01  .6494E+03  .3847E+03   .9999569  .0086627  .0033486
T  267  2 .4163411E+07   1080001E-01 -.1109E+03 -.1716E+03   .9999746 -.0023707 -.0067253
T  268  2 .4169703E+07   1080018E-01  .4358E+03 -.4670E+02   .9999400  .0081884 -.0072788
T  269  2 .4168497E+07   1080017E-01  .2881E+03 -.8014E+02   .9999734  .0055422 -.0047421
T  270  2 .4153875E+07   1080007E-01 -.3819E+03  .1835E+03   .9999586 -.0080478  .0042403
T  271  2 .4199483E+07   1080021E-01  .6022E+03  .3477E+03   .9999771 -.0041683  .0053331
T  272  2 .4170864E+07   1080013E-01 -.5774E+02  .1839E+03   .9999827 -.0018505  .0055840
T  273  2 .4180881E+07   1080000E-01 -.9814E+02  .7529E+03   .9999190 -.0009094  .0126950
T  274  2 .4205751E+07   1080008E-01  .6905E+03  .3632E+03   .9998125  .0127253  .0145975
T  275  2 .4176279E+07   1080015E-01 -.1586E+03 -.1628E+03   .9996815 -.0197343 -.0157318
T  276  2 .4149050E+07   1080000E-01 -.4632E+03  .6620E+02   .9999742 -.0046954 -.0054293
T  277  2 .4197139E+07   1080015E-01 -.7819E+03 -.1227E+03   .9999643 -.0047371 -.0069908
T  278  2 .4181187E+07   1080003E-01  .1180E+03 -.2458E+03   .9999842 -.0002339 -.0056148
T  279  2 .4198092E+07   1080006E-01 -.3765E+03  .1795E+03   .9998867 -.0113731  .0098569
T  280  2 .4141363E+07   1080013E-01  .1299E+04  .3176E+03   .9997457  .0221820  .0040725
T  281  2 .4188504E+07   1080019E-01  .1057E+03  .3187E+03   .9999334 -.0113737 -.0019800
T  282  2 .4176836E+07   1080006E-01 -.6819E+03  .4910E+03   .9999295 -.0036844  .0112862
T  283  2 .4160004E+07   1080017E-01  .2561E+03  .1064E+03   .9999599 -.0049344 -.0074790
T  284  2 .4204718E+07   1080000E-01 -.1633E+03 -.6147E+02   .9995540 -.0127209 -.0270193
T  285  2 .4163467E+07   1080004E-01  .1009E+03  .1888E+03   .9999958  .0017147  .0023427
T  286  2 .4163871E+07   1080015E-01  .2803E+03 -.6069E+03   .9999453  .0036010 -.0098171
T  287  2 .4220007E+07   1080015E-01  .8740E+03  .1003E+03   .9999259  .0119914 -.0021064
T  288  2 .4186766E+07   1080011E-01  .6097E+03 -.3864E+03   .9999363  .0082192 -.0077301
T  289  2 .4184579E+07   1080018E-01  .6847E+03  .1936E+03   .9999442  .0105185 -.0009378
T  290  2 .4169400E+07   1080006E-01 -.9124E+02  .1434E+03   .9999958  .0019066  .0021605
T  291  2 .4175247E+07   1080000E-01  .1796E+03 -.2721E+03   .9997150  .0077584  .0225749
T  292  2 .4138413E+07   1080014E-01  .5216E+03  .4796E+03   .9998702  .0106623  .0120797
T  293  2 .4189668E+07   1080018E-01 -.2950E+03  .6298E+03   .9939076 -.0438036  .1011384
T  294  2 .4197080E+07   1080008E-01 -.9873E+03  .5119E+03   .9998430 -.0118064  .0132095
T  295  2 .4180569E+07   1080005E-01  .6046E+03  .3404E+03   .9998055  .0142164  .0136683
T  296  2 .4185232E+07   1080018E-01  .1362E+04  .1267E+04   .9997882  .0190306  .0078401
T  297  2 .4169631E+07   1080009E-01 -.3262E+03 -.7289E+03   .9999727  .0004905 -.0073715
T  298  2 .4171309E+07   1080014E-01  .4451E+03 -.8233E+03   .9998848  .0105303 -.0109295
T  299  2 .4175807E+07   1080009E-01 -.1091E+03 -.3278E+03   .9999819  .0056919 -.0019470
T  300  2 .4188113E+07   1080001E-01 -.1297E+03  .6595E+02   .9999970 -.0001993  .0024547
T  301  2 .4153562E+07   1080020E-01  .2633E+04 -.3412E+04   .9986745  .0270420 -.0437953
T  302  2 .4212785E+07   1080011E-01 -.2049E+03 -.5273E+02   .9999825 -.0057298 -.0014496
T  303  2 .4223731E+07   1080001E-01 -.2482E+03  .1164E+04   .9998747 -.0004332  .0158212
T  304  2 .4187929E+07   1080015E-01  .9472E+01 -.6712E+02   .9999871  .0049849 -.0009530
T  305  2 .4222044E+07   1080013E-01 -.4651E+03  .6153E+02   .9999913 -.0034300  .0023754
T  306  2 .4170794E+07   1080021E-01 -.6992E+02  .1861E+03   .9999783 -.0060264  .0026442
T  307  2 .4098322E+07   1080015E-01 -.2011E+02 -.3286E+03   .9998627  .0143936  .0082091
T  308  2 .4183739E+07   1080000E-01 -.3147E+03 -.1915E+03   .9999333 -.0112011 -.0028219
T  309  2 .4168609E+07   1080001E-01  .1312E+03 -.9256E+02   .9999833  .0044445 -.0036999
T  310  2 .4177812E+07   1080019E-01  .7208E+03 -.5241E+03   .9999073  .0125034 -.0053936
T  311  2 .4175715E+07   1080021E-01 -.1758E+03 -.1640E+03   .9998022 -.0082312  .0181042
T  312  2 .4185704E+07   1080014E-01  .3379E+03 -.7052E+03   .9998893 -.0042292 -.0142666
T  313  2 .4206137E+07   1080009E-01 -.5186E+03 -.2312E+02   .9999410 -.0097503 -.0047967
T  314  2 .4140871E+07   1080021E-01 -.5494E+03 -.5235E+03   .9999555  .0011604 -.0093670
T  315  2 .4187831E+07   1080014E-01  .3083E+03 -.2046E+03   .9998650  .0112466 -.0119820
T  316  2 .4192133E+07   1080016E-01  .4505E+03  .1632E+03   .9999397  .0105710 -.0029649
T  317  2 .4162431E+07   1080021E-01 -.2068E+03 -.4253E+03   .9999756 -.0038996 -.0057932
T  318  2 .4193671E+07   1080020E-01 -.1021E+02 -.3111E+03   .9999915 -.0040352 -.0007948
T  319  2 .4161040E+07   1080012E-01  .2314E+03 -.1122E+04   .9997708 -.0037452 -.0210812
T  320  2 .4187324E+07   1080000E-01  .4905E+03  .2120E+03   .9998885  .0122009 -.0086130
T  321  2 .4183115E+07   1080011E-01 -.9131E+03 -.4818E+03   .9997577 -.0184260 -.0120452
T  322  2 .4204251E+07   1080010E-01  .6427E+03  .5527E+03   .9998995  .0079868  .0117158
T  323  2 .4178808E+07   1080009E-01 -.4135E+03  .1148E+04   .9997927 -.0133357  .0153864
T  324  2 .4163019E+07   1080019E-01 -.4884E+03 -.4306E+02   .9995690 -.0195476 -.0219016
T  325  2 .4208628E+07   1080006E-01  .3083E+02  .6876E+03   .9995663 -.0126089  .0266129
T  326  2 .4199722E+07   1080017E-01 -.5515E+03 -.1385E+03   .9999634 -.0085085  .0008665
T  327  2 .4173237E+07   1080005E-01  .9737E+02  .4897E+02   .9999998 -.0001482  .0005371
T  328  2 .4209496E+07   1080008E-01  .2081E+03 -.9282E+02   .9999794  .0062555 -.0014618
T  329  2 .4131220E+07   1080019E-01 -.8340E+03 -.2736E+03   .9997155 -.0217421 -.0098124
T  330  2 .4197166E+07   1080006E-01  .1343E+02  .2906E+03   .9999620 -.0042834  .0075993
T  331  2 .4139294E+07   1080013E-01 -.7356E+02  .3261E+03   .9999911 -.0029909  .0029808
T  332  2 .4207536E+07   1080005E-01  .7910E+03 -.3700E+03   .9998464  .0175213 -.0003628
T  333  2 .4139519E+07   1080021E-01  .1783E+03  .7326E+03   .9999136  .0053379  .0120166
T  334  2 .4202153E+07   1080019E-01 -.1950E+04 -.1408E+04   .9995364 -.0238979 -.0188643
T  335  2 .4115161E+07   1080008E-01  .9868E+02 -.3070E+03   .9999607 -.0048608 -.0074138
T  336  2 .4185078E+07   1080015E-01 -.1902E+03  .6214E+03   .9999359 -.0010097  .0112782
T  337  2 .4115565E+07   1080016E-01 -.2942E+03  .2724E+02   .9999732 -.0073068 -.0005292
T  338  2 .4186998E+07   1080021E-01  .7104E+03 -.1600E+03   .9996143  .0274453  .0042374
T  339  2 .4165201E+07   1080019E-01 -.3623E+03  .9560E+02   .9999988 -.0014998  .0004141
T  340  2 .4182837E+07   1080015E-01  .3710E+03 -.4996E+03   .9998081  .0195811 -.0005904
T  341  2 .4188513E+07   1080012E-01 -.4674E+03 -.3122E+03   .9999467  .0033450 -.0097643
T  342  2 .4185273E+07   1080015E-01 -.1376E+04 -.4218E+04   .9988241 -.0207436 -.0438181
T  343  2 .4148252E+07   1080019E-01  .4244E+04 -.3337E+04   .9975116  .0532080 -.0462542
T  344  2 .4139829E+07   1080017E-01 -.8360E+03  .3431E+03   .9999065 -.0040628 -.0130575
T  345  2 .4191769E+07   1080016E-01  .4234E+04  .5144E+03   .9984218  .0551366  .0106747
T  346  2 .4179575E+07   1080008E-01 -.2419E+02  .4476E+03   .9998639  .0090053  .0138222
T  347  2 .4203901E+07   1080015E-01  .1658E+03  .9406E+02   .9999914 -.0040520  .0008290
T  348  2 .4200168E+07   1080002E-01  .8347E+02  .8964E+02   .9999754 -.0043203  .0055179
T  349  2 .4164357E+07   1080008E-01  .5200E+02  .8696E+03   .9997268  .0084390  .0217982
T  350  2 .4184710E+07   1080016E-01  .3723E+03  .1234E+04   .9999217  .0066709  .0105874
T  351  2 .4192759E+07   1080018E-01  .8896E+03  .1030E+03   .9998405  .0177566 -.0019131
T  352  2 .4152367E+07   1080003E-01 -.1128E+04 -.3915E+03   .9999364 -.0112755 -.0000093
T  353  2 .4168785E+07   1080018E-01 -.1639E+03 -.2620E+03   .9999982 -.0016496  .0009197
T  354  2 .4151600E+07   1080002E-01 -.5318E+03 -.8290E+02   .9999537 -.0096212 -.0000846
T  355  2 .4170463E+07   1080017E-01  .1405E+03 -.3511E+03   .9999797  .0053844 -.0034210
T  356  2 .4204621E+07   1080021E-01  .3413E+03 -.2404E+02   .9999529  .0081484  .0052818
T  357  2 .4217290E+07   1080016E-01  .4593E+03  .9387E+02   .9999980  .0017856 -.0008768
T  358  2 .4227337E+07   1080013E-01 -.4945E+03 -.9570E+02   .9999279 -.0118693  .0017961
T  359  2 .4210482E+07   1080018E-01 -.6577E+03 -.8654E+02   .9999768 -.0067405 -.0009633
T  360  2 .4237082E+07   1080020E-01  .1425E+03  .1380E+03   .9999934 -.0036040 -.0003488
T  361  2 .4200575E+07   1080010E-01  .6052E+03  .1664E+03   .9999603  .0055741  .0069570
T  362  2 .4184683E+07   1080003E-01 -.3438E+03  .3118E+03   .9999765 -.0056484  .0038781
T  363  2 .4155717E+07   1080006E-01  .1857E+03 -.7859E+03   .9999833  .0023191 -.0052882
T  364  2 .4205050E+07   1080012E-01 -.5528E+03 -.1235E+03   .9999759 -.0069307  .0002797
T  365  2 .4176500E+07   1080003E-01 -.1792E+03 -.3909E+01   .9999885 -.0028215 -.0038901
T  366  2 .4158593E+07   1080020E-01  .2584E+03 -.3148E+03   .9999749  .0067726 -.0020908
T  367  2 .4159113E+07   1080003E-01 -.5938E+03 -.6031E+03   .9999591 -.0079386 -.0043368
T  368  2 .4193394E+07   1080010E-01  .1064E+04  .1283E+04   .9998724  .0101970  .0122992
T  369  2 .4190124E+07   1080011E-01  .2964E+03 -.4348E+03   .9999111  .0128487 -.0035566
T  370  2 .4201477E+07   1080007E-01 -.1443E+03  .2636E+03   .9999686 -.0054359 -.0057709
T  371  2 .4179002E+07   1080016E-01 -.2404E+03  .3185E+02   .9999976 -.0006722  .0020710
T  372  2 .4174195E+07   1080014E-01 -.1560E+04 -.8895E+03   .9995439 -.0251401 -.0167341
T  373  2 .4231241E+07   1080012E-01 -.6044E+03  .1748E+03   .9999851 -.0035837  .0041239
T  374  2 .4170592E+07   1080009E-01 -.6549E+03 -.4329E+03   .9998398 -.0112451 -.0139269
T  375  2 .4176120E+07   1080004E-01 -.6401E+03  .1345E+04   .9998124 -.0056458  .0185281
T  376  2 .4162167E+07   1080016E-01  .3547E+03 -.9626E+03   .9998616  .0081376 -.0145124
T  377  2 .4175960E+07   1080000E-01  .2264E+03 -.5120E+03   .9999767 -.0018038 -.0065824
T  378  2 .4192887E+07   1080022E-01  .6910E+03 -.3490E+03   .9997658  .0157203 -.0148761
T  379  2 .4131904E+07   1080004E-01  .1033E+03  .2398E+03   .9999732 -.0017890  .0070998
T  380  2 .4188458E+07   1080022E-01 -.2924E+03 -.1165E+03   .9999638 -.0075462  .0039306
T  381  2 .4182317E+07   1080019E-01  .1962E+03 -.7200E+03   .9998957  .0033189 -.0140577
T  382  2 .4188971E+07   1080000E-01 -.1071E+03 -.1401E+03   .9999845 -.0043394 -.0034788
T  383  2 .4179435E+07   1080008E-01  .4712E+03 -.8557E+03   .9999130  .0093891 -.0092602
T  384  2 .4208665E+07   1080000E-01  .4121E+03 -.5035E+02   .9999685  .0079335  .0003950
T  385  2 .4176722E+07   1080022E-01  .8420E+03 -.7982E+03   .9996819  .0174826 -.0181762
T  386  2 .4177562E+07   1080009E-01  .5090E+03 -.2923E+03   .9997825  .0133508 -.0160220
T  387  2 .4202354E+07   1080017E-01 -.6532E+02 -.6423E+03   .9999835 -.0006940 -.0057099
T  388  2 .4185590E+07   1080017E-01  .9239E+03  .5250E+03   .9999021  .0089194  .0107844
T  389  2 .4215021E+07   1080016E-01  .8486E+02 -.1703E+03   .9999912  .0034060 -.0024428
T  390  2 .4168815E+07   1080004E-01 -.2400E+04 -.1693E+04   .9994359 -.0281827 -.0182638
T  391  2 .4165149E+07   1080002E-01 -.1880E+03  .1517E+03   .9999995 -.0010106 -.0001366
T  392  2 .4189979E+07   1080019E-01  .4517E+03 -.1006E+03   .9999414  .0107463  .0013062
T  393  2 .4185686E+07   1080008E-01 -.8057E+02  .2408E+03   .9999873 -.0046192  .0020230
T  394  2 .4223829E+07   1080015E-01 -.3924E+03 -.3656E+03   .9999849 -.0047258  .0027900
T  395  2 .4168768E+07   1080006E-01  .2096E+02  .3491E+02   .9999566 -.0014166  .0092088
T  396  2 .4183434E+07   1080004E-01 -.7561E+02  .9545E+03   .9978309 -.0182405  .0632522
T  397  2 .4152272E+07   1080006E-01 -.6125E+03 -.1526E+04   .9998570 -.0055690 -.0159683
T  398  2 .4195097E+07   1080010E-01  .7502E+02 -.8433E+03   .9998844  .0016468 -.0151130
T  399  2 .4142915E+07   1080006E-01  .1550E+04  .9770E+03   .9997564  .0167581  .0143620
T  400  2 .4197541E+07   1080002E-01  .2303E+03 -.2783E+03   .9999738  .0066188 -.0029230
T  401  2 .4200700E+07   1080013E-01 -.5389E+03 -.1726E+03   .9999846 -.0044880  .0032757
T  402  2 .4211996E+07   1080022E-01  .1338E+04  .4490E+03   .9997911  .0159344  .0127993
T  403  2 .4160329E+07   1080013E-01 -.7635E+03 -.1083E+03   .9998241 -.0184218 -.0035348
T  404  2 .4200462E+07   1080021E-01  .4745E+03  .3704E+03   .9999013  .0093358  .0104986
T  405  2 .4213602E+07   1080004E-01  .8190E+03 -.4068E+03   .9998918  .0140381 -.0043888
T  406  2 .4169664E+07   1080015E-01 -.5662E+03 -.3519E+03   .9999554 -.0092709 -.0018103
T  407  2 .4171372E+07   1080013E-01  .6656E+02  .4812E+03   .9999810  .0026555  .0055604
T  408  2 .4184508E+07   1080020E-01 -.2714E+03  .2498E+02   .9999318 -.0061250  .0099455
T  409  2 .4203318E+07   1080021E-01  .1788E+03  .2572E+03   .9999868  .0047797  .0018598
T  410  2 .4182748E+07   1080012E-01  .5500E+02  .6402E+03   .9999642  .0042075  .0073449
T  411  2 .4168718E+07   1080019E-01 -.5601E+03  .3447E+02   .9999493 -.0086010 -.0052311
T  412  2 .4183304E+07   1080018E-01 -.2570E+03  .2297E+03   .9999669 -.0075533  .0030128
T  413  2 .4196979E+07   1080001E-01 -.6364E+02 -.1158E+04   .9998876 -.0031566 -.0146581
T  414  2 .4189210E+07   1080005E-01  .4505E+03 -.2547E+03   .9999666  .0041909 -.0070153
T  415  2 .4192480E+07   1080003E-01  .3210E+03 -.7442E+03   .9998325  .0162078 -.0084969
T  416  2 .4174886E+07   1080015E-01 -.3350E+03 -.1273E+03   .9999934 -.0026763 -.0024559
T  417  2 .4178908E+07   1080012E-01  .8606E+02  .1116E+03   .9999691  .0078518  .0004034
T  418  2 .4162185E+07   1080009E-01 -.8837E+03  .1353E+03   .9999362 -.0099454 -.0053499
T  419  2 .4167100E+07   1080017E-01  .5337E+03 -.8006E+03   .9998271  .0116855 -.0144639
T  420  2 .4173604E+07   1080005E-01  .2988E+03  .1146E+04   .9998581  .0067789  .0154203
T  421  2 .4207357E+07   1080009E-01  .5541E+02  .9995E+02   .9999817 -.0011396 -.0059383
T  422  2 .4194371E+07   1080013E-01 -.7413E+03  .6114E+03   .9994974 -.0155736  .0276101
T  423  2 .4185996E+07   1080022E-01  .4106E+02 -.9076E+02   .9999741 -.0004315  .0071844
T  424  2 .4207417E+07   1080005E-01 -.4925E+03  .7490E+03   .9999222 -.0034292  .0119943
T  425  2 .4169135E+07   1080017E-01 -.1184E+03 -.9263E+03   .9998200  .0030221 -.0187329
T  426  2 .4192941E+07   1080020E-01 -.3500E+03  .4815E+03   .9999500 -.0075998  .0065020
T  427  2 .4203038E+07   1080021E-01 -.3548E+03 -.5974E+02   .9999404 -.0109034 -.0005831
T  428  2 .4157796E+07   1080003E-01 -.1771E+03 -.2229E+03   .9999623 -.0075221  .0043429
T  429  2 .4181955E+07   1080003E-01 -.2324E+03 -.2298E+03   .9999475 -.0074746 -.0070095
T  430  2 .4205432E+07   1080010E-01  .4816E+03  .5257E+03   .9999940  .0010218  .0033063
T  431  2 .4179957E+07   1080009E-01 -.9745E+01 -.2286E+03   .9999618 -.0010039 -.0086824
T  432  2 .4193847E+07   1080018E-01 -.2397E+03  .2150E+03   .9999898 -.0043873  .0010445
T  433  2 .4195759E+07   1080004E-01  .1290E+04 -.9990E+03   .9995416  .0193699 -.0232663
T  434  2 .4125344E+07   1080021E-01 -.4010E+03 -.3242E+03   .9999660 -.0065377 -.0050319
T  435  2 .4173965E+07   1080016E-01 -.6105E+02  .7480E+02   .9999859  .0023173 -.0047722
T  436  2 .4184076E+07   1080011E-01 -.9344E+03  .5516E+02   .9997266 -.0222984 -.0070391
T  437  2 .4197707E+07   1080022E-01 -.4899E+03  .3667E+03   .9999246 -.0075609  .0096733
T  438  2 .4213969E+07   1080008E-01 -.1619E+03  .1833E+03   .9999756 -.0059099  .0037234
T  439  2 .4182659E+07   1080018E-01  .4500E+03 -.4494E+03   .9999794  .0058447 -.0026663
T  440  2 .4202649E+07   1080015E-01 -.2924E+03 -.1094E+02   .9999882 -.0038659 -.0029368
T  441  2 .4209119E+07   1080013E-01 -.1515E+03 -.4179E+03   .9999748 -.0028376 -.0065102
T  442  2 .4147503E+07   1080017E-01 -.2220E+03 -.4280E+03   .9999368  .0016723 -.0111150
T  443  2 .4140652E+07   1080003E-01  .3211E+03  .6337E+03   .9998793  .0101597  .0117544
T  444  2 .4202689E+07   1080019E-01  .3393E+03 -.3070E+03   .9999839 -.0007440 -.0056179
T  445  2 .4168289E+07   1080000E-01  .5421E+02  .2146E+03   .9998159  .0139419  .0131798
T  446  2 .4233753E+07   1080018E-01 -.4762E+03  .8421E+03   .9998669 -.0099959  .0128931
T  447  2 .4178637E+07   1080020E-01 -.5321E+03 -.2143E+04   .9995686 -.0126363 -.0265136
T  448  2 .4185469E+07   1080013E-01 -.5990E+02 -.2414E+03   .9999311 -.0053922 -.0104283
T  449  2 .4156484E+07   1080008E-01 -.1343E+03 -.1643E+03   .9999934 -.0019122  .0030775
T  450  2 .4177069E+07   1080010E-01 -.4157E+03 -.1524E+03   .9997895 -.0188140 -.0081818
T  451  2 .4179355E+07   1080020E-01  .6679E+03  .2916E+03   .9999309  .0092358  .0072672
T  452  2 .4149648E+07   1080016E-01 -.4186E+03  .6310E+03   .9999826 -.0014551  .0057133
T  453  2 .4215771E+07   1080017E-01 -.5320E+03 -.1071E+04   .9998550 -.0098296 -.0139024
T  454  2 .4183618E+07   1080020E-01 -.5235E+03  .1290E+04   .9998169 -.0102209  .0161768
T  455  2 .4207461E+07   1080012E-01 -.2526E+03  .2370E+03   .9999749 -.0016444  .0068847
T  456  2 .4179217E+07   1080018E-01 -.4336E+03 -.7930E+03   .9998363 -.0097929 -.0152151
T  457  2 .4137591E+07   1080015E-01  .1141E+04 -.1039E+04   .9998467  .0140361 -.0104635
T  458  2 .4160420E+07   1080021E-01  .6757E+03  .3253E+03   .9999771  .0056631  .0037105
T  459  2 .4179618E+07   1080007E-01 -.4123E+03  .5402E+03   .9999336 -.0073976  .0088402
T  460  2 .4148924E+07   1080018E-01  .1041E+03 -.8054E+02   .9999915  .0029638  .0028778
T  461  2 .4175146E+07   1080002E-01  .3277E+03  .3090E+03   .9999756  .0033590  .0061252
T  462  2 .4164296E+07   1080006E-01 -.5055E+03 -.1360E+03   .9999335 -.0108001 -.0040474
T  463  2 .4190927E+07   1080006E-01  .2488E+04 -.1139E+04   .9986937  .0470327 -.0199719
T  464  2 .4194602E+07   1080019E-01 -.7411E+03  .1261E+03   .9999766 -.0035567  .0058393
T  465  2 .4169871E+07   1080013E-01  .8402E+02  .4197E+03   .9999569  .0068916  .0062150
T  466  2 .4166437E+07   1080008E-01  .4440E+02  .2552E+03   .9999737  .0058432  .0042993
T  467  2 .4165027E+07   1080009E-01  .1926E+03  .7382E+03   .9999510 -.0018149  .0097329
T  468  2 .4183870E+07   1080012E-01 -.7282E+03 -.1129E+03   .9999127 -.0131537  .0012560
T  469  2 .4171238E+07   1080016E-01  .6880E+03 -.1140E+04   .9986008  .0156453 -.0505133
T  470  2 .4161966E+07   1080016E-01  .6831E+03  .3518E+03   .9998671  .0160356  .0029367
T  471  2 .4177009E+07   1080003E-01 -.3486E+03  .3728E+03   .9999797 -.0051996  .0036944
T  472  2 .4205131E+07   1080007E-01  .4619E+03  .4540E+03   .9999678  .0036039  .0071724
T  473  2 .4150245E+07   1080019E-01 -.7978E+03  .4547E+03   .9999170 -.0047519  .0119787
T  474  2 .4166754E+07   1080011E-01 -.5700E+02  .2892E+03   .9999981 -.0019437  .0003212
T  475  2 .4232469E+07   1080015E-01  .7495E+03 -.1594E+04   .9998173  .0095395 -.0165637
T  476  2 .4174127E+07   1080010E-01  .2343E+03 -.4796E+03   .9999948  .0005861 -.0031560
T  477  2 .4193306E+07   1080013E-01  .3687E+03  .7083E+02   .9999558  .0088532 -.0031513
T  478  2 .4195337E+07   1080015E-01 -.4827E+03 -.2561E+03   .9999863 -.0051903  .0006692
T  479  2 .4209416E+07   1080020E-01 -.5449E+03 -.1287E+03   .9999943  .0017832  .0028542
T  480  2 .4171075E+07   1080001E-01 -.3093E+03  .5228E+03   .9999433 -.0071432  .0078950
T  481  2 .4183036E+07   1080004E-01 -.1728E+02 -.1445E+04   .9998092  .0050912 -.0188596
T  482  2 .4193199E+07   1080006E-01 -.2028E+03 -.6006E+02   .9999936 -.0035692 -.0002230
T  483  2 .4198019E+07   1080014E-01  .1682E+03  .2605E+03   .9999984 -.0010839  .0014455
T  484  2 .4149773E+07   1080017E-01 -.1969E+03  .3116E+03   .9999698  .0070000 -.0033700
T  485  2 .4168546E+07   1080010E-01  .3815E+03  .2618E+03   .9999929 -.0025515 -.0027552
T  486  2 .4230364E+07   1080010E-01  .9375E+02 -.2665E+03   .9999915  .0016319 -.0037862
T  487  2 .4182829E+07   1080009E-01 -.9371E+03 -.6451E+03   .9998534 -.0143543 -.0093379
T  488  2 .4205499E+07   1080019E-01  .3028E+03 -.2301E+03   .9999895  .0037305 -.0026548
T  489  2 .4174686E+07   1080003E-01 -.3019E+03  .4373E+02   .9999258 -.0111095  .0050033
T  490  2 .4168759E+07   1080010E-01 -.5611E+03  .4641E+03   .9998724 -.0158074  .0023049
T  491  2 .4202348E+07   1080000E-01  .4256E+03 -.2354E+03   .9999423  .0105977 -.0017569
T  492  2 .4175131E+07   1080013E-01 -.3077E+03 -.8382E+03   .9998299 -.0038699 -.0180351
T  493  2 .4194508E+07   1080005E-01  .9783E+03 -.3131E+03   .9999047  .0137919  .0006606
T  494  2 .4199382E+07   1080007E-01  .3032E+03 -.3753E+03   .9998034  .0047822 -.0192444
T  495  2 .4162067E+07   1080012E-01 -.4372E+03  .3456E+03   .9999829 -.0041827  .0040842
T  496  2 .4210608E+07   1080004E-01  .2152E+03 -.5830E+03   .9999737  .0052431 -.0050176
T  497  2 .4211411E+07   1080020E-01 -.4225E+03  .2994E+03   .9994213 -.0167004  .0296352
