============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar( 10.7 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  2 .4182572E+07   1080012E-01  .4899E+03 -.3207E+03   .9999515  .0089238 -.0041652
T   55  2 .4182061E+07   1080015E-01  .8010E+03  .8954E+02   .9999905  .0040353 -.0016211
T   56  2 .4148920E+07   1080006E-01 -.9007E+03  .2910E+03   .9999157 -.0125257  .0034174
T   57  2 .4216158E+07   1080018E-01 -.2757E+03  .1207E+02   .9999138 -.0124205 -.0042626
T   58  2 .4171247E+07   1080014E-01 -.7809E+03  .1906E+03   .9999436 -.0101486  .0031324
T   59  2 .4159782E+07   1080019E-01 -.4098E+03  .1926E+03   .9999513 -.0082643  .0053899
T   60  2 .4154891E+07   1080019E-01  .5592E+03 -.1754E+03   .9999504  .0088399 -.0045891
T   61  2 .4193177E+07   1080015E-01 -.6352E+03 -.1738E+03   .9999190 -.0010445 -.0126864
T   62  2 .4150979E+07   1080019E-01  .1004E+04  .9111E+02   .9999559  .0093758  .0005370
T   63  2 .4181067E+07   1080021E-01  .2919E+03 -.1276E+03   .9999825  .0056463  .0017798
T   64  2 .4207998E+07   1080007E-01 -.4381E+03  .3869E+03   .9999401 -.0100068  .0044411
T   65  2 .4200093E+07   1080020E-01  .2290E+03  .9035E+03   .9999327  .0059569  .0099508
T   66  2 .4218157E+07   1080020E-01 -.5820E+03  .4755E+02   .9999602 -.0080352  .0038876
T   67  2 .4191901E+07   1080016E-01  .8724E+02  .1965E+03   .9999885  .0026966  .0039579
T   68  2 .4165671E+07   1080001E-01  .7576E+00  .6325E+03   .9998151  .0135773  .0136141
T   69  2 .4205195E+07   1080001E-01 -.2264E+03  .2337E+02   .9999728 -.0065149 -.0034580
T   70  2 .4173973E+07   1080012E-01 -.7727E+03  .2554E+03   .9993380 -.0357028  .0069931
T   71  2 .4202495E+07   1080008E-01  .1308E+02  .8561E+03   .9999717  .0016222  .0073446
T   72  2 .4186490E+07   1080009E-01 -.6370E+02  .9048E+03   .9997907 -.0056423  .0196649
T   73  2 .4160395E+07   1080008E-01  .2068E+04 -.1307E+04   .9994810  .0288090 -.0144113
T   74  2 .4185566E+07   1080003E-01  .1913E+03  .4163E+03   .9999681  .0072655  .0033102
T   75  2 .4177134E+07   1080000E-01  .1169E+03  .1056E+03   .9999723  .0030382 -.0067891
T   76  2 .4185607E+07   1080003E-01 -.1451E+03 -.6480E+03   .9999101  .0019241 -.0132673
T   77  2 .4194355E+07   1080021E-01 -.1810E+03  .4357E+03   .9999844 -.0013434  .0054160
T   78  2 .4207102E+07   1080017E-01 -.2963E+03  .2963E+03   .9999466 -.0068668  .0077183
T   79  2 .4103340E+07   1080003E-01 -.5769E+03  .1099E+04   .9994177 -.0084421  .0330595
T   80  2 .4202458E+07   1080020E-01 -.2657E+02 -.2216E+03   .9999904  .0043468  .0005492
T   81  2 .4214060E+07   1080019E-01 -.3922E+03 -.3520E+03   .9999162 -.0128071 -.0019010
T   82  2 .4183981E+07   1080016E-01 -.6220E+02 -.2480E+03   .9999618 -.0010169 -.0086854
T   83  2 .4152447E+07   1080008E-01 -.2136E+03  .4843E+03   .9999748 -.0062380  .0033917
T   84  2 .4137055E+07   1080018E-01 -.3313E+03  .9246E+03   .9998675 -.0022596  .0161181
T   85  2 .4170010E+07   1080021E-01  .4634E+03 -.2591E+03   .9998792  .0152583 -.0029708
T   86  2 .4189962E+07   1080001E-01  .7189E+03 -.2422E+03   .9999382  .0110395  .0013179
T   87  2 .4212269E+07   1080001E-01 -.2433E+03 -.5498E+02   .9999734 -.0071840 -.0012514
T   88  2 .4181948E+07   1080015E-01 -.1877E+02  .5054E+02   .9999100 -.0128611  .0038067
T   89  2 .4204003E+07   1080011E-01 -.1844E+03  .3074E+03   .9999909 -.0013336  .0040592
T   90  2 .4197733E+07   1080022E-01 -.4290E+03 -.4813E+03   .9997626 -.0118160 -.0183038
T   91  2 .4213095E+07   1080012E-01 -.1823E+03  .3247E+04   .9989850 -.0104841  .0438059
T   92  2 .4171403E+07   1080002E-01  .4653E+03 -.9354E+03   .9998573  .0043134 -.0163326
T   93  2 .4161380E+07   1080012E-01  .7230E+03  .8456E+03   .9994576  .0177800  .0277211
T   94  2 .4147179E+07   1080015E-01  .1063E+04 -.2586E+03   .9997924  .0142683 -.0145465
T   95  2 .4172087E+07   1080001E-01  .1650E+03 -.4154E+03   .9998609 -.0010906 -.0166446
T   96  2 .4188932E+07   1080018E-01  .8650E+03 -.7203E+03   .9998586  .0054796 -.0158972
T   97  2 .4244009E+07   1080008E-01  .6432E+02  .2311E+03   .9999895 -.0045611 -.0005362
T   98  2 .4182823E+07   1080007E-01 -.2137E+03  .1155E+03   .9999887  .0023956  .0041113
T   99  2 .4178122E+07   1080008E-01 -.1544E+04 -.1468E+04   .9996294 -.0228935 -.0147321
T  100  2 .4173472E+07   1080019E-01  .1246E+03  .3399E+03   .9999982  .0017095  .0007826
T  101  2 .4180755E+07   1080017E-01 -.3453E+03 -.2309E+03   .9999319 -.0043564 -.0108311
T  102  2 .4191681E+07   1080003E-01  .1226E+03  .1596E+03   .9999569  .0021486  .0090279
T  103  2 .4205442E+07   1080017E-01 -.2654E+02  .1003E+03   .9999663 -.0082037  .0000867
T  104  2 .4198951E+07   1080015E-01  .2147E+03 -.5775E+02   .9999975  .0022243  .0001972
T  105  2 .4173242E+07   1080018E-01 -.7258E+03 -.1520E+03   .9998824 -.0152224 -.0018849
T  106  2 .4206385E+07   1080020E-01 -.1416E+03  .3794E+03   .9999856  .0026896  .0046364
T  107  2 .4145358E+07   1080003E-01 -.1193E+03  .7403E+03   .9999373 -.0051101  .0099676
T  108  2 .4142693E+07   1080014E-01 -.4694E+03 -.4332E+03   .9998717 -.0144556 -.0068947
T  109  2 .4173416E+07   1080006E-01  .1659E+03 -.1799E+04   .9996801  .0033557 -.0250672
T  110  2 .4178387E+07   1080004E-01 -.3552E+03 -.7500E+02   .9999490 -.0099626  .0016705
T  111  2 .4162752E+07   1080020E-01  .7158E+02 -.9729E+03   .9998073 -.0002150 -.0196280
T  112  2 .4169213E+07   1080019E-01  .4490E+03 -.3663E+03   .9999579  .0089938 -.0018326
T  113  2 .4157967E+07   1080021E-01  .1594E+03 -.1173E+03   .9999840 -.0036572  .0043174
T  114  2 .4219997E+07   1080002E-01  .6349E+03 -.3520E+04   .9994896 -.0029727 -.0318071
T  115  2 .4178901E+07   1080000E-01 -.4927E+02  .2534E+03   .9999704 -.0026735  .0072091
T  116  2 .4146537E+07   1080015E-01  .6255E+03 -.1679E+03   .9999289  .0096151 -.0070525
T  117  2 .4180540E+07   1080003E-01  .7093E+02  .1310E+03   .9999756  .0053530 -.0044903
T  118  2 .4170145E+07   1080003E-01 -.4896E+03  .2305E+03   .9999674 -.0057980  .0056179
T  119  2 .4217098E+07   1080014E-01  .1188E+03  .6028E+02   .9999810  .0058249  .0020001
T  120  2 .4153731E+07   1080013E-01 -.3516E+02  .2608E+03   .9999460  .0026140  .0100617
T  121  2 .4218222E+07   1080009E-01 -.5395E+02 -.5802E+03   .9998718  .0036126 -.0155979
T  122  2 .4170921E+07   1080021E-01  .9251E+03 -.7183E+03   .9998981  .0064609 -.0127302
T  123  2 .4190240E+07   1080015E-01 -.1346E+04 -.9268E+03   .9998748 -.0150847 -.0047788
T  124  2 .4234644E+07   1080011E-01 -.1241E+04 -.5304E+03   .9996675 -.0233299 -.0109829
T  125  2 .4193554E+07   1080016E-01 -.1761E+04 -.1777E+04   .9995434 -.0171568 -.0248737
T  126  2 .4189730E+07   1080018E-01 -.4060E+03 -.4758E+03   .9999762 -.0011556 -.0067976
T  127  2 .4145429E+07   1080017E-01  .2983E+03  .2827E+03   .9999569 -.0046657  .0080233
T  128  2 .4186608E+07   1080004E-01 -.7317E+03  .7428E+03   .9997796 -.0129335  .0165360
T  129  2 .4166402E+07   1080019E-01  .4378E+03  .1136E+03   .9999339  .0099831 -.0057110
T  130  2 .4185656E+07   1080010E-01 -.1235E+04  .9584E+03   .9998346 -.0149220  .0103933
T  131  2 .4216035E+07   1080016E-01  .2298E+03 -.8395E+03   .9998507  .0034764 -.0169285
T  132  2 .4186705E+07   1080011E-01  .9983E+03 -.2634E+03   .9998172  .0187938  .0035261
T  133  2 .4154988E+07   1080018E-01 -.4238E+03 -.8536E+02   .9999041 -.0136071  .0025601
T  134  2 .4221177E+07   1080000E-01 -.1975E+02  .5547E+01   .9999978 -.0020053 -.0005757
T  135  2 .4230530E+07   1080014E-01  .4926E+03  .8330E+03   .9998272 -.0004193  .0185844
T  136  2 .4136132E+07   1080006E-01 -.4130E+03  .7233E+02   .9999588 -.0089546 -.0014835
T  137  2 .4203209E+07   1080006E-01 -.4561E+03 -.3147E+03   .9999274 -.0094087 -.0075286
T  138  2 .4211668E+07   1080005E-01  .7832E+03  .7076E+01   .9999868  .0045580 -.0023778
T  139  2 .4223133E+07   1080008E-01 -.7136E+03 -.1950E+03   .9999589  .0037691 -.0082475
T  140  2 .4147658E+07   1080008E-01  .9375E+04  .3823E+04   .9875553  .1471445  .0555246
T  141  2 .4193286E+07   1080014E-01 -.4023E+03 -.4620E+03   .9999237  .0036024 -.0118171
T  142  2 .4176724E+07   1080006E-01  .2902E+03 -.7124E+02   .9999810  .0061554 -.0003372
T  143  2 .4173137E+07   1080019E-01  .1759E+03 -.2324E+03   .9999971 -.0021584 -.0010852
T  144  2 .4188844E+07   1080011E-01 -.1139E+03  .5184E+02   .9999833  .0055987 -.0014675
T  145  2 .4139563E+07   1080021E-01  .1329E+03  .1668E+03   .9999683 -.0036380  .0070809
T  146  2 .4137731E+07   1080004E-01  .6157E+03  .6658E+03   .9999656  .0056639  .0060652
T  147  2 .4207338E+07   1080009E-01 -.6359E+03  .7392E+03   .9998908 -.0110043  .0098679
T  148  2 .4189379E+07   1080000E-01  .9643E+03 -.1218E+03   .9997185  .0234730 -.0034528
T  149  2 .4206393E+07   1080019E-01 -.7510E+03  .4436E+03   .9998883 -.0121726  .0086690
T  150  2 .4193833E+07   1080011E-01 -.2093E+03 -.4987E+03   .9999310 -.0008714 -.0117157
T  151  2 .4184298E+07   1080009E-01  .1931E+02 -.2807E+03   .9999975 -.0011566 -.0019209
T  152  2 .4162910E+07   1080014E-01 -.4545E+03  .4942E+03   .9999588 -.0083510  .0035596
T  153  2 .4158628E+07   1080018E-01  .5105E+03  .9852E+03   .9998053  .0092858  .0174087
T  154  2 .4217008E+07   1080008E-01 -.1225E+03 -.8343E+02   .9999784 -.0039757  .0052349
T  155  2 .4180187E+07   1080004E-01 -.2598E+03  .7390E+02   .9999817 -.0059891 -.0009083
T  156  2 .4164756E+07   1080019E-01 -.4075E+03 -.2648E+03   .9999660 -.0038349 -.0073052
T  157  2 .4168745E+07   1080000E-01 -.8952E+02  .4892E+03   .9999626 -.0063286  .0059028
T  158  2 .4167344E+07   1080019E-01 -.6124E+03  .4877E+02   .9999898 -.0039857 -.0021106
T  159  2 .4222188E+07   1080005E-01  .1797E+03 -.3700E+03   .9999082  .0135461  .0001158
T  160  2 .4174561E+07   1080020E-01  .3062E+03 -.1906E+03   .9999450  .0104507  .0008848
T  161  2 .4214725E+07   1080010E-01  .2655E+01  .1523E+01   .9999850 -.0049558 -.0023169
T  162  2 .4194303E+07   1080001E-01  .3644E+03  .4702E+03   .9999696  .0043549  .0064660
T  163  2 .4178162E+07   1080001E-01  .2836E+03  .3063E+03   .9998745  .0028262  .0155872
T  164  2 .4194235E+07   1080020E-01 -.8347E+01 -.9334E+03   .9998181  .0063990 -.0179680
