============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  33 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .1168156E+07   3300000E+02 -.3863E+07 -.1416E+07   .9982894 -.0545628  .0210048
T    2  2 .1122858E+07   3300000E+02 -.1834E+07  .2416E+07   .9991216 -.0206204  .0364817
T    3  2 .1166684E+07   3300000E+02  .4278E+07 -.7069E+06   .9995219  .0300956 -.0070902
T    4  2 .1260385E+07   3300000E+02 -.2757E+07  .3933E+06   .9993978 -.0054229  .0342736
T    5  2 .1189137E+07   3300000E+02 -.3979E+06  .2489E+06   .9992572 -.0344622 -.0172443
T    6  2 .1134350E+07   3300000E+02 -.5384E+07  .2840E+07   .9990660 -.0350802 -.0252293
T    7  2 .1213605E+07   3300000E+02  .3774E+06  .3140E+07   .9999734 -.0057345 -.0045120
T    8  2 .1326749E+07   3300000E+02  .3938E+07 -.1686E+06   .9993989  .0318350  .0137223
T    9  2 .1310834E+07   3300000E+02  .4795E+07 -.1152E+07   .9982531  .0567512 -.0164337
T   10  2 .1280886E+07   3300000E+02 -.1597E+07  .7567E+06   .9998346  .0004045 -.0181840
T   11  2 .1250223E+07   3300000E+02  .3146E+07  .1583E+07   .9997506  .0039486  .0219785
T   12  2 .1173932E+07   3300000E+02  .3285E+07  .2595E+07   .9997963 -.0182342  .0086488
T   13  2 .1151922E+07   3300000E+02 -.4520E+05  .3554E+07   .9999047 -.0114007  .0077912
T   14  2 .1270767E+07   3300000E+02  .3103E+07  .2613E+07   .9993442  .0360822 -.0030384
T   15  2 .1204231E+07   3300000E+02  .5916E+06  .1272E+07   .9998084 -.0194766  .0019320
T   16  2 .1288346E+07   3300000E+02  .1392E+07 -.4531E+07   .9993117 -.0267007  .0257520
T   17  2 .1253472E+07   3300000E+02 -.9083E+06  .5990E+07   .9972665 -.0038410  .0737888
T   18  2 .1355375E+07   3300000E+02  .5260E+06  .3996E+07   .9977911 -.0239548  .0619602
T   19  2 .1261071E+07   3300000E+02 -.1423E+07 -.6341E+06   .9996099 -.0222562 -.0168719
T   20  2 .1242572E+07   3300000E+02  .8969E+06  .2587E+07   .9999843 -.0018570 -.0052948
T   21  2 .1175086E+07   3300000E+02  .5470E+07 -.9211E+07   .9994790  .0209401 -.0245604
T   22  2 .1179058E+07   3300000E+02  .4688E+06 -.2131E+07   .9997692 -.0122970  .0176137
T   23  2 .1081143E+07   3300000E+02 -.4409E+07 -.2819E+07   .9990717 -.0336150 -.0269406
T   24  2 .1173808E+07   3300000E+02  .5300E+06  .3489E+06   .9998842  .0142227  .0054124
T   25  2 .1163001E+07   3300000E+02 -.1500E+08 -.6474E+07   .9807165 -.1538011 -.1205834
T   26  2 .1293591E+07   3300000E+02  .2241E+07 -.5180E+07   .9991166  .0284704 -.0309111
T   27  2 .1175030E+07   3300000E+02  .3018E+07 -.3823E+07   .9956505  .0244257 -.0899077
T   28  2 .1162470E+07   3300000E+02  .5969E+06 -.3164E+07   .9999247 -.0020234 -.0121064
T   29  2 .1197753E+07   3300000E+02 -.3410E+07  .1309E+07   .9988214 -.0361148 -.0324286
T   30  2 .1236665E+07   3300000E+02  .6414E+06  .2941E+07   .9993289 -.0149770  .0334267
T   31  2 .1155407E+07   3300000E+02 -.2799E+07  .7307E+06   .9998534  .0159707  .0061765
T   32  2 .1160177E+07   3300000E+02  .1083E+07  .2205E+07   .9996651  .0153625  .0208250
T   33  2 .1096423E+07   3300000E+02 -.8456E+06 -.1485E+07   .9993383  .0134244 -.0338051
T   34  2 .1217979E+07   3300000E+02 -.2550E+07 -.1957E+07   .9962104 -.0322685  .0807690
T   35  2 .1256084E+07   3300000E+02 -.1784E+07 -.1223E+07   .9999526 -.0094783 -.0022069
T   36  2 .1117172E+07   3300000E+02  .4757E+07  .1647E+07   .9987529  .0489747  .0097014
T   37  2 .1187844E+07   3300000E+02  .1554E+07 -.1787E+07   .9986814  .0417948 -.0298102
T   38  2 .1212935E+07   3300000E+02 -.8860E+07  .8106E+06   .9984392 -.0557504 -.0033265
T   39  2 .1166391E+07   3300000E+02 -.1719E+07  .8971E+06   .9995901 -.0284639  .0030596
T   40  2 .1230191E+07   3300000E+02 -.1213E+07 -.4069E+07   .9998223 -.0089843 -.0165749
T   41  2 .1214430E+07   3300000E+02 -.4778E+07  .4170E+07   .9978867 -.0307541  .0572392
T   42  2 .1074044E+07   3300000E+02 -.1730E+07 -.1188E+07   .9998332 -.0180399  .0028612
T   43  2 .1181976E+07   3300000E+02 -.3488E+07 -.7156E+06   .9999539 -.0095619  .0009101
T   44  2 .1282918E+07   3300000E+02  .1864E+07  .6114E+07   .9970679  .0005161  .0765203
T   45  2 .1157332E+07   3300000E+02 -.1386E+07  .3484E+07   .9993058  .0219373  .0301124
T   46  2 .1218850E+07   3300000E+02 -.5847E+07 -.7940E+06   .9991563 -.0410193 -.0020083
T   47  2 .1087316E+07   3300000E+02  .2499E+06 -.1332E+07   .9996485 -.0133903 -.0228814
T   48  2 .1199917E+07   3300000E+02  .1408E+07 -.8982E+06   .9999198  .0114665 -.0053819
T   49  2 .1027240E+07   3300000E+02 -.4792E+07  .5662E+07   .9972304 -.0565926  .0482571
T   50  2 .1214008E+07   3300000E+02  .2766E+07 -.1747E+07   .9994163  .0341511  .0009054
T   51  2 .1277862E+07   3300000E+02  .2067E+07 -.1657E+07   .9991847 -.0220465 -.0338209
T   52  2 .1257223E+07   3300000E+02 -.7143E+06  .1207E+07   .9999356 -.0089496  .0069740
T   53  2 .1222167E+07   3300000E+02 -.2672E+07 -.8025E+06   .9990705 -.0330897  .0276262
T   54  2 .1211589E+07   3300000E+02 -.1926E+07  .3173E+07   .9986932 -.0179190  .0478632
T   55  2 .1189762E+07   3300000E+02 -.2156E+06  .4776E+07   .9986917 -.0085169  .0504227
T   56  2 .1284912E+07   3300000E+02 -.1124E+07 -.8734E+07   .9984470 -.0510696  .0222579
T   57  2 .1257816E+07   3300000E+02  .9966E+06  .1987E+06   .9996801 -.0140162 -.0210514
T   58  2 .1200182E+07   3300000E+02 -.4983E+07  .4271E+07   .9995730 -.0016504  .0291734
T   59  2 .1135417E+07   3300000E+02 -.6091E+04  .2881E+07   .9998062  .0124324  .0152650
T   60  2 .1134288E+07   3300000E+02 -.1767E+07 -.9559E+06   .9990040 -.0443409 -.0049969
T   61  2 .1241264E+07   3300000E+02 -.4906E+07  .9905E+06   .9983379 -.0262465  .0513091
T   62  2 .1302982E+07   3300000E+02 -.4748E+07  .1692E+07   .9994915 -.0276372  .0159021
T   63  2 .1244374E+07   3300000E+02 -.3566E+07 -.3116E+07   .9995819 -.0288336 -.0021513
T   64  2 .1262470E+07   3300000E+02  .8453E+06 -.3589E+07   .9999703 -.0065792 -.0040063
T   65  2 .1208461E+07   3300000E+02  .9344E+06  .2035E+07   .9998119 -.0153278  .0118873
T   66  2 .1249878E+07   3300000E+02 -.3391E+07 -.5226E+06   .9990473 -.0001235 -.0436393
T   67  2 .1244889E+07   3300000E+02  .1303E+07 -.4877E+07   .9979867  .0284083 -.0567061
T   68  2 .1295988E+07   3300000E+02 -.2304E+07 -.5568E+07   .9995478 -.0279646 -.0110562
T   69  2 .1176087E+07   3300000E+02  .2868E+07 -.6094E+06   .9999017 -.0031880  .0136516
T   70  2 .1244959E+07   3300000E+02  .4170E+07  .2681E+07   .9988786  .0391947  .0265582
T   71  2 .1167552E+07   3300000E+02  .6264E+05 -.3764E+07   .9992559  .0275424 -.0270021
T   72  2 .1109980E+07   3300000E+02  .3397E+05 -.2345E+07   .9997005  .0080684 -.0231027
T   73  2 .1126105E+07   3300000E+02 -.4676E+07  .2794E+07   .9992885 -.0163476  .0339900
T   74  2 .1221257E+07   3300000E+02  .3742E+06 -.5594E+07   .9987536 -.0217010 -.0449474
T   75  2 .1343598E+07   3300000E+02 -.3416E+07 -.4246E+07   .9983916 -.0275545 -.0495480
T   76  2 .1178932E+07   3300000E+02 -.5800E+07  .5037E+07   .9993557 -.0252758  .0254800
T   77  2 .1111062E+07   3300000E+02 -.3952E+07 -.1278E+08   .9963672 -.0232945 -.0819133
T   78  2 .1211736E+07   3300000E+02  .3479E+07 -.8680E+06   .9999517 -.0053604 -.0082341
T   79  2 .1172928E+07   3300000E+02 -.1047E+07  .1991E+07   .9997847 -.0021012 -.0206414
T   80  2 .1199058E+07   3300000E+02 -.8418E+07  .5694E+07   .9943048 -.0655376 -.0840398
T   81  2 .1173623E+07   3300000E+02  .8328E+07  .1928E+07   .9979856  .0579318  .0258577
T   82  2 .1104248E+07   3300000E+02 -.5543E+07  .2256E+07   .9989720 -.0438335  .0115586
T   83  2 .1218958E+07   3300000E+02  .3470E+07 -.5372E+07   .9989129  .0287170 -.0367203
T   84  2 .1217970E+07   3300000E+02  .3462E+07  .2002E+07   .9989503  .0143320  .0435083
T   85  2 .1255597E+07   3300000E+02 -.5885E+07 -.2830E+07   .9995652 -.0244709 -.0164516
T   86  2 .1201364E+07   3300000E+02  .1690E+07  .1030E+07   .9996486  .0124876 -.0233811
T   87  2 .1239496E+07   3300000E+02  .3826E+06  .1040E+08   .9987390  .0239949  .0440973
T   88  2 .1254245E+07   3300000E+02  .2169E+07  .1845E+07   .9998154 -.0131465  .0140091
