============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar( 7.19 um) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  223  2 .4613752E+07   7200150E-02  .3937E+03  .2709E+01   .9999235  .0123026 -.0013183
T  224  2 .4656257E+07   7200217E-02 -.3029E+03 -.4437E+03   .9998210 -.0108391 -.0155078
T  225  2 .4638341E+07   7200213E-02  .5537E+03 -.9138E+03   .9993996  .0157707 -.0308502
T  226  2 .4644567E+07   7200211E-02  .8117E+02  .3402E+02   .9999745  .0070372 -.0012419
T  227  2 .4648146E+07   7200090E-02 -.2833E+03 -.1479E+03   .9999345 -.0114492  .0000290
T  228  2 .4643301E+07   7200122E-02  .6211E+02 -.1878E+03   .9999934 -.0019081 -.0030939
T  229  2 .4657459E+07   7200175E-02 -.3375E+03  .6908E+02   .9999625 -.0083277 -.0023762
T  230  2 .4679266E+07   7200130E-02  .7216E+02  .2186E+03   .9999815  .0021245  .0057022
T  231  2 .4615283E+07   7200198E-02 -.9053E+02 -.8469E+02   .9999781 -.0057581  .0032696
T  232  2 .4648357E+07   7200019E-02  .1360E+03  .3671E+03   .9999777 -.0007521  .0066365
T  233  2 .4635674E+07   7200023E-02 -.8498E+02  .1648E+03   .9999941 -.0015255 -.0030655
T  234  2 .4661916E+07   7200032E-02 -.7397E+03 -.2122E+03   .9998971 -.0125453 -.0069554
T  235  2 .4632323E+07   7200000E-02 -.1698E+03 -.4098E+01   .9999595 -.0089439 -.0009866
T  236  2 .4661111E+07   7200125E-02  .7623E+01 -.3103E+02   .9999985 -.0001429 -.0017090
T  237  2 .4662709E+07   7200044E-02 -.3542E+03 -.6590E+01   .9999960 -.0011802  .0025824
T  238  2 .4644479E+07   7200029E-02  .4602E+03  .6059E+02   .9999093  .0131151 -.0030687
T  239  2 .4617441E+07   7200214E-02  .1507E+03 -.1017E+03   .9997011  .0207033  .0130025
T  240  2 .4668780E+07   7200203E-02 -.9340E+02 -.2794E+03   .9999610 -.0053704 -.0070166
T  241  2 .4654105E+07   7200045E-02 -.1431E+03 -.2415E+03   .9999921 -.0038829  .0008183
T  242  2 .4649325E+07   7200063E-02  .3690E+03 -.2409E+03   .9999491  .0090007 -.0045515
T  243  2 .4650452E+07   7200186E-02  .2550E+03  .1120E+03   .9999625  .0086432 -.0005524
T  244  2 .4667013E+07   7200110E-02  .3960E+02 -.1292E+03   .9999632  .0049792 -.0069920
T  245  2 .4624218E+07   7200159E-02  .4098E+02  .4689E+03   .9998648  .0000802  .0164432
T  246  2 .4661607E+07   7200134E-02 -.1977E+03  .2161E+03   .9999653 -.0083169 -.0004708
T  247  2 .4661773E+07   7200199E-02 -.3187E+02 -.2267E+03   .9999789 -.0005352 -.0064765
T  248  2 .4678755E+07   7200176E-02 -.1595E+03 -.1881E+03   .9999748 -.0035745 -.0061408
T  249  2 .4648901E+07   7200089E-02 -.1466E+03 -.1250E+03   .9999736 -.0058935  .0042529
T  250  2 .4648818E+07   7200038E-02  .5277E+02 -.2116E+03   .9999542  .0034189 -.0089430
T  251  2 .4662461E+07   7200117E-02  .1060E+02  .5005E+02   .9999912 -.0040420  .0011518
T  252  2 .4611685E+07   7200133E-02  .1877E+03  .1184E+03   .9999919 -.0026084 -.0030676
T  253  2 .4671262E+07   7200004E-02 -.1867E+03  .3686E+03   .9999174 -.0059447  .0113989
T  254  2 .4642966E+07   7200026E-02 -.5249E+01  .1054E+03   .9999867  .0000671  .0051607
T  255  2 .4682947E+07   7200183E-02  .1342E+03 -.1890E+02   .9999892  .0040691 -.0022438
T  256  2 .4636676E+07   7200111E-02  .3265E+02 -.3600E+03   .9999734  .0038882 -.0061662
T  257  2 .4638877E+07   7200205E-02  .1394E+03  .5833E+02   .9999926  .0037981  .0005710
T  258  2 .4661493E+07   7200075E-02  .3634E+03 -.3306E+03   .9999521  .0084293 -.0049668
T  259  2 .4658171E+07   7200019E-02  .1311E+03  .3737E+02   .9999964  .0017746 -.0020028
T  260  2 .4627584E+07   7200002E-02 -.2389E+03  .6981E+03   .9997615  .0001712  .0218375
T  261  2 .4646381E+07   7200175E-02 -.7482E+02 -.1023E+03   .9999667  .0008008 -.0081222
T  262  2 .4620311E+07   7200077E-02  .1169E+03 -.4186E+02   .9999986  .0006291 -.0015438
T  263  2 .4657136E+07   7200210E-02  .2403E+03  .1871E+03   .9999980  .0018837  .0007146
T  264  2 .4646407E+07   7200211E-02  .1075E+03  .1721E+03   .9999560  .0067451  .0065170
T  265  2 .4628883E+07   7200134E-02 -.1242E+03 -.1221E+03   .9999998 -.0002399 -.0005574
T  266  2 .4618367E+07   7200193E-02 -.6365E+02 -.1966E+03   .9999566 -.0030577 -.0088051
T  267  2 .4637616E+07   7200195E-02  .8310E+00  .7085E+02   .9999997 -.0005425  .0004986
T  268  2 .4632292E+07   7200203E-02 -.2914E+03  .2720E+03   .9996941 -.0022583  .0246282
T  269  2 .4688426E+07   7200090E-02 -.1309E+03  .6894E+02   .9999800 -.0060594  .0017896
T  270  2 .4643198E+07   7200147E-02 -.2382E+03 -.4619E+03   .9999744 -.0008472 -.0071083
T  271  2 .4646344E+07   7200096E-02 -.2395E+03  .1611E+03   .9999240 -.0120471 -.0026152
T  272  2 .4612033E+07   7200135E-02 -.2324E+04  .1762E+04   .9984858 -.0453348  .0311594
T  273  2 .4644723E+07   7200090E-02 -.2988E+03  .1030E+03   .9999113 -.0132548 -.0012665
T  274  2 .4634050E+07   7200078E-02  .5524E+00  .3634E+03   .9999363  .0037968  .0106282
T  275  2 .4656791E+07   7200119E-02 -.8567E+02  .6659E+02   .9999886  .0043621  .0019499
T  276  2 .4627148E+07   7200008E-02 -.3799E+03 -.2006E+03   .9999373 -.0073296 -.0084689
T  277  2 .4617717E+07   7200137E-02  .1853E+03 -.5552E+03   .9998386  .0072663 -.0164292
T  278  2 .4691075E+07   7200006E-02 -.5973E+02 -.4793E+03   .9999513 -.0015554 -.0097417
T  279  2 .4620113E+07   7200052E-02 -.1873E+03 -.2839E+03   .9999623 -.0054342 -.0067744
T  280  2 .4643590E+07   7200025E-02 -.1951E+03 -.4206E+02   .9999913 -.0018839  .0037347
T  281  2 .4592069E+07   7200137E-02 -.1712E+03 -.5028E+02   .9999751 -.0047318  .0052272
T  282  2 .4657950E+07   7200093E-02 -.1139E+03  .4559E+02   .9999939 -.0020364 -.0028262
T  283  2 .4662471E+07   7200187E-02 -.1041E+03  .1440E+03   .9999823  .0059458 -.0003082
T  284  2 .4620298E+07   7200127E-02  .8055E+03  .2339E+03   .9998614  .0163530  .0031281
T  285  2 .4644023E+07   7200041E-02  .1515E+03  .6540E+02   .9999439  .0092835  .0050972
T  286  2 .4656497E+07   7200194E-02 -.1645E+03  .3797E+03   .9998709 -.0031601  .0157572
T  287  2 .4648576E+07   7200159E-02 -.5677E+03  .3168E+03   .9998232 -.0170601  .0079047
T  288  2 .4651834E+07   7200184E-02  .1454E+03  .1274E+03   .9999372  .0079329  .0079170
T  289  2 .4625263E+07   7200167E-02  .4178E+02  .3780E+01   .9999989 -.0007929  .0012793
T  290  2 .4672449E+07   7200168E-02  .1261E+03 -.2436E+02   .9999833 -.0009976  .0056940
T  291  2 .4641607E+07   7200065E-02  .3875E+03  .7041E+03   .9989625 -.0455280 -.0010180
T  292  2 .4629560E+07   7200152E-02  .2857E+03  .1758E+03   .9999423  .0098757  .0042242
T  293  2 .4597625E+07   7200184E-02 -.2916E+03  .7547E+02   .9999567 -.0087622  .0031473
T  294  2 .4617232E+07   7200009E-02 -.6570E+02 -.4556E+02   .9999922 -.0027639 -.0028373
T  295  2 .4671471E+07   7200038E-02  .1120E+03  .1887E+03   .9999953 -.0012291  .0027955
T  296  2 .4638416E+07   7200201E-02 -.1459E+03 -.2499E+02   .9999785 -.0065511  .0002764
T  297  2 .4649219E+07   7200061E-02 -.2868E+03 -.4874E+02   .9999837 -.0018568  .0054030
T  298  2 .4635646E+07   7200106E-02  .2030E+03 -.1922E+03   .9999710  .0029076 -.0070448
T  299  2 .4636229E+07   7200159E-02  .8077E+03  .5506E+02   .9998987  .0141944  .0010210
T  300  2 .4653752E+07   7200210E-02  .1925E+03 -.2212E+02   .9999934  .0028689  .0022411
T  301  2 .4675776E+07   7200096E-02  .1313E+03  .1470E+02   .9999998  .0005128  .0003221
T  302  2 .4619017E+07   7200047E-02 -.9973E+02 -.1145E+03   .9999814 -.0047862 -.0037748
T  303  2 .4659578E+07   7200011E-02  .2054E+03 -.1510E+03   .9999818  .0043307 -.0042047
T  304  2 .4660612E+07   7200127E-02 -.6430E+01  .2407E+03   .9999838  .0001295  .0056981
T  305  2 .4667059E+07   7200062E-02 -.1722E+03 -.5962E+02   .9999830 -.0058185 -.0004332
T  306  2 .4626899E+07   7200082E-02  .1809E+03  .2220E+03   .9999905  .0003411  .0043404
T  307  2 .4648564E+07   7200187E-02 -.1307E+03 -.1194E+03   .9999527 -.0075759  .0061007
T  308  2 .4608863E+07   7200148E-02 -.2482E+03  .2411E+03   .9998968 -.0081774  .0118134
T  309  2 .4659970E+07   7200120E-02  .1025E+03 -.1692E+03   .9999757  .0051538 -.0047040
T  310  2 .4645805E+07   7200084E-02 -.3691E+02 -.1649E+03   .9999999  .0000908 -.0003232
T  311  2 .4646796E+07   7200200E-02  .1250E+03 -.1673E+03   .9999820  .0058369 -.0014063
T  312  2 .4642616E+07   7200122E-02  .2642E+03 -.4943E+02   .9999393  .0098536 -.0049215
T  313  2 .4678187E+07   7200078E-02 -.1591E+03 -.2295E+02   .9999863 -.0001659 -.0052357
T  314  2 .4658791E+07   7200037E-02 -.7506E+01  .7666E+02   .9999988 -.0013727  .0006625
T  315  2 .4666919E+07   7200064E-02  .1997E+02 -.3512E+03   .9999792  .0040709 -.0050066
T  316  2 .4660170E+07   7200008E-02 -.1777E+03 -.1797E+03   .9999833 -.0028137 -.0050505
T  317  2 .4651567E+07   7200148E-02 -.1046E+03 -.1329E+03   .9999961 -.0016635 -.0022481
T  318  2 .4680343E+07   7200113E-02 -.3339E+02 -.3304E+03   .9999755 -.0008599 -.0069436
T  319  2 .4640765E+07   7200182E-02  .1418E+03 -.1767E+03   .9999878 -.0011581 -.0047921
T  320  2 .4657501E+07   7200189E-02  .1576E+03 -.2595E+03   .9999140 -.0026020 -.0128533
T  321  2 .4650182E+07   7200206E-02 -.1042E+03 -.1616E+02   .9999887 -.0047422  .0004566
T  322  2 .4651515E+07   7200087E-02 -.9515E+02 -.4680E+02   .9999575  .0064705 -.0065750
T  323  2 .4664774E+07   7200203E-02 -.3999E+02 -.6090E+03   .9999065  .0006828 -.0136610
T  324  2 .4668011E+07   7200199E-02 -.4067E+02 -.8581E+02   .9999553 -.0065136 -.0068535
T  325  2 .4670204E+07   7200033E-02 -.2354E+03 -.8402E+01   .9999723 -.0071427 -.0020698
T  326  2 .4659840E+07   7200151E-02 -.1723E+02 -.7526E+02   .9999762 -.0067813 -.0012439
T  327  2 .4625976E+07   7200216E-02  .2363E+03 -.2223E+03   .9999138 -.0013565 -.0130608
T  328  2 .4668851E+07   7200213E-02 -.1120E+03  .3613E+03   .9999915 -.0041154  .0000776
T  329  2 .4663123E+07   7200021E-02  .2003E+00 -.5100E+02   .9999994 -.0003883  .0010345
T  330  2 .4617176E+07   7200130E-02 -.2929E+03 -.1342E+03   .9999971 -.0023809  .0003155
T  331  2 .4622659E+07   7200084E-02  .1673E+03 -.2184E+03   .9999496  .0080903 -.0059499
T  332  2 .4624702E+07   7200190E-02 -.3941E+03 -.1677E+03   .9998922 -.0146466 -.0010083
T  333  2 .4626877E+07   7200123E-02  .2748E+02  .3563E+02   .9999845  .0008805  .0054928
T  334  2 .4651532E+07   7200120E-02 -.1484E+03  .5855E+02   .9999865 -.0006387  .0051652
T  335  2 .4634654E+07   7200047E-02  .3859E+03  .3917E+03   .9999663  .0071287  .0040710
T  336  2 .4661572E+07   7200057E-02  .7159E+01 -.3029E+02   .9999891 -.0020959 -.0041656
T  337  2 .4655658E+07   7200194E-02 -.8402E+02 -.1489E+03   .9999909 -.0001807 -.0042592
T  338  2 .4650338E+07   7200018E-02  .4586E+03  .1404E+03   .9999328  .0101001  .0056878
T  339  2 .4659996E+07   7200150E-02 -.6100E+03 -.8557E+02   .9999406 -.0108533 -.0010279
T  340  2 .4617348E+07   7200147E-02 -.3696E+02 -.6243E+02   .9999880  .0040169 -.0027910
T  341  2 .4708327E+07   7200215E-02 -.2825E+03 -.4609E+02   .9999624 -.0084482 -.0019748
T  342  2 .4633197E+07   7200035E-02 -.4237E+03  .7216E+02   .9999729 -.0073540  .0003770
T  343  2 .4624709E+07   7200143E-02  .2435E+03  .1603E+03   .9999833  .0057797  .0000972
T  344  2 .4629637E+07   7200193E-02 -.2748E+03 -.9314E+02   .9999562 -.0082431  .0044288
T  345  2 .4643043E+07   7200060E-02  .1444E+03  .1803E+03   .9999976  .0019600 -.0009882
T  346  2 .4638517E+07   7200147E-02  .4014E+03 -.1452E+03   .9996257  .0217919 -.0165411
T  347  2 .4643690E+07   7200080E-02  .1770E+03 -.6225E+02   .9999932  .0036181 -.0007377
T  348  2 .4635192E+07   7200072E-02 -.3902E+03 -.4418E+03   .9998664 -.0105043 -.0125204
T  349  2 .4625955E+07   7200184E-02  .2195E+03 -.9629E+03   .9999219  .0047712 -.0115515
T  350  2 .4658685E+07   7200120E-02 -.7600E+03  .6690E+03   .9997922 -.0167909  .0115566
T  351  2 .4636084E+07   7200109E-02  .5041E+02 -.8214E+02   .9999942  .0026874 -.0021032
T  352  2 .4616989E+07   7200159E-02  .2321E+03  .2775E+03   .9999766  .0042264  .0053724
T  353  2 .4644606E+07   7200083E-02 -.7821E+02  .1552E+03   .9999769  .0043484  .0052210
T  354  2 .4647140E+07   7200122E-02  .2561E+02 -.7071E+03   .9998903  .0030873 -.0144882
T  355  2 .4608976E+07   7200051E-02 -.2235E+03 -.2312E+03   .9999605 -.0069925 -.0054803
T  356  2 .4630841E+07   7200166E-02  .2579E+03  .1656E+03   .9999780  .0050424  .0043153
T  357  2 .4630953E+07   7200167E-02  .1933E+03  .5131E+03   .9999049  .0014277  .0137184
T  358  2 .4609554E+07   7200100E-02  .1603E+02  .4421E+02   .9999656  .0037573  .0073997
T  359  2 .4638356E+07   7200198E-02  .1101E+03 -.3901E+01   .9999950  .0018652 -.0025460
T  360  2 .4621502E+07   7200131E-02 -.1839E+02 -.2097E+03   .9999531 -.0047255 -.0084572
T  361  2 .4684461E+07   7200177E-02  .1511E+03  .1113E+03   .9999921  .0011761  .0037849
T  362  2 .4655805E+07   7200208E-02 -.5942E+02 -.1169E+03   .9999926 -.0011186  .0036752
T  363  2 .4645852E+07   7200100E-02  .2320E+02  .1710E+03   .9999946  .0031615  .0008551
T  364  2 .4643822E+07   7200211E-02 -.1143E+03 -.5580E+02   .9997652 -.0068569 -.0205545
T  365  2 .4606507E+07   7200025E-02  .1988E+03  .2434E+03   .9999922  .0039039 -.0006780
T  366  2 .4624144E+07   7200135E-02 -.1108E+03 -.1232E+03   .9999928 -.0003401 -.0037871
T  367  2 .4651922E+07   7200154E-02 -.3632E+03 -.1667E+03   .9999198 -.0125999 -.0013144
T  368  2 .4655607E+07   7200069E-02 -.1122E+03 -.2089E+03   .9999692 -.0029255 -.0072777
T  369  2 .4632945E+07   7200001E-02  .8056E+02  .6547E+02   .9999921 -.0030092  .0025949
T  370  2 .4648830E+07   7200088E-02  .3311E+03  .5334E+02   .9999874  .0044896  .0022465
T  371  2 .4668810E+07   7200018E-02  .5548E+02  .3052E+03   .9999123  .0022244  .0130534
T  372  2 .4634124E+07   7200023E-02 -.2394E+03 -.1746E+03   .9999736 -.0051818 -.0051005
T  373  2 .4636332E+07   7200150E-02 -.3970E+03  .2467E+03   .9999746 -.0057395  .0042202
T  374  2 .4621002E+07   7200150E-02  .1273E+03  .4524E+03   .9999308 -.0019763  .0115989
T  375  2 .4625366E+07   7200063E-02 -.3337E+03  .3481E+03   .9999420 -.0081554  .0070311
T  376  2 .4658625E+07   7200153E-02  .6363E+03  .1921E+03   .9999688  .0070806  .0034894
T  377  2 .4649733E+07   7200147E-02 -.7116E+02 -.2065E+03   .9999952 -.0005743 -.0030466
T  378  2 .4648444E+07   7200209E-02 -.1515E+03 -.1132E+02   .9999999 -.0003661  .0004070
T  379  2 .4641187E+07   7200001E-02  .2726E+03  .3360E+03   .9999121  .0077280  .0107774
T  380  2 .4651239E+07   7200009E-02 -.6294E+02 -.9614E+02   .9999878  .0010831 -.0048129
T  381  2 .4641081E+07   7200027E-02 -.1839E+03 -.1187E+03   .9997678  .0035064 -.0212615
T  382  2 .4623229E+07   7200052E-02  .3069E+03  .8271E+02   .9999691  .0077762  .0011720
T  383  2 .4664919E+07   7200132E-02  .1789E+03  .4375E+03   .9999593  .0040063  .0080876
T  384  2 .4633693E+07   7200106E-02 -.2485E+03 -.2222E+03   .9999972 -.0010717 -.0021103
T  385  2 .4654192E+07   7200146E-02 -.2821E+02  .3091E+02   .9999953 -.0011747 -.0028370
T  386  2 .4599160E+07   7200200E-02  .1564E+03 -.1912E+03   .9999171  .0072062 -.0106687
T  387  2 .4654140E+07   7200217E-02  .2984E+03 -.2488E+03   .9999539  .0036084 -.0088961
T  388  2 .4667357E+07   7200130E-02 -.3358E+03 -.1516E+03   .9999867 -.0049412 -.0015062
T  389  2 .4651409E+07   7200179E-02 -.1729E+02  .5182E+03   .9999302 -.0006593  .0117935
T  390  2 .4640115E+07   7200206E-02 -.1502E+03 -.1882E+03   .9999533 -.0012011 -.0095910
T  391  2 .4615202E+07   7200090E-02  .1409E+03  .1410E+03   .9999863  .0052151 -.0003896
T  392  2 .4635773E+07   7200217E-02 -.8042E+02  .1317E+03   .9999919  .0002969  .0040140
T  393  2 .4653002E+07   7200153E-02  .3277E+03 -.4817E+03   .9998575  .0083315 -.0146790
T  394  2 .4666058E+07   7200010E-02 -.4206E+02  .6481E+02   .9999857 -.0037038  .0038589
T  395  2 .4656305E+07   7200057E-02  .1749E+03  .7753E+02   .9999359  .0108928  .0030992
T  396  2 .4643017E+07   7200082E-02 -.4959E+02  .6511E+02   .9999875 -.0024901  .0043292
T  397  2 .4640998E+07   7200091E-02 -.5950E+02  .4346E+02   .9999794 -.0001738  .0064113
T  398  2 .4645893E+07   7200119E-02  .1190E+03 -.5586E+03   .9998769 -.0037569 -.0152371
T  399  2 .4658110E+07   7200025E-02 -.2701E+03 -.2080E+03   .9999485 -.0097603 -.0027846
T  400  2 .4671243E+07   7200035E-02 -.3474E+02 -.6500E+02   .9999957 -.0027121 -.0010758
T  401  2 .4653643E+07   7200205E-02 -.1890E+02 -.1320E+02   .9999988 -.0013141 -.0008237
T  402  2 .4678299E+07   7200058E-02  .2652E+03  .1940E+03   .9999656  .0036505  .0074421
T  403  2 .4620205E+07   7200185E-02 -.3671E+03  .7422E+01   .9999200 -.0112384 -.0058004
T  404  2 .4627471E+07   7200076E-02  .8090E+02  .2509E+03   .9999814  .0002008  .0061023
T  405  2 .4669640E+07   7200068E-02 -.3784E+03  .8613E+02   .9999803 -.0052829 -.0033873
T  406  2 .4680348E+07   7200210E-02  .5464E+02  .4682E+03   .9999736  .0043258  .0058424
T  407  2 .4645846E+07   7200009E-02 -.6419E+02 -.2457E+03   .9999783 -.0040766 -.0051785
T  408  2 .4640533E+07   7200140E-02 -.1091E+03 -.1995E+03   .9999653 -.0045241 -.0069961
T  409  2 .4626336E+07   7200177E-02  .8903E+02 -.1672E+03   .9999987  .0002232 -.0016082
T  410  2 .4658520E+07   7200205E-02 -.4666E+02 -.9840E+02   .9999989  .0007757 -.0012495
T  411  2 .4615688E+07   7200119E-02  .5912E+01 -.2158E+03   .9999707 -.0017042 -.0074685
T  412  2 .4643812E+07   7200177E-02  .2614E+03  .1251E+02   .9999610  .0038403 -.0079527
T  413  2 .4652296E+07   7200103E-02  .5378E+03  .6643E+03   .9995985  .0164609  .0230622
T  414  2 .4621584E+07   7200169E-02  .1784E+03 -.3840E+02   .9999856  .0053447  .0004003
T  415  2 .4600316E+07   7200005E-02  .1629E+03 -.7396E+02   .9999982 -.0011859 -.0014629
T  416  2 .4652902E+07   7200143E-02  .2304E+02  .1197E+03   .9999950  .0031628 -.0001126
T  417  2 .4639688E+07   7200006E-02 -.2863E+03 -.2155E+03   .9999900 -.0040118 -.0019600
T  418  2 .4673423E+07   7200160E-02 -.4324E+03  .8792E+02   .9999487 -.0096417  .0031053
T  419  2 .4623772E+07   7200216E-02  .4392E+02 -.1650E+02   .9999812  .0058339  .0019007
T  420  2 .4623399E+07   7200007E-02 -.6071E+03 -.2321E+03   .9999244 -.0108869 -.0057153
T  421  2 .4630005E+07   7200114E-02 -.6278E+02  .1604E+03   .9999747 -.0033838  .0062622
T  422  2 .4625911E+07   7200137E-02 -.3118E+03  .7500E+02   .9999957 -.0025115 -.0015373
T  423  2 .4667720E+07   7200014E-02  .1531E+03 -.1072E+03   .9999760  .0057069 -.0039338
T  424  2 .4605487E+07   7200199E-02 -.1471E+03 -.1272E+03   .9999969 -.0007506 -.0023860
T  425  2 .4648136E+07   7200176E-02  .3056E+03 -.4262E+03   .9997735  .0152698 -.0148255
T  426  2 .4666114E+07   7200171E-02 -.3182E+03 -.3551E+03   .9999472 -.0067472 -.0077570
T  427  2 .4612661E+07   7200027E-02 -.1701E+03  .1006E+02   .9999911 -.0026383 -.0032965
T  428  2 .4638303E+07   7200178E-02 -.6410E+02 -.2615E+02   .9999669  .0048167  .0065591
T  429  2 .4630109E+07   7200118E-02 -.2220E+03  .2292E+03   .9999624 -.0065485  .0056832
T  430  2 .4648389E+07   7200207E-02  .2517E+03  .1749E+03   .9999587  .0090822 -.0003453
T  431  2 .4659444E+07   7200165E-02  .3730E+03  .3428E+03   .9999740  .0014054  .0070768
T  432  2 .4637877E+07   7200027E-02  .3567E+02  .6858E+02   .9999754 -.0067583 -.0018983
T  433  2 .4656901E+07   7200113E-02 -.1165E+03  .1550E+03   .9999892 -.0045373  .0010041
T  434  2 .4637162E+07   7200162E-02  .1667E+03  .9084E+02   .9999861  .0036303 -.0038202
T  435  2 .4643742E+07   7200172E-02 -.3950E+02  .1101E+03   .9999919 -.0031713  .0024872
T  436  2 .4643795E+07   7200132E-02  .9618E+02  .2218E+03   .9999808 -.0025895  .0056256
T  437  2 .4616013E+07   7200209E-02  .4736E+02 -.2387E+03   .9999612  .0070228 -.0053236
T  438  2 .4655161E+07   7200159E-02 -.1830E+03  .4421E+03   .9999510  .0003082  .0098951
T  439  2 .4662220E+07   7200216E-02 -.2323E+03 -.7574E+02   .9998710 -.0112342 -.0114829
T  440  2 .4647612E+07   7200215E-02 -.6022E+02 -.1104E+03   .9999905 -.0026864 -.0034469
T  441  2 .4652468E+07   7200156E-02  .1671E+03  .6234E+03   .9996905  .0080234  .0235482
T  442  2 .4651595E+07   7200010E-02  .4120E+02  .5354E+02   .9999832 -.0014223  .0056116
T  443  2 .4624966E+07   7200104E-02 -.1186E+02 -.6855E+03   .9999092 -.0007127 -.0134534
T  444  2 .4642802E+07   7200104E-02  .7752E+02  .1119E+03   .9999582  .0088211  .0023848
T  445  2 .4674397E+07   7200175E-02 -.1096E+03  .2034E+03   .9999950 -.0018973 -.0025235
T  446  2 .4673592E+07   7200171E-02  .5150E+02  .1818E+03   .9999999  .0003920  .0000286
T  447  2 .4629940E+07   7200017E-02  .1204E+03 -.6563E+02   .9999896  .0039764  .0022312
T  448  2 .4667931E+07   7200217E-02 -.6886E+02  .1449E+03   .9999933  .0008643  .0035544
T  449  2 .4645741E+07   7200208E-02 -.1113E+03 -.3381E+03   .9999728  .0027873 -.0068305
T  450  2 .4639999E+07   7200114E-02  .9611E+02  .1776E+03   .9999521  .0078234  .0058896
T  451  2 .4675459E+07   7200187E-02  .1153E+03 -.1923E+01   .9999912  .0037913 -.0017736
T  452  2 .4642885E+07   7200188E-02 -.6818E+02 -.7830E+01   .9999820 -.0026048 -.0053987
T  453  2 .4659051E+07   7200090E-02  .5534E+02  .2417E+02   .9999841  .0035503 -.0043706
T  454  2 .4633460E+07   7200188E-02  .1844E+02 -.9842E+02   .9999924  .0008963 -.0037889
T  455  2 .4662808E+07   7200180E-02  .4629E+03 -.1674E+03   .9999156  .0126234 -.0030695
T  456  2 .4618159E+07   7200069E-02 -.2886E+02  .4554E+03   .9999573 -.0032540  .0086535
T  457  2 .4637605E+07   7200095E-02 -.4781E+02  .9070E+02   .9999984 -.0013052 -.0012302
T  458  2 .4665460E+07   7200133E-02  .1217E+03 -.1072E+03   .9999920  .0018365 -.0035511
T  459  2 .4638029E+07   7200160E-02  .3225E+03  .1357E+02   .9998945  .0144155  .0017866
T  460  2 .4671526E+07   7200003E-02 -.3156E+03 -.4336E+02   .9999833 -.0038259 -.0043381
T  461  2 .4648864E+07   7200104E-02 -.1941E+02  .6318E+03   .9997936 -.0104010  .0174539
T  462  2 .4615325E+07   7200140E-02 -.4309E+03  .3069E+03   .9999023 -.0139281 -.0012001
T  463  2 .4659135E+07   7200114E-02 -.1563E+03  .2094E+03   .9999664 -.0033846  .0074697
T  464  2 .4577690E+07   7200107E-02  .3528E+04  .2354E+04   .9828473  .1538272  .1017272
T  465  2 .4630774E+07   7200188E-02 -.2788E+03 -.2862E+03   .9999611 -.0075471 -.0045691
T  466  2 .4643786E+07   7200119E-02 -.4393E+03  .1522E+03   .9999174 -.0107644  .0070236
T  467  2 .4670341E+07   7200112E-02 -.2222E+03 -.2634E+03   .9999383 -.0102278 -.0043257
T  468  2 .4656571E+07   7200062E-02 -.3680E+03  .9677E+02   .9999754 -.0065073 -.0026205
T  469  2 .4630566E+07   7200199E-02  .1998E+03 -.3015E+03   .9999807  .0001050 -.0062078
T  470  2 .4649543E+07   7200163E-02 -.2249E+03  .1381E+03   .9999947 -.0030465 -.0011591
T  471  2 .4655156E+07   7200086E-02 -.1485E+03  .1275E+03   .9999639 -.0070338  .0047687
T  472  2 .4639369E+07   7200067E-02  .9235E+02 -.1440E+03   .9998513 -.0022956  .0170937
T  473  2 .4645691E+07   7200188E-02  .1748E+03  .1094E+03   .9999887 -.0034375 -.0032926
T  474  2 .4657803E+07   7200177E-02 -.5608E+02 -.6891E+02   .9999909 -.0036458 -.0022008
T  475  2 .4656489E+07   7200215E-02  .3308E+03 -.2737E+03   .9999588  .0077004 -.0047965
T  476  2 .4653868E+07   7200003E-02 -.1889E+03  .6574E+02   .9999797 -.0057422  .0027691
T  477  2 .4622582E+07   7200129E-02  .3343E+01 -.3298E+02   .9999360 -.0031796 -.0108599
T  478  2 .4617489E+07   7200117E-02  .2431E+03 -.5227E+03   .9999339  .0014589 -.0114047
T  479  2 .4657488E+07   7200117E-02 -.1510E+03  .3644E+03   .9999289 -.0071080  .0095729
T  480  2 .4640102E+07   7200169E-02  .1429E+03  .5679E+03   .9998397  .0083872  .0158156
T  481  2 .4665333E+07   7200103E-02  .2926E+03 -.3226E+03   .9999401  .0092871 -.0057949
T  482  2 .4633273E+07   7200050E-02 -.6510E+02  .1758E+03   .9999931 -.0019268  .0031862
