============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  30 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .1783762E+07   3000000E+02 -.2989E+07 -.1700E+07   .9998007 -.0198393  .0022484
T    2  2 .1836905E+07   3000000E+02  .5938E+07 -.6458E+07   .9939395  .0709627 -.0839552
T    3  2 .1797229E+07   3000000E+02 -.2021E+07 -.3034E+07   .9995264 -.0072078 -.0299167
T    4  2 .1877393E+07   3000000E+02  .2329E+07  .4750E+07   .9987059  .0331396  .0385793
T    5  2 .1800101E+07   3000000E+02  .1076E+07  .7613E+06   .9998348  .0027738 -.0179655
T    6  2 .1911380E+07   3000000E+02 -.4335E+06  .2138E+07   .9998564  .0053437  .0160800
T    7  2 .1791833E+07   3000000E+02 -.4414E+05  .5872E+06   .9999505  .0003754 -.0099437
T    8  2 .1887381E+07   3000000E+02 -.2610E+07  .8015E+06   .9999290 -.0118747 -.0009951
T    9  2 .1792079E+07   3000000E+02 -.2113E+07  .3349E+07   .9990129 -.0124050  .0426536
T   10  2 .1734671E+07   3000000E+02  .4584E+07  .4246E+07   .9990159  .0335205  .0290466
T   11  2 .1786891E+07   3000000E+02 -.1573E+07 -.1164E+07   .9995186 -.0260997 -.0167755
T   12  2 .1719335E+07   3000000E+02 -.2068E+07  .4023E+07   .9986750  .0509428 -.0072798
T   13  2 .1805360E+07   3000000E+02  .4524E+07  .1861E+07   .9989992 -.0370393  .0250748
T   14  2 .1799494E+07   3000000E+02  .5709E+06  .5551E+06   .9995696 -.0139740  .0257936
T   15  2 .1825634E+07   3000000E+02 -.1994E+06  .4336E+07   .9991707 -.0240320  .0328700
T   16  2 .1847170E+07   3000000E+02  .6274E+07 -.1718E+07   .9999055  .0091270 -.0102807
T   17  2 .1854420E+07   3000000E+02  .2907E+07  .5296E+07   .9992884  .0241989  .0289326
T   18  2 .1890608E+07   3000000E+02  .8382E+06 -.9844E+06   .9999116  .0021672 -.0131200
T   19  2 .1866113E+07   3000000E+02 -.2723E+07 -.1758E+07   .9999276  .0025446 -.0117625
T   20  2 .1821778E+07   3000000E+02 -.1981E+07  .5671E+07   .9997487  .0219940  .0043340
T   21  2 .1937837E+07   3000000E+02 -.4853E+07  .8617E+06   .9996208 -.0264938  .0075109
T   22  2 .1749148E+07   3000000E+02  .6972E+07  .2162E+07   .9995446  .0268432 -.0137817
T   23  2 .1754886E+07   3000000E+02 -.1278E+08 -.2610E+08   .9903200 -.0202149 -.1373228
T   24  2 .1900442E+07   3000000E+02 -.5648E+07  .2011E+06   .9990685 -.0425051  .0074518
T   25  2 .1805721E+07   3000000E+02  .1281E+06  .6429E+07   .9986286  .0275974  .0444904
T   26  2 .1805892E+07   3000000E+02  .7727E+07  .7391E+06   .9929842  .0881909 -.0787704
T   27  2 .1840979E+07   3000000E+02  .8954E+06  .4028E+07   .9994358 -.0039327  .0333557
T   28  2 .1913762E+07   3000000E+02 -.3013E+06 -.3896E+07   .9994214  .0031075 -.0338717
T   29  2 .1757176E+07   3000000E+02  .3302E+07  .1147E+07   .9993749  .0252909  .0246999
T   30  2 .1837177E+07   3000000E+02 -.7875E+06  .5726E+07   .9989205 -.0119477  .0448903
T   31  2 .1773438E+07   3000000E+02  .4457E+07  .3567E+07   .9983399  .0493667  .0296722
T   32  2 .1760034E+07   3000000E+02 -.9055E+06 -.1868E+07   .9997389 -.0197657 -.0114618
T   33  2 .1678510E+07   3000000E+02 -.1937E+07 -.7288E+07   .9931215 -.0579568 -.1017382
