============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  12 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  2 .3352944E+07   1200003E-01 -.2157E+04  .3455E+02   .9995649 -.0287270 -.0066884
T   55  2 .3407401E+07   1200024E-01 -.1057E+03  .9121E+03   .9999519 -.0077615  .0059922
T   56  2 .3308968E+07   1200008E-01  .2113E+04 -.8522E+03   .9996843  .0165298 -.0189227
T   57  2 .3371613E+07   1200017E-01  .9882E+04  .2532E+04   .9906119  .1358123  .0155944
T   58  2 .3388809E+07   1200014E-01 -.8220E+03 -.7943E+03   .9997764  .0162644  .0135141
T   59  2 .3391637E+07   1200022E-01 -.3953E+03 -.1057E+03   .9999358 -.0056169 -.0098441
T   60  2 .3473736E+07   1200000E-01 -.3951E+03 -.2779E+04   .9993675  .0002852 -.0355599
T   61  2 .3425798E+07   1200019E-01 -.1734E+04  .5880E+03   .9993247 -.0357710 -.0083984
T   62  2 .3418027E+07   1200025E-01  .5330E+03 -.7343E+03   .9998075  .0139835 -.0137627
T   63  2 .3399711E+07   1200019E-01 -.7641E+03 -.6293E+03   .9997591 -.0203417  .0082464
T   64  2 .3345175E+07   1200022E-01 -.2219E+04  .2120E+04   .9989093 -.0354886  .0303432
T   65  2 .3349195E+07   1200001E-01  .8134E+03 -.4260E+02   .9999401  .0103224 -.0036287
T   66  2 .3430399E+07   1200018E-01 -.3541E+03  .4432E+03   .9995208 -.0013310  .0309248
T   67  2 .3456897E+07   1200023E-01  .8149E+03 -.1178E+04   .9996647  .0180348 -.0185781
T   68  2 .3346565E+07   1200025E-01 -.1205E+04 -.1161E+04   .9998958  .0013165 -.0143760
T   69  2 .3392065E+07   1200000E-01  .9827E+02  .1168E+04   .9996440  .0218349  .0153320
T   70  2 .3488221E+07   1200002E-01  .1700E+04 -.2195E+04   .9989090  .0371134 -.0283438
T   71  2 .3423082E+07   1200020E-01 -.4933E+03  .2077E+02   .9998302 -.0173612  .0061837
T   72  2 .3398306E+07   1200001E-01  .8393E+03 -.2710E+02   .9994168  .0341403 -.0006546
T   73  2 .3425960E+07   1200014E-01 -.8950E+03  .3130E+03   .9999862 -.0001142 -.0052494
T   74  2 .3347941E+07   1200019E-01  .7401E+03  .8815E+03   .9999219 -.0124291  .0013118
T   75  2 .3368590E+07   1200003E-01  .1338E+04  .3707E+03   .9994059  .0341381  .0047292
T   76  2 .3435999E+07   1200003E-01 -.6533E+03 -.1323E+04   .9999365 -.0055897 -.0097844
T   77  2 .3382300E+07   1200012E-01 -.7944E+03 -.2403E+04   .9989688 -.0174563 -.0419121
T   78  2 .3380243E+07   1200001E-01  .1859E+02  .1220E+04   .9998569 -.0168713  .0012400
T   79  2 .3437403E+07   1200006E-01 -.2775E+03 -.1309E+04   .9999281  .0076883 -.0092036
T   80  2 .3340977E+07   1200025E-01 -.8545E+03  .1567E+04   .9998108 -.0094043  .0170298
T   81  2 .3424443E+07   1200022E-01  .8635E+02  .3264E+04   .9989031  .0268526  .0383597
T   82  2 .3345474E+07   1200004E-01  .1079E+04  .2109E+04   .9994838 -.0112305  .0301007
T   83  2 .3432353E+07   1200015E-01  .1449E+04 -.3377E+03   .9998495  .0090885 -.0147783
T   84  2 .3414979E+07   1200004E-01 -.1728E+04 -.8810E+03   .9998992 -.0141109 -.0015729
T   85  2 .3413021E+07   1200003E-01 -.1761E+04  .1432E+04   .9986101 -.0496776  .0176049
T   86  2 .3405558E+07   1200002E-01  .3884E+03 -.1920E+04   .9996571 -.0029121 -.0260234
T   87  2 .3429159E+07   1200004E-01  .8638E+02 -.4322E+03   .9999044 -.0069634 -.0119452
T   88  2 .3443609E+07   1200017E-01  .6671E+03  .2440E+03   .9999296  .0109724  .0045106
T   89  2 .3390081E+07   1200016E-01  .1393E+03  .1372E+04   .9996224  .0130191  .0241967
T   90  2 .3400760E+07   1200019E-01  .5957E+03 -.4056E+03   .9999796 -.0042668  .0047553
T   91  2 .3379411E+07   1200016E-01 -.6984E+04 -.5632E+03   .9978873 -.0632680 -.0147698
T   92  2 .3394445E+07   1200007E-01 -.1251E+04 -.4069E+03   .9997805 -.0191350 -.0085290
T   93  2 .3470575E+07   1200004E-01  .2965E+03 -.1341E+04   .9999077  .0033121 -.0131794
T   94  2 .3400924E+07   1200021E-01  .1275E+04 -.9396E+03   .9998778  .0156194 -.0007059
T   95  2 .3467160E+07   1200022E-01 -.5083E+03  .8090E+03   .9997524 -.0067594  .0212008
T   96  2 .3392833E+07   1200023E-01  .2236E+04 -.1673E+04   .9996698  .0256835  .0008538
T   97  2 .3356362E+07   1200004E-01  .1480E+04  .6970E+03   .9995092  .0304464 -.0073696
T   98  2 .3425725E+07   1200012E-01 -.1262E+04 -.1117E+04   .9991790 -.0321311 -.0246782
T   99  2 .3353659E+07   1200020E-01 -.1157E+04  .1395E+04   .9996444 -.0159879  .0213428
T  100  2 .3402684E+07   1200020E-01  .4604E+03 -.6986E+03   .9993169  .0096807 -.0356664
T  101  2 .3423377E+07   1200006E-01  .4322E+03  .7487E+03   .9997617  .0144053  .0164018
T  102  2 .3402905E+07   1200016E-01  .4702E+03  .6736E+03   .9999398  .0108520 -.0016042
T  103  2 .3351118E+07   1200010E-01 -.1636E+04 -.3719E+03   .9993984 -.0338337 -.0076278
T  104  2 .3368129E+07   1200015E-01  .2997E+04  .1571E+04   .9998735 -.0054733  .0149352
T  105  2 .3416164E+07   1200010E-01  .1442E+04  .1393E+04   .9999309  .0097053  .0066371
T  106  2 .3390944E+07   1200002E-01  .1241E+04 -.6463E+03   .9999169  .0128791  .0005428
T  107  2 .3381149E+07   1200025E-01  .2600E+04  .4647E+04   .9984659  .0342346  .0435172
T  108  2 .3379581E+07   1200013E-01  .4510E+03 -.2161E+04   .9996886 -.0037205 -.0246758
T  109  2 .3364941E+07   1200011E-01  .1170E+04 -.5510E+03   .9998122  .0065178  .0182503
T  110  2 .3348148E+07   1200006E-01 -.1334E+04 -.1389E+04   .9993717 -.0288231 -.0206276
T  111  2 .3426823E+07   1200024E-01 -.1540E+04 -.8079E+03   .9993842 -.0350278 -.0020815
T  112  2 .3350246E+07   1200014E-01  .1215E+04 -.2039E+04   .9997269  .0063205 -.0224970
T  113  2 .3392080E+07   1200015E-01  .1220E+04 -.7625E+03   .9999538  .0090430  .0032555
T  114  2 .3410293E+07   1200016E-01 -.6250E+03 -.1765E+04   .9995554 -.0104546 -.0279230
T  115  2 .3419775E+07   1200020E-01  .3411E+03  .2201E+04   .9984451  .0028723  .0556693
T  116  2 .3356361E+07   1200018E-01  .1677E+03 -.1786E+04   .9995757 -.0071292 -.0282427
T  117  2 .3417468E+07   1200016E-01  .2737E+04 -.1875E+03   .9986104  .0499907 -.0166820
T  118  2 .3412580E+07   1200020E-01 -.1274E+04 -.1360E+04   .9997289 -.0231636 -.0023558
T  119  2 .3410625E+07   1200024E-01  .1023E+04 -.3192E+04   .9992205 -.0039416 -.0392800
T  120  2 .3379309E+07   1200013E-01  .1427E+03 -.2472E+04   .9981645  .0565559 -.0216558
T  121  2 .3358807E+07   1200010E-01  .1051E+04 -.1156E+04   .9994304  .0277066 -.0192684
T  122  2 .3427610E+07   1200025E-01  .7601E+03  .2585E+03   .9991883  .0247681  .0317697
T  123  2 .3401127E+07   1200009E-01  .1626E+04 -.1024E+04   .9988464  .0327705 -.0350999
T  124  2 .3426337E+07   1200004E-01  .3778E+01 -.8830E+03   .9999993  .0001430  .0011464
T  125  2 .3352932E+07   1200015E-01  .2321E+04  .1145E+04   .9995743  .0035404  .0289583
T  126  2 .3411042E+07   1200011E-01  .6840E+03  .4926E+03   .9998944  .0144775 -.0012952
T  127  2 .3377465E+07   1200007E-01 -.4824E+03 -.3356E+03   .9997272 -.0218983 -.0081229
T  128  2 .3411733E+07   1200014E-01  .2149E+04  .5878E+03   .9990807  .0373820  .0209855
T  129  2 .3360051E+07   1200024E-01  .2281E+04 -.1674E+04   .9989583  .0310261 -.0334614
