============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar+( 17.9 um) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  2 .3091937E+07   1800014E-01  .7722E+04  .8111E+04   .9935872  .0765087  .0832516
T   55  2 .3107344E+07   1800015E-01  .1692E+04 -.2501E+03   .9995578  .0295968  .0028739
T   56  2 .3103214E+07   1800008E-01  .3844E+03  .7268E+03   .9999983  .0017305  .0006353
T   57  2 .3139839E+07   1800005E-01  .3647E+03 -.1881E+04   .9999542  .0014094 -.0094635
T   58  2 .3110038E+07   1800017E-01  .4618E+03 -.7983E+03   .9999723 -.0066329  .0033749
T   59  2 .3173720E+07   1800001E-01 -.6981E+03 -.7576E+03   .9998563 -.0087377 -.0145279
T   60  2 .3149590E+07   1800010E-01 -.5841E+03  .2015E+03   .9999281  .0097318 -.0070058
T   61  2 .3124855E+07   1800009E-01 -.4340E+03  .1999E+03   .9999871 -.0027342  .0042834
T   62  2 .3145338E+07   1800015E-01 -.6300E+01  .1202E+04   .9998992  .0081863  .0115975
T   63  2 .3086565E+07   1800000E-01  .1126E+04  .4218E+03   .9999407  .0072596 -.0081201
T   64  2 .3139481E+07   1800004E-01  .2946E+03  .5491E+03   .9999725  .0019873 -.0071498
T   65  2 .3139478E+07   1800015E-01 -.2820E+03 -.1563E+04   .9998949 -.0047256 -.0137027
T   66  2 .3201547E+07   1800017E-01 -.2345E+03 -.1364E+04   .9998793  .0030714 -.0152329
T   67  2 .3140673E+07   1800011E-01  .1009E+04  .8565E+03   .9999081  .0126032  .0049868
T   68  2 .3145206E+07   1800012E-01  .6617E+03  .6443E+03   .9999950 -.0010269  .0029788
T   69  2 .3101981E+07   1800004E-01 -.1820E+04 -.1552E+04   .9998240 -.0174979 -.0067719
T   70  2 .3133986E+07   1800009E-01 -.1823E+02 -.6595E+03   .9998197  .0126008 -.0142043
T   71  2 .3194546E+07   1800008E-01 -.1580E+04  .1128E+04   .9996942 -.0186441  .0162458
T   72  2 .3133196E+07   1800000E-01 -.3178E+04 -.2116E+03   .9998064 -.0193490  .0035881
T   73  2 .3176547E+07   1800017E-01  .3341E+04 -.4528E+03   .9996439  .0253860 -.0082207
T   74  2 .3142860E+07   1800001E-01  .4717E+03 -.4582E+03   .9999970  .0024245  .0003407
T   75  2 .3100335E+07   1800010E-01  .2312E+04  .1813E+04   .9995761  .0172648  .0234418
T   76  2 .3098141E+07   1800003E-01 -.7110E+03  .1290E+04   .9997311 -.0180655  .0145416
T   77  2 .3113985E+07   1800012E-01 -.1101E+04  .3006E+02   .9999701 -.0042844 -.0064325
T   78  2 .3119049E+07   1800011E-01  .3277E+04 -.2552E+04   .9999738  .0064192  .0033450
T   79  2 .3144670E+07   1800018E-01 -.9660E+03  .4300E+04   .9987860  .0036808  .0491228
T   80  2 .3099963E+07   1800006E-01  .1027E+04 -.1689E+02   .9999563 -.0010414  .0092958
T   81  2 .3174631E+07   1800018E-01  .6366E+03  .1012E+04   .9999316 -.0085866  .0079433
T   82  2 .3104174E+07   1800014E-01 -.3086E+03  .2593E+04   .9933703 -.0015433  .1149484
T   83  2 .3188317E+07   1800008E-01 -.9550E+03  .1240E+04   .9996795 -.0128641  .0218060
T   84  2 .3084377E+07   1800020E-01 -.5160E+03  .5633E+02   .9999157 -.0113035  .0063874
T   85  2 .3057835E+07   1800004E-01 -.3845E+03 -.6282E+03   .9999435 -.0028831 -.0102360
T   86  2 .3155595E+07   1800017E-01 -.5517E+03  .1149E+04   .9996054 -.0279088 -.0031956
T   87  2 .3123768E+07   1800013E-01  .8380E+04 -.6340E+04   .9963123  .0714782 -.0474632
T   88  2 .3148033E+07   1800001E-01 -.5135E+03  .2269E+02   .9998588 -.0167633 -.0011879
T   89  2 .3156990E+07   1800010E-01  .2192E+04 -.1371E+04   .9996226  .0235599 -.0141262
T   90  2 .3137637E+07   1800003E-01  .2298E+03  .5371E+03   .9999854  .0053646 -.0007055
T   91  2 .3157585E+07   1800016E-01  .1259E+04  .3506E+03   .9996845  .0243871  .0060223
T   92  2 .3158653E+07   1800006E-01 -.5241E+02 -.1101E+04   .9999953 -.0028861 -.0010647
T   93  2 .3111476E+07   1800009E-01 -.6402E+03 -.1118E+04   .9999951 -.0026472 -.0016732
T   94  2 .3199424E+07   1800021E-01  .1015E+04 -.1629E+04   .9999161  .0021516 -.0127729
T   95  2 .3130085E+07   1800014E-01 -.9141E+03  .1497E+04   .9998136 -.0015977  .0192388
T   96  2 .3110597E+07   1800016E-01  .3279E+01 -.1169E+04   .9997732 -.0180817 -.0112542
T   97  2 .3072347E+07   1800001E-01  .5894E+03 -.1365E+04   .9998467 -.0019746 -.0173953
T   98  2 .3145162E+07   1800015E-01  .1734E+04  .2507E+03   .9996204  .0160498  .0223954
T   99  2 .3167358E+07   1800012E-01 -.7254E+03  .9866E+02   .9995682 -.0292511  .0027800
T  100  2 .3073455E+07   1800016E-01 -.1131E+03  .4444E+02   .9999813 -.0060690  .0007247
T  101  2 .3195975E+07   1800001E-01 -.5998E+03 -.1013E+04   .9997758 -.0077105 -.0197199
T  102  2 .3201330E+07   1800003E-01 -.2672E+04 -.4670E+03   .9992892 -.0376981 -.0000209
T  103  2 .3146004E+07   1800007E-01  .1443E+04 -.9660E+03   .9998500  .0156769 -.0073568
T  104  2 .3136659E+07   1800013E-01  .7021E+03 -.5189E+03   .9999706 -.0057435 -.0050738
T  105  2 .3122641E+07   1800016E-01  .1361E+04  .1418E+04   .9998683  .0142056 -.0078527
T  106  2 .3119060E+07   1800020E-01  .1311E+04  .1132E+04   .9995178  .0186837  .0247992
T  107  2 .3081134E+07   1800005E-01  .3854E+04  .3422E+02   .9996190  .0275786 -.0010891
T  108  2 .3152791E+07   1800015E-01 -.1714E+04 -.8130E+02   .9998997 -.0027298  .0138994
T  109  2 .3213723E+07   1800005E-01  .6121E+03  .1156E+04   .9998033  .0153332  .0125766
T  110  2 .3210056E+07   1800013E-01 -.1914E+04  .1459E+04   .9992489 -.0226319  .0314542
T  111  2 .3103369E+07   1800001E-01 -.3240E+03  .1255E+02   .9997338 -.0126704  .0192801
T  112  2 .3180704E+07   1800001E-01  .2147E+03 -.1577E+02   .9999698 -.0002946 -.0077714
T  113  2 .3101801E+07   1800021E-01  .1564E+04 -.3565E+04   .9997036  .0060828 -.0235723
T  114  2 .3187786E+07   1800019E-01 -.1654E+04 -.1724E+04   .9996498 -.0189703 -.0184484
T  115  2 .3175881E+07   1800010E-01  .8626E+03  .4341E+03   .9999547 -.0031705  .0089709
T  116  2 .3143047E+07   1800013E-01  .2150E+04 -.1181E+03   .9998512  .0171320 -.0020063
T  117  2 .3117555E+07   1800019E-01  .5774E+03 -.9012E+03   .9999963 -.0000701 -.0027310
T  118  2 .3150818E+07   1800010E-01  .8496E+03  .9312E+03   .9997884  .0077074  .0190729
T  119  2 .3110914E+07   1800020E-01  .1662E+04 -.3376E+04   .9996482  .0118677 -.0237180
T  120  2 .3147193E+07   1800020E-01  .2176E+04 -.9527E+02   .9996978  .0242614  .0039516
T  121  2 .3123424E+07   1800002E-01 -.5208E+03 -.2108E+04   .9995279 -.0185415 -.0244973
T  122  2 .3107479E+07   1800019E-01 -.6903E+02 -.4291E+03   .9999726 -.0073747 -.0005832
T  123  2 .3117127E+07   1800017E-01  .1321E+04  .3413E+03   .9997721  .0213038 -.0013623
T  124  2 .3128409E+07   1800004E-01  .1913E+04  .2496E+04   .9993300  .0267003  .0250339
T  125  2 .3133448E+07   1800012E-01  .7407E+03 -.1510E+04   .9998031  .0036880 -.0194956
T  126  2 .3143948E+07   1800002E-01 -.1285E+04  .6704E+03   .9997845 -.0200842  .0052473
T  127  2 .3125730E+07   1800021E-01  .6496E+03  .2601E+03   .9978965  .0636458 -.0123202
T  128  2 .3088430E+07   1800000E-01  .2974E+04  .1507E+04   .9993068  .0235488  .0288321
T  129  2 .3131578E+07   1800006E-01 -.1582E+04  .1809E+04   .9993977 -.0278542  .0206956
T  130  2 .3152999E+07   1800015E-01 -.7521E+03  .3151E+03   .9999452 -.0064639  .0082293
T  131  2 .1028535E+07   1800005E-01  .3019E+05  .6237E+05   .4552892  .4074254  .7916541
T  132  2 .3148223E+07   1800001E-01 -.5660E+03 -.3471E+03   .9999922 -.0022663 -.0032294
T  133  2 .3129149E+07   1800012E-01 -.4127E+03 -.2685E+03   .9999811  .0001907 -.0061381
T  134  2 .3128367E+07   1800022E-01 -.1827E+04 -.1931E+03   .9996344 -.0267397  .0040114
T  135  2 .3208179E+07   1800015E-01 -.5656E+03 -.1020E+04   .9998032  .0130136 -.0149726
T  136  2 .3170545E+07   1800022E-01  .1124E+04  .1881E+04   .9997504  .0077888  .0209400
T  137  2 .3123703E+07   1800001E-01 -.2524E+04  .1169E+04   .9999121 -.0066313  .0114848
T  138  2 .3139280E+07   1800020E-01  .9765E+03  .1255E+04   .9996616  .0213784  .0148213
T  139  2 .3073330E+07   1800001E-01 -.1485E+04  .8004E+03   .9998855  .0006330  .0151163
T  140  2 .3105610E+07   1800019E-01  .3243E+03  .1241E+03   .9999630  .0075281  .0041704
T  141  2 .3148421E+07   1800019E-01 -.2198E+04 -.1838E+04   .9993930 -.0229573 -.0262031
T  142  2 .3168181E+07   1800000E-01  .1613E+04 -.3434E+03   .9999527  .0088411 -.0040507
T  143  2 .3106149E+07   1800004E-01  .1545E+05 -.9051E+03   .9962878  .0860462 -.0025740
T  144  2 .3186256E+07   1800001E-01  .8491E+03 -.2292E+04   .9998880  .0029781 -.0146681
T  145  2 .3175056E+07   1800016E-01 -.1457E+04  .7428E+03   .9999908 -.0040203  .0014930
T  146  2 .3129845E+07   1800016E-01  .7109E+02  .1477E+04   .9997884 -.0025825  .0204091
T  147  2 .3123360E+07   1800007E-01 -.1360E+03 -.1079E+04   .9998595 -.0039858 -.0162837
T  148  2 .3124304E+07   1800001E-01 -.4895E+03 -.8222E+03   .9999843 -.0003179 -.0055857
T  149  2 .3192494E+07   1800000E-01 -.9722E+03 -.1066E+04   .9997933 -.0188708 -.0075677
T  150  2 .3131814E+07   1800003E-01  .8680E+03  .2392E+04   .9997578 -.0002206  .0220058
T  151  2 .3123309E+07   1800016E-01  .6194E+03  .1107E+03   .9998443  .0167170  .0056570
T  152  2 .3123072E+07   1800008E-01 -.2159E+03  .2078E+03   .9998138  .0012249  .0192573
T  153  2 .3150942E+07   1800002E-01 -.2183E+04 -.7326E+03   .9998426 -.0171010  .0047243
T  154  2 .3073772E+07   1800009E-01 -.1252E+04  .1748E+04   .9998723 -.0094237  .0129098
T  155  2 .3166703E+07   1800012E-01  .8902E+03  .1540E+04   .9993513 -.0009514  .0360003
T  156  2 .3147793E+07   1800021E-01 -.6873E+03 -.9468E+02   .9999975 -.0011464 -.0019369
T  157  2 .3065057E+07   1800006E-01 -.1451E+04  .2944E+03   .9997159 -.0193473  .0139215
T  158  2 .3121371E+07   1800002E-01  .1733E+03  .9252E+03   .9999371  .0107275  .0032619
T  159  2 .3143215E+07   1800020E-01 -.2469E+04  .2514E+03   .9997373 -.0213881  .0082431
T  160  2 .3132007E+07   1800009E-01 -.2711E+04  .7066E+02   .9994737 -.0294705  .0135604
T  161  2 .3164533E+07   1800001E-01  .1225E+04 -.8717E+03   .9999775  .0066804  .0006672
T  162  2 .3124638E+07   1800014E-01  .1122E+02 -.1409E+04   .9999003 -.0090006 -.0108782
T  163  2 .3172058E+07   1800017E-01 -.9185E+03 -.1066E+04   .9999236 -.0077329 -.0096420
T  164  2 .3099189E+07   1800008E-01  .2922E+03 -.8847E+03   .9999860  .0038486  .0036214
T  165  2 .3137459E+07   1800017E-01  .1013E+04  .3639E+03   .9998719  .0104557  .0121147
T  166  2 .3110008E+07   1800021E-01 -.1651E+04 -.5979E+04   .9976458 -.0187706 -.0659591
T  167  2 .3082050E+07   1800006E-01 -.3588E+03 -.9067E+03   .9999789 -.0009930 -.0064252
T  168  2 .3094998E+07   1800005E-01 -.2623E+03 -.1254E+03   .9999130 -.0131905 -.0000947
T  169  2 .3101826E+07   1800021E-01  .2015E+04  .7693E+03   .9998799  .0045730 -.0148055
T  170  2 .3118345E+07   1800004E-01  .1970E+03 -.1873E+03   .9999723  .0052606  .0052685
T  171  2 .3140040E+07   1800006E-01 -.2829E+04  .1216E+04   .9995192 -.0304398 -.0059007
T  172  2 .3121142E+07   1800013E-01  .3329E+03  .9017E+03   .9999955 -.0019203  .0023176
T  173  2 .3160623E+07   1800012E-01 -.1521E+04 -.1973E+04   .9997863 -.0174792 -.0110333
T  174  2 .3109186E+07   1800008E-01 -.1765E+04 -.2355E+03   .9998536 -.0153618  .0075301
T  175  2 .3149817E+07   1800015E-01 -.1660E+04 -.1237E+04   .9998361 -.0103526 -.0148494
T  176  2 .3172497E+07   1800005E-01 -.1013E+04 -.1564E+04   .9997189 -.0192718 -.0138136
T  177  2 .3140449E+07   1800017E-01 -.1169E+04 -.3406E+02   .9999315 -.0077914  .0087374
T  178  2 .3180022E+07   1800007E-01 -.2305E+04 -.7239E+03   .9999187 -.0114581 -.0055980
T  179  2 .3092452E+07   1800007E-01  .2269E+04 -.9136E+03   .9996667  .0243581 -.0085493
T  180  2 .3146991E+07   1800016E-01  .3761E+03  .1250E+04   .9999929  .0027934  .0025370
T  181  2 .3119408E+07   1800006E-01  .1900E+03  .2267E+03   .9999922  .0018763 -.0034687
T  182  2 .3081062E+07   1800003E-01 -.1020E+04  .4346E+03   .9998858 -.0147109  .0034633
T  183  2 .3136650E+07   1800020E-01 -.2111E+04 -.1942E+03   .9999335 -.0055001  .0101350
T  184  2 .3098000E+07   1800013E-01  .2762E+04 -.4455E+03   .9997072  .0241839  .0007564
T  185  2 .3115739E+07   1800015E-01 -.8109E+03  .5943E+03   .9998942  .0031733  .0141928
T  186  2 .3136563E+07   1800003E-01 -.6923E+03  .4207E+04   .9990233 -.0197121  .0395452
T  187  2 .3138642E+07   1800015E-01 -.1125E+04 -.8523E+03   .9999666 -.0044155 -.0068803
T  188  2 .3109221E+07   1800000E-01 -.1396E+04 -.5132E+03   .9998832 -.0111112 -.0104897
T  189  2 .3166112E+07   1800018E-01 -.9020E+03  .3248E+03   .9999541  .0014251  .0094747
T  190  2 .3103048E+07   1800000E-01  .2362E+04  .2122E+04   .9995448  .0147170  .0263374
T  191  2 .3101242E+07   1800020E-01 -.7851E+03 -.2184E+04   .9996756 -.0036769 -.0252037
T  192  2 .3170630E+07   1800013E-01  .3026E+04  .4530E+04   .9975134  .0319648  .0628112
T  193  2 .3074983E+07   1800008E-01 -.3407E+02  .1180E+04   .9999828 -.0044804  .0037926
T  194  2 .3088833E+07   1800018E-01  .6350E+03  .3751E+04   .9996978  .0031588  .0243805
T  195  2 .3151207E+07   1800015E-01 -.1011E+04 -.2557E+04   .9998344  .0002651 -.0181977
T  196  2 .3078025E+07   1800021E-01  .8970E+03 -.2716E+04   .9998187  .0020313 -.0189341
T  197  2 .3156696E+07   1800004E-01 -.1652E+04  .5051E+03   .9998883 -.0147807  .0022055
T  198  2 .3169438E+07   1800014E-01 -.2983E+03  .1805E+04   .9999535 -.0088536  .0038197
T  199  2 .3169727E+07   1800004E-01 -.6639E+03  .4678E+03   .9997803 -.0204937  .0043923
T  200  2 .3100502E+07   1800017E-01 -.4643E+04  .3515E+04   .9934768 -.0952204  .0627448
T  201  2 .3126827E+07   1800019E-01 -.8495E+03  .6069E+03   .9998647 -.0136184 -.0092244
T  202  2 .3164422E+07   1800008E-01 -.5766E+03 -.2049E+03   .9994658  .0211772  .0248906
T  203  2 .3118054E+07   1800019E-01 -.2030E+04  .1009E+04   .9994109 -.0331034  .0090519
T  204  2 .3143484E+07   1800009E-01  .5844E+03 -.2959E+03   .9999406 -.0049603  .0097028
T  205  2 .3124805E+07   1800000E-01  .5470E+03 -.5428E+03   .9999324 -.0015723 -.0115222
T  206  2 .3155516E+07   1800021E-01  .8012E+03 -.4682E+03   .9998279  .0098536 -.0157208
T  207  2 .3109894E+07   1800018E-01  .4714E+03 -.9978E+03   .9999931 -.0010768  .0035470
T  208  2 .3137955E+07   1800011E-01  .4762E+03  .6379E+03   .9998290 -.0042613  .0179944
T  209  2 .3137030E+07   1800006E-01  .1622E+04 -.4954E+03   .9999305  .0104370 -.0054809
