============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar+( 17.9 um) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  236  2 .3117000E+07   1800012E-01  .3738E+03 -.3095E+03   .9999112  .0112830 -.0070917
T  237  2 .3024559E+07   1800013E-01  .1376E+05  .2153E+05   .9858037  .0816335  .1467211
T  238  2 .3135084E+07   1800017E-01  .8602E+03  .1542E+03   .9998397  .0169401  .0057969
T  239  2 .3126368E+07   1800021E-01 -.9104E+02 -.1117E+04   .9999896 -.0010575 -.0044279
T  240  2 .3153474E+07   1800022E-01 -.7595E+03 -.1783E+04   .9997787  .0092989 -.0188677
T  241  2 .3155045E+07   1800010E-01 -.2911E+02 -.1015E+04   .9999825 -.0013329 -.0057553
T  242  2 .3141956E+07   1800005E-01  .2058E+02 -.3615E+03   .9997307 -.0044451 -.0227766
T  243  2 .3129268E+07   1800020E-01  .7468E+03 -.8996E+03   .9999804 -.0003817 -.0062555
T  244  2 .3126205E+07   1800016E-01 -.1313E+04  .6942E+03   .9999314 -.0079541 -.0085929
T  245  2 .3110968E+07   1800012E-01  .3084E+04 -.2611E+04   .9995424  .0165995 -.0252872
T  246  2 .3157992E+07   1800018E-01 -.1734E+04 -.1764E+04   .9996471 -.0115654 -.0239154
T  247  2 .3135031E+07   1800019E-01 -.7790E+03  .9324E+03   .9999901  .0044466  .0002542
T  248  2 .3196156E+07   1800019E-01  .1873E+04 -.7570E+03   .9995063  .0314115 -.0006733
T  249  2 .3150119E+07   1800011E-01  .4864E+03 -.7348E+02   .9999550  .0014391 -.0093769
T  250  2 .3094615E+07   1800010E-01  .1531E+04 -.8570E+03   .9998807  .0141893 -.0061081
T  251  2 .3104895E+07   1800013E-01  .1825E+04  .6969E+03   .9998121  .0146816  .0126577
T  252  2 .3148953E+07   1800009E-01  .1513E+02  .1300E+04   .9998242  .0024357  .0185912
T  253  2 .3086116E+07   1800008E-01 -.1076E+04  .2521E+03   .9999225 -.0084823 -.0091128
T  254  2 .3135646E+07   1800000E-01 -.1800E+03  .3990E+01   .9999944  .0023192  .0024235
T  255  2 .3069915E+07   1800005E-01 -.5981E+03 -.2030E+03   .9993839 -.0190082 -.0295044
T  256  2 .3089138E+07   1800016E-01 -.2283E+04 -.4237E+03   .9996493 -.0252899 -.0078569
T  257  2 .3108685E+07   1800021E-01  .3250E+03  .8553E+02   .9999035  .0044404 -.0131659
T  258  2 .3166358E+07   1800003E-01 -.1844E+04  .8326E+02   .9997882 -.0203703 -.0029253
T  259  2 .3106539E+07   1800003E-01  .5130E+04  .1623E+04   .9985181  .0529785  .0124477
T  260  2 .3145513E+07   1800007E-01 -.7358E+03 -.3593E+03   .9999513  .0088000 -.0044679
T  261  2 .3111850E+07   1800018E-01 -.1635E+04 -.7365E+03   .9998215 -.0163293  .0095020
T  262  2 .3157292E+07   1800007E-01  .1905E+03 -.5377E+03   .9999134  .0087512 -.0098312
T  263  2 .3162941E+07   1800020E-01  .8126E+03  .9554E+03   .9999198  .0084211  .0094548
T  264  2 .3169598E+07   1800018E-01  .9546E+01  .3539E+03   .9999010 -.0035497  .0136168
T  265  2 .3137458E+07   1800021E-01  .2195E+03  .9997E+03   .9999734 -.0002316  .0072963
T  266  2 .3143557E+07   1800020E-01  .4292E+04  .2236E+04   .9991062  .0414277  .0083998
T  267  2 .3182312E+07   1800007E-01  .1731E+04  .2978E+04   .9999642  .0014412  .0083380
T  268  2 .3106389E+07   1800003E-01  .1558E+03  .1034E+04   .9993013 -.0144854  .0344531
T  269  2 .3126708E+07   1800015E-01 -.8499E+02 -.4418E+03   .9999879 -.0023618 -.0043082
T  270  2 .3121372E+07   1800018E-01 -.2175E+03 -.6223E+03   .9998961  .0127071  .0067986
T  271  2 .3116916E+07   1800001E-01 -.1135E+04  .1462E+04   .9997567 -.0163851  .0147687
T  272  2 .3117871E+07   1800012E-01 -.2659E+03  .8978E+03   .9980782  .0271431 -.0557060
T  273  2 .2713431E+07   1800012E-01 -.2515E+05  .7805E+03   .8697649 -.4930719  .0197260
T  274  2 .3118121E+07   1800014E-01 -.7430E+03 -.1077E+04   .9999302 -.0078980 -.0087842
T  275  2 .3174801E+07   1800013E-01 -.1015E+04 -.3113E+03   .9998551 -.0161562 -.0053606
T  276  2 .3126705E+07   1800016E-01  .8218E+03  .1879E+03   .9999792 -.0054852 -.0033960
T  277  2 .3113217E+07   1800013E-01 -.4718E+03  .2288E+03   .9999360 -.0111174  .0020793
T  278  2 .3160592E+07   1800003E-01 -.3283E+04  .2970E+04   .9994334 -.0207046  .0265361
T  279  2 .3148493E+07   1800017E-01  .9964E+03 -.6953E+03   .9999155  .0120480 -.0048733
T  280  2 .3113894E+07   1800016E-01  .9922E+03 -.3439E+03   .9997959  .0197895  .0040708
T  281  2 .3128805E+07   1800020E-01  .8612E+02  .3033E+03   .9998397 -.0055583  .0170222
T  282  2 .3114377E+07   1800013E-01 -.1753E+03  .8043E+02   .9999941  .0034331 -.0001324
T  283  2 .3181159E+07   1800014E-01  .1311E+04 -.8616E+03   .9999724 -.0065603 -.0034908
T  284  2 .3156741E+07   1800020E-01  .2215E+02  .7703E+03   .9999789  .0041117  .0050279
T  285  2 .3138376E+07   1800011E-01 -.1732E+04  .1363E+03   .9999558 -.0093702  .0007594
T  286  2 .3101565E+07   1800006E-01  .1938E+04 -.1778E+04   .9881483  .1253388 -.0886176
T  287  2 .3155331E+07   1800020E-01 -.1699E+04  .6833E+03   .9998282 -.0097256  .0157777
T  288  2 .3089278E+07   1800017E-01  .6281E+04  .4302E+03   .9989290  .0461072  .0038778
T  289  2 .3090805E+07   1800022E-01 -.3461E+03 -.9878E+03   .9999129 -.0116082 -.0062743
T  290  2 .3157778E+07   1800009E-01  .4187E+03  .6580E+03   .9999526  .0073895  .0063425
T  291  2 .3117530E+07   1800004E-01 -.3922E+03 -.1970E+03   .9999961 -.0025719 -.0010592
T  292  2 .3099512E+07   1800018E-01 -.3921E+03 -.9349E+03   .9997149  .0061796 -.0230615
T  293  2 .3134177E+07   1800003E-01  .1448E+04  .5963E+03   .9999670  .0062864  .0051510
T  294  2 .3161871E+07   1800003E-01  .6520E+03 -.1853E+04   .9998981  .0049328 -.0133957
T  295  2 .3127655E+07   1800018E-01 -.1975E+04  .2758E+04   .9996997 -.0092981  .0226714
T  296  2 .3082558E+07   1800010E-01  .8446E+03  .6662E+03   .9999399  .0100259 -.0044380
T  297  2 .3145643E+07   1800020E-01  .4024E+03 -.1020E+02   .9996943  .0223100 -.0106570
T  298  2 .3128208E+07   1800002E-01  .5506E+03  .8875E+03   .9998972 -.0023402  .0141438
T  299  2 .3179495E+07   1800011E-01 -.1165E+04 -.1748E+03   .9998354 -.0148480 -.0104235
T  300  2 .3147149E+07   1800019E-01  .1063E+04  .6014E+04   .9987136  .0127411  .0490788
T  301  2 .3151376E+07   1800017E-01 -.4615E+03 -.3228E+03   .9999887  .0045774 -.0013035
T  302  2 .3172762E+07   1800020E-01  .3200E+03 -.3500E+03   .9999861 -.0036913 -.0037779
T  303  2 .3141478E+07   1800004E-01  .1455E+04  .6139E+03   .9999549  .0068681  .0065544
T  304  2 .3129002E+07   1800007E-01 -.6951E+03  .2161E+03   .9999765  .0061145 -.0030864
T  305  2 .3180801E+07   1800021E-01 -.5884E+03  .1675E+04   .9998513 -.0127806  .0115749
T  306  2 .3137428E+07   1800009E-01  .1048E+04 -.1015E+04   .9997463  .0197284 -.0108650
T  307  2 .3156339E+07   1800012E-01  .4205E+03 -.1349E+04   .9997888  .0075688 -.0191062
T  308  2 .3213343E+07   1800014E-01 -.1329E+03 -.9097E+03   .9998443 -.0055162 -.0167635
T  309  2 .3096432E+07   1800019E-01  .1196E+03  .1794E+04   .9998158  .0100264  .0163657
T  310  2 .3105416E+07   1800017E-01  .1297E+04 -.9384E+03   .9999551  .0089905 -.0029976
T  311  2 .3129617E+07   1800015E-01 -.1748E+04  .7598E+03   .9995923 -.0250909 -.0136283
T  312  2 .3204097E+07   1800004E-01  .8137E+03 -.1068E+04   .9999154 -.0025933 -.0127442
T  313  2 .3162865E+07   1800004E-01 -.3274E+03 -.1276E+04   .9999250 -.0108906 -.0056016
T  314  2 .3199160E+07   1800010E-01 -.2009E+04 -.2015E+04   .9995740 -.0204095 -.0208612
T  315  2 .3166105E+07   1800011E-01 -.2779E+04  .3432E+03   .9994166 -.0340008 -.0032211
T  316  2 .3120616E+07   1800001E-01  .2333E+03  .1995E+04   .9998183  .0138345  .0131103
T  317  2 .3092832E+07   1800015E-01 -.3333E+03 -.3615E+03   .9998225  .0110616 -.0152544
T  318  2 .3161192E+07   1800006E-01 -.5327E+03  .4125E+03   .9999575 -.0071058  .0058796
T  319  2 .3098234E+07   1800020E-01  .2999E+03 -.1995E+04   .9998784  .0038421 -.0151169
T  320  2 .3121523E+07   1800019E-01  .1855E+03 -.1811E+03   .9999340 -.0040675 -.0107428
T  321  2 .3137376E+07   1800019E-01 -.1962E+03 -.6859E+03   .9999162 -.0047593 -.0120393
T  322  2 .3113486E+07   1800004E-01  .1352E+04  .4816E+04   .9993642  .0029210  .0355340
T  323  2 .3123082E+07   1800001E-01 -.1348E+04 -.7608E+03   .9998408 -.0118286 -.0133612
T  324  2 .3144983E+07   1800021E-01  .1715E+03 -.4684E+03   .9999187 -.0028085 -.0124353
T  325  2 .3119203E+07   1800019E-01 -.3252E+03 -.7392E+03   .9997787  .0183582  .0102723
T  326  2 .3174277E+07   1800016E-01 -.2805E+03  .6413E+03   .9999118  .0075523  .0109238
T  327  2 .3147278E+07   1800021E-01  .7099E+03 -.1339E+04   .9999254  .0059070 -.0106943
T  328  2 .3162049E+07   1800008E-01  .2599E+04 -.1340E+04   .9996123  .0252455 -.0117447
T  329  2 .3169128E+07   1800021E-01  .4832E+02  .1572E+04   .9998575  .0084230  .0146300
T  330  2 .3170078E+07   1800022E-01 -.3242E+03 -.1209E+03   .9999733 -.0055234 -.0047891
T  331  2 .3085441E+07   1800006E-01 -.1826E+03  .7188E+03   .9999652  .0071669 -.0042688
T  332  2 .3053436E+07   1800020E-01  .4041E+03  .6923E+03   .9998807  .0091135  .0124744
T  333  2 .3172611E+07   1800008E-01 -.5908E+03  .1985E+04   .9999034 -.0107200  .0088488
T  334  2 .3140149E+07   1800016E-01 -.1641E+04 -.4190E+03   .9998067 -.0177717 -.0084068
T  335  2 .3149089E+07   1800019E-01 -.1501E+04  .9217E+03   .9999901  .0026388  .0035912
T  336  2 .3152173E+07   1800014E-01 -.8172E+03 -.1022E+04   .9998893 -.0045580 -.0141655
T  337  2 .3126852E+07   1800004E-01 -.7082E+03 -.9279E+03   .9999009 -.0113351 -.0083436
T  338  2 .3133090E+07   1800000E-01  .1720E+04 -.4411E+04   .9992058  .0334548 -.0216437
T  339  2 .3085805E+07   1800018E-01  .1326E+03 -.5744E+03   .9999626  .0030758 -.0080878
T  340  2 .3174997E+07   1800011E-01 -.1183E+04 -.1260E+04   .9998059  .0057784 -.0188362
T  341  2 .3104973E+07   1800004E-01  .5197E+03  .2518E+04   .9996672  .0009178  .0257792
T  342  2 .3152558E+07   1800012E-01 -.4824E+03  .7657E+03   .9999444 -.0097130  .0041123
T  343  2 .3135209E+07   1800015E-01  .3286E+04  .1700E+03   .9991616  .0407899  .0035128
T  344  2 .3173586E+07   1800011E-01  .2660E+03 -.2552E+03   .9999816  .0036029 -.0048829
T  345  2 .3084623E+07   1800021E-01 -.1186E+04  .2667E+04   .9997217 -.0000612  .0235905
T  346  2 .3121543E+07   1800012E-01 -.6843E+03  .2801E+03   .9998111  .0165633 -.0101726
T  347  2 .3047777E+07   1800018E-01  .1119E+04  .7284E+03   .9999295  .0074358  .0092541
T  348  2 .3158484E+07   1800014E-01 -.9364E+03  .1717E+04   .9999771 -.0049526  .0046146
T  349  2 .3186892E+07   1800000E-01 -.1865E+04 -.6819E+03   .9995198 -.0309072 -.0022039
T  350  2 .3152891E+07   1800020E-01 -.5111E+03  .1137E+04   .9998456 -.0137348  .0109641
T  351  2 .3101376E+07   1800019E-01 -.7488E+03  .4393E+03   .9999176  .0125889  .0025195
T  352  2 .3099819E+07   1800012E-01  .5531E+03  .1294E+04   .9993869  .0123520  .0327599
T  353  2 .3095214E+07   1800012E-01  .4918E+03 -.9661E+03   .9997878  .0188100 -.0084044
T  354  2 .3126634E+07   1800017E-01 -.9970E+02  .1225E+04   .9999347  .0014448  .0113318
T  355  2 .3201715E+07   1800019E-01  .5492E+03 -.6408E+03   .9997017  .0119013 -.0213260
T  356  2 .3145131E+07   1800005E-01 -.4625E+03 -.9670E+03   .9998541 -.0094299 -.0142405
T  357  2 .3113083E+07   1800010E-01 -.2616E+03  .1148E+04   .9999427  .0068408  .0082356
T  358  2 .3180116E+07   1800017E-01  .1331E+04  .1746E+04   .9997335  .0122451  .0195687
T  359  2 .3133224E+07   1800007E-01 -.2222E+03 -.3052E+03   .9999626 -.0049001 -.0071197
T  360  2 .3198585E+07   1800015E-01  .2759E+03  .1116E+04   .9999092  .0033640  .0130489
T  361  2 .3123507E+07   1800014E-01  .1290E+03 -.1106E+04   .9998578  .0068340 -.0154176
T  362  2 .3097807E+07   1800020E-01 -.6173E+03  .7238E+03   .9999592  .0019892 -.0088092
T  363  2 .3169479E+07   1800010E-01  .2356E+04  .2432E+03   .9998084  .0142334  .0134347
T  364  2 .3163130E+07   1800018E-01  .1370E+03 -.1764E+03   .9999267 -.0097296 -.0072127
T  365  2 .3140227E+07   1800017E-01 -.8649E+03  .4787E+03   .9998678 -.0158154  .0037829
T  366  2 .3169836E+07   1800018E-01 -.6426E+03 -.8730E+03   .9998552 -.0072947 -.0153739
T  367  2 .3159842E+07   1800015E-01  .5605E+03  .1224E+04   .9996804  .0034340  .0250445
T  368  2 .3115469E+07   1800016E-01  .3799E+03 -.1348E+03   .9999971  .0024239  .0001042
T  369  2 .3176652E+07   1800003E-01  .4736E+04 -.2780E+04   .9943091  .0394221 -.0989710
T  370  2 .3049668E+07   1800008E-01 -.4814E+03 -.2409E+04   .9999079 -.0043066 -.0128710
T  371  2 .3112293E+07   1800012E-01 -.2013E+03  .3426E+03   .9999224 -.0123971  .0012633
T  372  2 .3161837E+07   1800020E-01 -.4913E+04 -.3909E+03   .9952293 -.0975369  .0022948
T  373  2 .3105378E+07   1800004E-01  .3209E+02 -.1068E+04   .9999188  .0003815 -.0127365
T  374  2 .3166013E+07   1800008E-01 -.1348E+04  .8798E+03   .9999589 -.0031293  .0085128
T  375  2 .3135577E+07   1800002E-01  .1919E+04  .4841E+03   .9998479  .0138767  .0105614
T  376  2 .3148721E+07   1800004E-01 -.4170E+03 -.2183E+04   .9995936 -.0033600 -.0283065
T  377  2 .3159970E+07   1800013E-01  .2010E+03 -.3449E+04   .9996343 -.0050532 -.0265663
T  378  2 .3134245E+07   1800018E-01  .1576E+04  .4720E+03   .9998612  .0163373  .0032576
T  379  2 .3125489E+07   1800018E-01 -.9985E+03 -.6355E+02   .9999972 -.0020789 -.0011216
T  380  2 .3150745E+07   1800010E-01  .4703E+03 -.1217E+03   .9997677  .0211205 -.0042933
T  381  2 .3140063E+07   1800001E-01  .3032E+03 -.1503E+04   .9997178 -.0073589 -.0225875
T  382  2 .3144733E+07   1800005E-01 -.3412E+03  .4607E+03   .9999802 -.0019248  .0059969
T  383  2 .3087347E+07   1800005E-01  .2345E+03 -.1850E+04   .9994637  .0106874 -.0309530
T  384  2 .3194457E+07   1800001E-01  .2038E+04  .6702E+03   .9997008  .0234381  .0070044
T  385  2 .3168711E+07   1800018E-01  .2370E+04 -.2149E+03   .9996836  .0249201  .0034225
T  386  2 .3135132E+07   1800021E-01 -.4738E+04 -.6660E+04   .9968962 -.0408508 -.0672997
T  387  2 .3063895E+07   1800005E-01 -.1325E+04 -.2273E+03   .9999769 -.0015253 -.0066166
T  388  2 .3145770E+07   1800016E-01  .9301E+03 -.1516E+04   .9997955  .0177056 -.0097728
T  389  2 .3167912E+07   1800015E-01 -.1454E+04 -.9842E+03   .9998307 -.0151231 -.0104786
T  390  2 .3094118E+07   1800014E-01  .1592E+03 -.3783E+03   .9999703  .0051498 -.0057372
T  391  2 .3123357E+07   1800018E-01  .9180E+03 -.6366E+03   .9999986  .0015366  .0006357
T  392  2 .3038403E+07   1800004E-01  .9035E+03  .1523E+04   .9997561  .0090813 -.0201306
T  393  2 .3147734E+07   1800017E-01 -.1261E+04  .1872E+04   .9999408 -.0092072  .0057954
T  394  2 .3158568E+07   1800020E-01 -.2121E+03  .1974E+04   .9999296 -.0058328  .0103295
T  395  2 .3165556E+07   1800005E-01  .4379E+03 -.1762E+04   .9998832  .0074019 -.0133716
T  396  2 .3154498E+07   1800010E-01  .3761E+03  .1913E+03   .9998985 -.0012220 -.0141966
T  397  2 .3155197E+07   1800018E-01  .2589E+04  .2844E+04   .9996638  .0184839  .0181852
T  398  2 .3148340E+07   1800019E-01 -.1680E+04  .1328E+03   .9996985 -.0225264  .0097723
T  399  2 .3151583E+07   1800004E-01 -.5741E+03 -.3448E+04   .9996674 -.0055920 -.0251766
T  400  2 .3164769E+07   1800019E-01 -.1908E+04  .2512E+04   .9990527 -.0328569  .0285324
T  401  2 .3235537E+07   1800013E-01  .1533E+04 -.2949E+02   .9993650  .0326552  .0142531
T  402  2 .3166851E+07   1800016E-01 -.4598E+03 -.4297E+03   .9999454 -.0088382 -.0055821
T  403  2 .3101823E+07   1800011E-01 -.4876E+03  .1321E+02   .9999998 -.0005165 -.0002494
T  404  2 .3064850E+07   1800000E-01  .5594E+02 -.1962E+04   .9998178 -.0074069 -.0175901
T  405  2 .3136708E+07   1800009E-01  .2040E+03  .4319E+03   .9999810 -.0045405  .0041641
T  406  2 .3117401E+07   1800011E-01  .4020E+04  .3307E+04   .9986434  .0372220  .0364116
T  407  2 .3156651E+07   1800022E-01  .5668E+03  .9175E+03   .9998280  .0155849  .0100525
T  408  2 .3163475E+07   1800009E-01  .8355E+03  .1162E+04   .9998183  .0146324  .0122209
T  409  2 .3142624E+07   1800011E-01 -.8551E+03 -.1547E+03   .9999274 -.0114613 -.0037295
T  410  2 .3103434E+07   1800019E-01 -.6541E+02 -.9323E+03   .9999043 -.0006596 -.0138191
T  411  2 .3136315E+07   1800015E-01 -.8906E+03  .9566E+03   .9998583 -.0150041  .0076317
T  412  2 .3148495E+07   1800014E-01 -.1269E+03  .1459E+03   .9999071  .0087320 -.0104700
T  413  2 .3069051E+07   1800012E-01 -.1090E+04 -.3735E+04   .9998929  .0102886 -.0104072
T  414  2 .3118231E+07   1800004E-01 -.5904E+03 -.5325E+03   .9996755 -.0167198 -.0192200
T  415  2 .3148739E+07   1800009E-01  .3560E+03  .5136E+03   .9997134  .0229589  .0067803
T  416  2 .3122193E+07   1800001E-01  .7376E+03 -.1249E+04   .9992852  .0150605 -.0346724
T  417  2 .3132241E+07   1800002E-01 -.2973E+04  .1863E+04   .9996621 -.0254388  .0053354
T  418  2 .3115768E+07   1800011E-01  .7040E+03 -.5954E+02   .9999641  .0020839  .0082106
T  419  2 .3204957E+07   1800004E-01  .7125E+03 -.1034E+04   .9997521 -.0005212 -.0222584
T  420  2 .3116388E+07   1800008E-01 -.2528E+04  .7885E+03   .9991422 -.0368232  .0189443
T  421  2 .3129904E+07   1800020E-01  .1188E+04  .3977E+03   .9998376  .0178425 -.0025380
T  422  2 .3172571E+07   1800004E-01  .3004E+03 -.1501E+04   .9998520  .0063532 -.0159850
T  423  2 .3140014E+07   1800009E-01 -.1587E+03  .1669E+04   .9999039  .0031468  .0135013
T  424  2 .3100714E+07   1800019E-01 -.1129E+04  .2444E+04   .9997827 -.0049224  .0202586
T  425  2 .3113208E+07   1800007E-01 -.4349E+01  .3346E+01   .9999561 -.0079301  .0049826
T  426  2 .3115810E+07   1800019E-01 -.7854E+03  .1917E+04   .9998065 -.0138644  .0139558
T  427  2 .3139611E+07   1800011E-01  .2945E+03  .2024E+04   .9997149  .0143044  .0191173
T  428  2 .3110284E+07   1800010E-01  .1432E+04 -.4193E+03   .9999505  .0082092 -.0056150
T  429  2 .3050672E+07   1800021E-01  .5386E+04  .8565E+04   .9880691  .0705950  .1368789
T  430  2 .3155422E+07   1800004E-01 -.2537E+04  .3581E+03   .9993188 -.0354606 -.0102208
T  431  2 .3189765E+07   1800001E-01  .1335E+04  .1461E+03   .9999045  .0112287 -.0080546
T  432  2 .3141630E+07   1800011E-01 -.7839E+03  .3334E+03   .9999132 -.0016044 -.0130751
T  433  2 .3056471E+07   1800014E-01  .7933E+03 -.1677E+04   .9979930  .0192102 -.0603397
T  434  2 .3020989E+07   1800014E-01 -.1002E+04  .4093E+02   .9999887 -.0024777 -.0040627
T  435  2 .3093050E+07   1800006E-01  .1086E+04 -.2917E+03   .9999053  .0041863 -.0131098
T  436  2 .3118987E+07   1800018E-01 -.7477E+02 -.4490E+03   .9999699 -.0031310 -.0070938
T  437  2 .3061729E+07   1800000E-01 -.4266E+03  .2206E+04   .9986651 -.0479352  .0192415
T  438  2 .3217534E+07   1800020E-01 -.5628E+03 -.4324E+03   .9997881 -.0063411 -.0195840
T  439  2 .3117913E+07   1800019E-01  .7013E+03 -.1200E+04   .9999517 -.0014939 -.0097163
T  440  2 .3071625E+07   1800020E-01 -.1772E+04 -.2283E+03   .9969498 -.0502441  .0597218
T  441  2 .3122582E+07   1800020E-01  .6411E+03 -.6958E+03   .9999851  .0054516 -.0001363
T  442  2 .3135782E+07   1800017E-01  .5940E+03  .5866E+03   .9999961  .0015316  .0023251
T  443  2 .3138233E+07   1800007E-01  .6068E+03 -.7698E+02   .9998188  .0188122  .0028993
T  444  2 .3111046E+07   1800020E-01  .1773E+04 -.1480E+04   .9997358  .0218613 -.0071041
T  445  2 .3152166E+07   1800018E-01  .3739E+04 -.4369E+04   .9985298  .0358606 -.0406488
T  446  2 .3183873E+07   1800000E-01  .3437E+03  .4105E+03   .9998820 -.0118444 -.0097836
T  447  2 .3188474E+07   1800022E-01 -.2252E+04 -.5708E+03   .9998290 -.0181967 -.0032945
T  448  2 .3144011E+07   1800018E-01  .1891E+04  .5920E+03   .9997443  .0115090  .0194655
T  449  2 .3166778E+07   1800015E-01 -.5571E+03 -.7224E+03   .9998040 -.0099111 -.0171405
T  450  2 .3087542E+07   1800006E-01  .2613E+03  .2388E+02   .9999895  .0013161 -.0043944
T  451  2 .3090825E+07   1800019E-01  .8410E+03  .6048E+03   .9999376  .0111152  .0010981
T  452  2 .3100334E+07   1800016E-01 -.1747E+03 -.2378E+03   .9998096 -.0017881 -.0194320
T  453  2 .3109231E+07   1800017E-01  .1721E+04  .7951E+03   .9996694  .0133727  .0219583
T  454  2 .3142914E+07   1800016E-01 -.2980E+03  .3427E+03   .9999478 -.0077725  .0066394
T  455  2 .3116438E+07   1800016E-01  .2181E+04  .1807E+03   .9999990  .0008861 -.0011433
T  456  2 .3177095E+07   1800016E-01 -.6341E+03  .1265E+04   .9999539 -.0073707  .0061523
T  457  2 .3100596E+07   1800001E-01 -.4470E+03 -.1442E+04   .9998530 -.0022085 -.0170041
T  458  2 .3092881E+07   1800011E-01 -.1695E+03 -.1073E+04   .9999378 -.0044337 -.0102374
T  459  2 .3080575E+07   1800004E-01  .4381E+03 -.2078E+03   .9999941  .0033014 -.0008997
T  460  2 .3162763E+07   1800002E-01 -.1809E+04  .8737E+03   .9996340 -.0266450  .0046774
T  461  2 .3045896E+07   1800006E-01 -.7323E+03 -.1321E+04   .9997400 -.0100621 -.0204625
T  462  2 .3103122E+07   1800001E-01 -.2447E+04  .1653E+04   .9993564 -.0303268  .0191586
T  463  2 .3165248E+07   1800020E-01 -.1479E+04  .9559E+03   .9997844 -.0207583  .0004765
T  464  2 .3061746E+07   1800021E-01 -.1547E+04  .2146E+04   .9998299 -.0164235  .0083936
T  465  2 .3203673E+07   1800019E-01  .4951E+03 -.2233E+04   .9997936 -.0016232 -.0202518
T  466  2 .3113778E+07   1800001E-01  .5998E+03 -.1240E+04   .9978600  .0465675 -.0459006
T  467  2 .3077100E+07   1800004E-01 -.1528E+04 -.5251E+02   .9999374 -.0109454  .0023038
T  468  2 .3141664E+07   1800020E-01  .1080E+03 -.4402E+03   .9999652  .0013125 -.0082362
T  469  2 .3118667E+07   1800020E-01  .8946E+03  .4379E+03   .9999840  .0056263  .0005481
T  470  2 .3126046E+07   1800014E-01 -.8587E+03 -.1859E+04   .9998513 -.0018339 -.0171466
T  471  2 .3038597E+07   1800016E-01  .7159E+03 -.1495E+04   .9997897  .0081876 -.0188024
T  472  2 .3113109E+07   1800001E-01  .2389E+04 -.1445E+04   .9998496  .0002628 -.0173386
T  473  2 .3148005E+07   1800019E-01 -.1700E+03  .7673E+03   .9999765 -.0060806  .0031658
T  474  2 .3115015E+07   1800012E-01 -.9000E+03 -.2910E+03   .9999822 -.0058772  .0010683
T  475  2 .3156458E+07   1800003E-01  .1472E+04 -.1824E+04   .9993478  .0206868 -.0295993
T  476  2 .3134174E+07   1800006E-01 -.1063E+04  .1644E+03   .9998996 -.0060406  .0128209
T  477  2 .3150099E+07   1800014E-01 -.2242E+04 -.5890E+03   .9996687 -.0242432  .0086491
T  478  2 .3200058E+07   1800002E-01  .1432E+04  .1228E+04   .9999323  .0112871  .0028420
T  479  2 .3149910E+07   1800015E-01  .9883E+03  .3447E+03   .9998457  .0147176  .0095885
T  480  2 .3150831E+07   1800000E-01 -.4137E+04 -.1287E+04   .9996969 -.0245338 -.0020741
T  481  2 .3150105E+07   1800009E-01  .4703E+03 -.2146E+03   .9999442  .0079221 -.0069874
T  482  2 .3101481E+07   1800016E-01  .7451E+03  .1282E+04   .9997673  .0046012  .0210778
T  483  2 .3155535E+07   1800014E-01 -.3048E+04 -.1635E+04   .9998417 -.0112838 -.0137548
T  484  2 .3137438E+07   1800007E-01 -.1324E+04  .7210E+03   .9990615 -.0387706  .0193124
T  485  2 .3185297E+07   1800015E-01 -.4786E+03  .8874E+03   .9997796 -.0046989  .0204639
T  486  2 .3115434E+07   1800010E-01  .3698E+03 -.3072E+03   .9999850  .0043432  .0033462
T  487  2 .3087982E+07   1800010E-01  .5105E+03 -.6432E+03   .9996941 -.0168089 -.0181448
T  488  2 .3120566E+07   1800012E-01 -.4099E+02 -.1725E+04   .9997953 -.0044401 -.0197402
T  489  2 .3171048E+07   1800004E-01 -.1186E+04 -.2032E+03   .9999623 -.0078902 -.0036320
T  490  2 .3101513E+07   1800019E-01 -.4702E+02 -.1388E+03   .9999578 -.0014955 -.0090620
T  491  2 .3128910E+07   1800010E-01  .2280E+04 -.2232E+04   .9996810  .0160300 -.0195166
T  492  2 .3107945E+07   1800018E-01 -.2819E+03 -.5227E+03   .9999270 -.0093178 -.0076974
T  493  2 .3134296E+07   1800021E-01  .3849E+04  .2106E+03   .9998671  .0099418  .0129219
T  494  2 .3153318E+07   1800013E-01 -.3297E+03  .9722E+03   .9999632  .0012748 -.0084821
T  495  2 .3105439E+07   1800015E-01  .9953E+03  .2741E+03   .9993931  .0308257 -.0162236
T  496  2 .3110009E+07   1800020E-01 -.5448E+03 -.3116E+04   .9997056  .0015783 -.0242128
