============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  10 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .4491524E+07   1000000E+02 -.3960E+06 -.1778E+05   .9999753 -.0023015 -.0066346
T    2  2 .4466183E+07   1000000E+02  .7247E+06  .1401E+06   .9999214  .0125352 -.0000506
T    3  2 .4496315E+07   1000000E+02  .4709E+05 -.9786E+05   .9999843 -.0017011 -.0053400
T    4  2 .4516992E+07   1000000E+02  .3673E+06  .5041E+05   .9999747  .0062810  .0033505
T    5  2 .4499905E+07   1000000E+02 -.6288E+05  .1761E+06   .9999493 -.0055686  .0083947
T    6  2 .4473444E+07   1000000E+02  .2509E+06 -.3117E+06   .9999580  .0066407 -.0063231
T    7  2 .4519151E+07   1000000E+02 -.7586E+06  .2973E+06   .9999664 -.0046263  .0067689
T    8  2 .4373629E+07   1000000E+02 -.1157E+08  .4230E+07   .9708563 -.2284223  .0725350
T    9  2 .4494643E+07   1000000E+02 -.1720E+06 -.5382E+06   .9999529  .0022947 -.0094324
T   10  2 .4484448E+07   1000000E+02  .2176E+06 -.3096E+06   .9999919  .0016729 -.0036701
T   11  2 .4507316E+07   1000000E+02  .5069E+05 -.1384E+06   .9999976 -.0011648 -.0018605
