============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  216  2 .5089621E+07   3600055E-02  .1218E+02 -.5675E+02   .9999947  .0025452 -.0020145
T  217  2 .5058220E+07   3600125E-02 -.3752E+02  .2985E+02   .9999778 -.0066438 -.0005906
T  218  2 .5089188E+07   3600161E-02 -.5876E+02 -.1848E+01   .9999797 -.0060874 -.0018637
T  219  2 .5077517E+07   3600151E-02  .2123E+02 -.3751E+02   .9999990  .0006425  .0012425
T  220  2 .5080205E+07   3600114E-02  .1897E+03  .3994E+01   .9999718  .0073495 -.0015333
T  221  2 .5058707E+07   3600079E-02 -.1230E+03  .1762E+03   .9999130 -.0090226  .0096252
T  222  2 .5059632E+07   3600123E-02  .4005E+03 -.3665E+03   .9998146  .0179655 -.0069346
T  223  2 .5083181E+07   3600138E-02  .1646E+03  .9815E+02   .9998779  .0148675  .0048105
T  224  2 .5051568E+07   3600125E-02  .4233E+02  .1936E+02   .9999940  .0033783  .0008285
T  225  2 .5079301E+07   3600160E-02 -.1567E+03 -.3496E+03   .9998032 -.0069386 -.0185861
T  226  2 .5064274E+07   3600081E-02 -.1813E+03 -.9179E+02   .9999756 -.0058684 -.0037879
T  227  2 .5066751E+07   3600014E-02  .9548E+02  .6541E+02   .9999505  .0095707  .0027222
T  228  2 .5077982E+07   3600168E-02 -.3008E+02  .1728E+03   .9999713 -.0011014  .0075015
T  229  2 .5065969E+07   3600025E-02  .1774E+02  .1479E+02   .9999980 -.0002988 -.0019866
T  230  2 .5063372E+07   3600202E-02 -.3633E+02  .4687E+02   .9999898 -.0033287  .0030593
T  231  2 .5093380E+07   3600125E-02  .2045E+03  .4556E+02   .9999687  .0078344  .0010750
T  232  2 .5063207E+07   3600110E-02  .5826E+02 -.7625E+00   .9999988  .0007547  .0013663
T  233  2 .5071799E+07   3600206E-02 -.1690E+02  .6262E+02   .9999899 -.0040908  .0018373
T  234  2 .5090980E+07   3600127E-02 -.2611E+02 -.1745E+02   .9999951  .0001342 -.0031246
T  235  2 .5089103E+07   3600161E-02  .3380E+02  .7635E+02   .9999911 -.0024111  .0034510
T  236  2 .5081037E+07   3600109E-02  .4486E+02 -.6538E+02   .9999846  .0032420 -.0045134
T  237  2 .5066939E+07   3600193E-02  .3393E+02  .1825E+02   .9999995  .0009586 -.0004016
T  238  2 .5071928E+07   3600020E-02  .1027E+02 -.5015E+02   .9999944  .0018260 -.0027902
T  239  2 .5076347E+07   3600020E-02  .6017E+02  .1276E+02   .9999998  .0005055 -.0004510
T  240  2 .5074745E+07   3600216E-02 -.1491E+03 -.1645E+03   .9999211 -.0074625 -.0101008
T  241  2 .5072117E+07   3600181E-02  .1171E+03  .5190E+02   .9999656  .0079343  .0024207
T  242  2 .5094693E+07   3600087E-02  .2943E+02  .4332E+02   .9999992 -.0001001 -.0012681
T  243  2 .5073881E+07   3600214E-02 -.3970E+01  .9858E+02   .9999854 -.0053656  .0005917
T  244  2 .5099529E+07   3600208E-02  .1159E+02 -.6791E+02   .9999889 -.0007487 -.0046579
T  245  2 .5088026E+07   3600116E-02  .1123E+02 -.4453E+02   .9999933 -.0010387 -.0034960
T  246  2 .5101792E+07   3600177E-02 -.9309E+00 -.3840E+02   .9999973 -.0014465  .0018055
T  247  2 .5077756E+07   3600196E-02  .3355E+02  .1672E+02   .9999879  .0038798 -.0030172
T  248  2 .5053838E+07   3600170E-02  .1833E+03 -.1978E+03   .9999780  .0061663 -.0024294
T  249  2 .5069983E+07   3600097E-02 -.6898E+02  .1084E+03   .9999067  .0007044  .0136441
T  250  2 .5066561E+07   3600072E-02 -.6733E+02 -.1022E+03   .9999795 -.0000063 -.0064056
T  251  2 .5081231E+07   3600107E-02 -.7091E+02  .7032E+02   .9999780 -.0042556  .0050817
T  252  2 .5082172E+07   3600196E-02 -.3081E+02 -.9671E+02   .9999604 -.0032290 -.0082936
T  253  2 .5072499E+07   3600147E-02 -.9129E+02  .8013E+02   .9999921 -.0034598  .0019442
T  254  2 .5051286E+07   3600188E-02  .1709E+03  .1941E+02   .9998775  .0141009 -.0067986
T  255  2 .5082142E+07   3600057E-02 -.7424E+02  .8630E+02   .9999822 -.0040767  .0043564
T  256  2 .5086983E+07   3600008E-02  .5646E+02 -.3088E+02   .9999927  .0019457 -.0032820
T  257  2 .5060555E+07   3600001E-02 -.4784E+02 -.7729E+02   .9999839 -.0031819 -.0046997
T  258  2 .5074280E+07   3600147E-02  .4976E+02 -.1424E+02   .9999972  .0014668 -.0018424
T  259  2 .5111387E+07   3600151E-02 -.6468E+02 -.3651E+02   .9999995 -.0009799 -.0001849
T  260  2 .5082748E+07   3600180E-02 -.6016E+02 -.4623E+02   .9999935 -.0033105 -.0014284
T  261  2 .5089057E+07   3600159E-02 -.8801E+01 -.1233E+03   .9999962  .0000269 -.0027466
T  262  2 .5061805E+07   3600209E-02  .8417E+02 -.6083E+02   .9999753  .0001125 -.0070252
T  263  2 .5073604E+07   3600152E-02  .4173E+02 -.2677E+02   .9999984  .0017110  .0004610
T  264  2 .5067860E+07   3600174E-02  .7668E+02 -.9079E+02   .9999830  .0020360 -.0054648
T  265  2 .5084328E+07   3600114E-02 -.2703E+02 -.8266E+02   .9999738  .0052266 -.0050108
T  266  2 .5077141E+07   3600115E-02 -.1329E+02  .4250E+02   .9999996 -.0007597  .0003956
T  267  2 .5063409E+07   3600132E-02 -.7423E+01  .8101E+02   .9999877  .0034828  .0035440
T  268  2 .5070522E+07   3600167E-02  .7781E+02  .5057E+01   .9999866  .0049616 -.0014448
T  269  2 .5089105E+07   3600083E-02 -.5183E+02 -.1599E+00   .9999981 -.0011994 -.0015663
T  270  2 .5054422E+07   3600173E-02  .6880E+01  .3046E+02   .9999992 -.0007114  .0010181
T  271  2 .5091104E+07   3600141E-02 -.4049E+01 -.5668E+02   .9999989  .0014791  .0003107
T  272  2 .5081793E+07   3600147E-02  .4345E+02 -.2082E+02   .9999972  .0017158  .0016232
T  273  2 .5078432E+07   3600055E-02 -.6141E+02 -.4642E+02   .9999664 -.0068892 -.0044537
T  274  2 .5080408E+07   3600151E-02 -.4145E+02 -.2589E+02   .9999938 -.0022631 -.0026952
T  275  2 .5073172E+07   3600008E-02  .9749E+02  .3378E+03   .9999138  .0066211  .0113387
T  276  2 .5078291E+07   3600052E-02 -.6327E+02 -.1210E+03   .9999915 -.0024497 -.0033289
T  277  2 .5059310E+07   3600200E-02  .4718E+02  .2859E+02   .9999894  .0045751  .0004272
T  278  2 .5091282E+07   3600025E-02 -.5498E+03 -.3530E+03   .9997639 -.0184551 -.0114698
T  279  2 .5062945E+07   3600194E-02  .1081E+03 -.1123E+02   .9999747  .0071026 -.0003779
T  280  2 .5086443E+07   3600072E-02 -.1810E+02 -.2171E+02   .9999903 -.0038953 -.0020772
T  281  2 .5096730E+07   3600126E-02  .1218E+02  .1715E+02   .9999999 -.0001785  .0004090
T  282  2 .5064358E+07   3600187E-02  .2434E+02 -.4195E+02   .9999870 -.0002120 -.0050882
T  283  2 .5061050E+07   3600144E-02 -.3402E+02 -.2259E+02   .9999871 -.0035604  .0036117
T  284  2 .5062799E+07   3600157E-02  .1964E+02 -.1104E+02   .9999930 -.0008094 -.0036590
T  285  2 .5103863E+07   3600000E-02 -.1267E+03  .1653E+03   .9999527 -.0071208  .0066287
T  286  2 .5092874E+07   3600048E-02  .2393E+02 -.3833E+02   .9999965  .0025407  .0006968
T  287  2 .5094084E+07   3600122E-02 -.4111E+01  .1110E+03   .9999869  .0008019  .0050555
T  288  2 .5096056E+07   3600119E-02 -.2020E+03 -.1740E+02   .9999811 -.0060628  .0009756
T  289  2 .5049174E+07   3600013E-02 -.1568E+03 -.1326E+03   .9999520 -.0088374 -.0042305
T  290  2 .5099557E+07   3600217E-02 -.6900E+01 -.4943E+02   .9999986  .0001480 -.0016740
T  291  2 .5046219E+07   3600137E-02  .3028E+01  .2103E+02   .9999966  .0003671  .0025693
T  292  2 .5083092E+07   3600213E-02 -.5179E+02  .7167E+02   .9999879 -.0031513  .0037899
T  293  2 .5078694E+07   3600049E-02  .8289E+02  .1893E+02   .9999820  .0055521  .0022744
T  294  2 .5059842E+07   3600074E-02  .2384E+02 -.2240E+03   .9999198  .0020416 -.0125027
T  295  2 .5084079E+07   3600195E-02  .2671E+02  .7137E+02   .9999727  .0023814  .0069934
T  296  2 .5066317E+07   3600124E-02 -.1891E+02  .1132E+02   .9999990 -.0013918  .0000155
T  297  2 .5078701E+07   3600036E-02 -.2313E+02 -.9132E+02   .9999676 -.0058330 -.0055453
T  298  2 .5070213E+07   3600078E-02  .7833E+02  .7667E+02   .9999473  .0066301  .0078406
T  299  2 .5090284E+07   3600098E-02 -.1572E+02 -.5535E+02   .9999989 -.0011011 -.0010358
T  300  2 .5068781E+07   3600147E-02 -.2842E+03 -.1082E+03   .9998151 -.0142992 -.0128530
T  301  2 .5072899E+07   3600167E-02  .4484E+02 -.2167E+02   .9999964  .0025653 -.0008214
T  302  2 .5054396E+07   3600052E-02 -.4239E+02  .8324E+02   .9999803 -.0039126  .0049114
T  303  2 .5076674E+07   3600213E-02  .3118E+02 -.8555E+02   .9999941 -.0000949 -.0034371
T  304  2 .5108923E+07   3600190E-02 -.5067E+02  .2830E+02   .9999895 -.0042956  .0015960
T  305  2 .5070646E+07   3600011E-02 -.5286E+02  .1340E+03   .9999664 -.0038268  .0072548
T  306  2 .5089199E+07   3600174E-02  .9630E+02  .1677E+02   .9999980  .0019022  .0006688
T  307  2 .5085862E+07   3600216E-02 -.2350E+02 -.3699E+02   .9999984 -.0000354 -.0018142
T  308  2 .5087146E+07   3600061E-02 -.6066E+01  .6122E+02   .9999961  .0026382  .0009287
T  309  2 .5076466E+07   3600064E-02  .5868E+02  .1150E+03   .9999920  .0021646  .0033760
T  310  2 .5082553E+07   3600017E-02 -.5808E+02 -.2645E+02   .9999960 -.0026654 -.0009857
T  311  2 .5063940E+07   3600059E-02  .1749E+03 -.1767E+03   .9999847  .0042935 -.0034865
T  312  2 .5069182E+07   3600153E-02  .6447E+02 -.6367E+02   .9998967  .0070629 -.0125200
T  313  2 .5078262E+07   3600210E-02 -.2583E+02 -.1061E+03   .9999770 -.0031022 -.0060350
T  314  2 .5074984E+07   3600144E-02 -.5627E+02 -.6115E+02   .9999725 -.0049610 -.0055064
T  315  2 .5084942E+07   3600076E-02  .8549E+02  .4275E+02   .9999991  .0013352  .0000813
T  316  2 .5074353E+07   3600066E-02 -.1191E+02 -.1842E+02   .9999932  .0028273 -.0023867
T  317  2 .5065312E+07   3600151E-02  .7272E+01  .2164E+02   .9999979 -.0001823  .0020591
T  318  2 .5076773E+07   3600160E-02  .4900E+02  .1495E+03   .9999584 -.0027282  .0087065
T  319  2 .5074260E+07   3600199E-02 -.2187E+02  .6556E+02   .9999990 -.0003713  .0013401
T  320  2 .5067619E+07   3600216E-02  .5173E+02 -.4794E+02   .9999983  .0017099  .0006203
T  321  2 .5076567E+07   3600056E-02 -.5945E+02 -.7602E+01   .9999980 -.0012356  .0015813
T  322  2 .5088232E+07   3600121E-02  .1058E+03  .8415E+02   .9999796  .0046130  .0044174
T  323  2 .5071199E+07   3600068E-02 -.8135E+02 -.7062E+02   .9999835 -.0027681 -.0050428
T  324  2 .5096018E+07   3600100E-02  .3323E+02 -.3239E+01   .9999979  .0010968  .0017528
T  325  2 .5100931E+07   3600025E-02  .4991E+02 -.4233E+02   .9999961  .0008574 -.0026642
T  326  2 .5095264E+07   3600092E-02 -.1347E+03 -.1893E+02   .9999820 -.0060044  .0000918
T  327  2 .5069003E+07   3600191E-02  .1314E+01  .1461E+03   .9999982 -.0012246  .0014688
T  328  2 .5091870E+07   3600100E-02  .4070E+02  .5574E+02   .9999501  .0073846  .0067350
T  329  2 .5081260E+07   3600067E-02 -.7229E+02  .9384E+02   .9999734 -.0056279  .0046332
T  330  2 .5112715E+07   3600188E-02  .1760E+03 -.2207E+01   .9999780  .0066279  .0002829
T  331  2 .5096257E+07   3600200E-02 -.4460E+02  .5460E+02   .9999957  .0002769  .0029066
T  332  2 .5072341E+07   3600160E-02  .7040E+01  .3054E+02   .9999833  .0028780  .0050191
T  333  2 .5078869E+07   3600157E-02  .1373E+03  .7734E+01   .9999806  .0061284  .0010941
T  334  2 .5036471E+07   3600194E-02 -.1964E+02  .3514E+04   .9878069 -.0043102  .1556246
T  335  2 .5073406E+07   3600209E-02  .3476E+02 -.1156E+02   .9999933  .0036437  .0003430
T  336  2 .5070258E+07   3600030E-02  .1220E+02  .9324E+02   .9999756  .0057963  .0038869
T  337  2 .5061537E+07   3600116E-02  .4282E+02 -.4279E+02   .9999976  .0017952 -.0012764
T  338  2 .5088994E+07   3600170E-02 -.5270E+02 -.1330E+02   .9999891 -.0040896 -.0022643
T  339  2 .5065640E+07   3600147E-02 -.2578E+02  .2089E+02   .9999956 -.0020166  .0021563
T  340  2 .5067363E+07   3600169E-02 -.7106E+02  .6663E+02   .9999969 -.0016056  .0019056
T  341  2 .5069866E+07   3600192E-02 -.1473E+02 -.5739E+02   .9999891 -.0046442 -.0003663
T  342  2 .5081292E+07   3600136E-02  .9804E+02  .3475E+03   .9998105  .0073366  .0180329
T  343  2 .5084110E+07   3600058E-02  .4255E+02 -.1972E+01   .9999916  .0039194 -.0012027
T  344  2 .5069703E+07   3600170E-02  .4201E+02 -.7297E+02   .9999809  .0022121 -.0057659
T  345  2 .5084814E+07   3600076E-02 -.6578E+02  .1293E+02   .9999946 -.0030146 -.0013457
T  346  2 .5054394E+07   3600161E-02 -.3196E+03 -.4316E+01   .9998960 -.0144051 -.0006767
T  347  2 .5053312E+07   3600192E-02  .9777E+02  .2538E+02   .9999942  .0033829  .0002889
T  348  2 .5094664E+07   3600073E-02  .1108E+03 -.4850E+01   .9999833  .0051456  .0026320
T  349  2 .5098412E+07   3600016E-02 -.3896E+02  .6502E+02   .9999918 -.0013756  .0038003
T  350  2 .5076532E+07   3600125E-02  .4403E+02  .6073E+02   .9999839  .0021704  .0052469
T  351  2 .5066122E+07   3600128E-02  .1001E+03 -.3212E+02   .9999939  .0034508 -.0005538
T  352  2 .5064960E+07   3600044E-02  .1115E+03  .1203E+03   .9999474  .0017217  .0101104
T  353  2 .5069233E+07   3600093E-02 -.9524E+02 -.1082E+03   .9999886 -.0009484 -.0046889
T  354  2 .5064610E+07   3600114E-02  .2871E+02 -.5914E+02   .9999966  .0017538 -.0019122
T  355  2 .5072551E+07   3600053E-02 -.4443E+02 -.4798E+03   .9998398 -.0001729 -.0178974
T  356  2 .5085379E+07   3600217E-02 -.1807E+03 -.4930E+02   .9999700 -.0063386 -.0044434
T  357  2 .5076764E+07   3600163E-02 -.5873E+02  .4457E+02   .9999885 -.0036284  .0031248
T  358  2 .5063176E+07   3600132E-02 -.3687E+02 -.1774E+03   .9999285 -.0079785 -.0089113
T  359  2 .5080729E+07   3600167E-02  .1224E+03  .1338E+03   .9999680  .0062591  .0049762
T  360  2 .5065164E+07   3600101E-02  .2294E+02 -.6011E+02   .9999934  .0019297 -.0030849
T  361  2 .5051721E+07   3600075E-02  .3262E+02 -.1061E+03   .9999801 -.0010268 -.0062191
T  362  2 .5062194E+07   3600072E-02  .7087E+02 -.7265E+02   .9999913  .0025439 -.0033164
T  363  2 .5064487E+07   3600009E-02 -.2585E+02  .9904E+01   .9999934 -.0022962 -.0028185
T  364  2 .5086345E+07   3600178E-02 -.3992E+00 -.5522E+02   .9999991  .0012212 -.0005667
T  365  2 .5082543E+07   3600006E-02 -.6671E+02  .7262E+02   .9999883 -.0041846  .0024441
T  366  2 .5098885E+07   3600010E-02 -.5481E+02  .1079E+03   .9999926 -.0007838  .0037741
T  367  2 .5079060E+07   3600004E-02  .1480E+03  .8547E+02   .9999845  .0055105  .0008390
T  368  2 .5085805E+07   3600013E-02  .4384E+00 -.1101E+03   .9999930 -.0027603 -.0025353
T  369  2 .5041256E+07   3600151E-02  .1110E+03 -.5972E+02   .9999834  .0035808 -.0045231
T  370  2 .5073317E+07   3600192E-02 -.1770E+02 -.2315E+02   .9999996  .0000816 -.0009133
T  371  2 .5096186E+07   3600030E-02 -.6410E+02  .1014E+03   .9999733 -.0051819  .0051561
T  372  2 .5063847E+07   3600146E-02  .5190E+02 -.6208E+01   .9999945  .0013812  .0030141
T  373  2 .5074890E+07   3600031E-02  .1008E+02  .1253E+03   .9999763  .0027820  .0063039
T  374  2 .5092003E+07   3600100E-02  .1969E+02  .8389E+02   .9999957  .0000192  .0029281
T  375  2 .5090802E+07   3600059E-02  .1388E+02  .8022E+02   .9999938  .0007135  .0034366
T  376  2 .5075141E+07   3600142E-02 -.4722E+03  .1037E+02   .9997596 -.0219262 -.0002025
T  377  2 .5079979E+07   3600094E-02  .6841E+02 -.1772E+02   .9998020  .0165694 -.0110208
T  378  2 .5102842E+07   3600004E-02  .2150E+01 -.1320E+03   .9999685  .0009119 -.0078806
T  379  2 .5072615E+07   3600172E-02 -.2591E+02  .4716E+02   .9999964  .0016141  .0021281
T  380  2 .5076268E+07   3600154E-02  .5277E+02  .1072E+03   .9998762  .0126099  .0094134
T  381  2 .5065847E+07   3600035E-02  .3351E+01  .2217E+02   .9999864 -.0048133  .0020293
T  382  2 .5059439E+07   3600140E-02  .7103E+01 -.6216E+02   .9999976  .0016123 -.0014846
T  383  2 .5088665E+07   3600212E-02  .9025E+02 -.1613E+02   .9999985  .0016102 -.0006370
T  384  2 .5078113E+07   3600019E-02 -.6694E+02  .8982E+02   .9999995 -.0007707 -.0005632
T  385  2 .5079270E+07   3600192E-02  .2975E+03 -.7158E+02   .9999317  .0111828 -.0034006
T  386  2 .5090222E+07   3600142E-02  .3699E+01  .2959E+02   .9999915 -.0022319  .0034615
T  387  2 .5090200E+07   3600118E-02 -.6039E+02  .5390E+02   .9999928 -.0035265  .0013706
T  388  2 .5091526E+07   3600008E-02  .9239E+02 -.2969E+02   .9999757  .0061725  .0032469
T  389  2 .5095200E+07   3600025E-02  .1472E+03 -.7944E+02   .9999679 -.0023727 -.0076543
T  390  2 .5067133E+07   3600182E-02 -.4783E+02  .9304E+02   .9999810 -.0030718  .0053427
T  391  2 .5071290E+07   3600132E-02  .1510E+03 -.3941E+02   .9999573  .0076565 -.0051813
T  392  2 .5061446E+07   3600091E-02 -.7262E+00 -.2124E+02   .9999991 -.0013613 -.0000324
T  393  2 .5076079E+07   3600187E-02 -.2058E+03 -.2252E+03   .9998892 -.0095581 -.0114122
T  394  2 .5088696E+07   3600167E-02 -.1154E+01 -.4344E+02   .9999999 -.0002890 -.0001071
T  395  2 .5088023E+07   3600210E-02 -.1311E+03 -.2401E+02   .9998142 -.0192730  .0002708
T  396  2 .5087976E+07   3600101E-02 -.1646E+02  .1058E+02   .9999995 -.0010331  .0000780
T  397  2 .5079730E+07   3600042E-02  .1451E+03 -.7747E+02   .9991505  .0287633 -.0295115
T  398  2 .5077357E+07   3600194E-02 -.3519E+02  .4687E+02   .9999986 -.0009775  .0013930
T  399  2 .5058690E+07   3600000E-02  .5165E+02 -.8871E+01   .9999969  .0020160 -.0014708
T  400  2 .5104846E+07   3600036E-02 -.5877E+02 -.3931E+02   .9999829 -.0036827 -.0045341
T  401  2 .5059047E+07   3600024E-02 -.1050E+03  .4545E+02   .9998306 -.0167303  .0076704
T  402  2 .5079854E+07   3600043E-02 -.1175E+03 -.2373E+02   .9999958 -.0028466 -.0005727
T  403  2 .5078752E+07   3600039E-02  .1035E+03  .4375E+00   .9999822  .0059349 -.0005518
T  404  2 .5098019E+07   3600150E-02 -.6724E+02  .1138E+03   .9999672 -.0035326  .0072921
T  405  2 .5093697E+07   3600120E-02  .1238E+03 -.1808E+01   .9999925  .0038782  .0001912
T  406  2 .5099108E+07   3600086E-02  .5195E+03  .8002E+01   .9996067  .0280250 -.0009904
T  407  2 .5083688E+07   3600188E-02  .6202E+02 -.2392E+02   .9999837  .0027814 -.0049928
T  408  2 .5091469E+07   3600044E-02  .4550E+02  .6455E+02   .9999982  .0018953 -.0002060
T  409  2 .5075825E+07   3600183E-02 -.5304E+02 -.3160E+02   .9999823 -.0040421 -.0043698
T  410  2 .5095609E+07   3600202E-02 -.8595E+02 -.2149E+02   .9999440 -.0103416  .0022629
T  411  2 .5073453E+07   3600199E-02  .1755E+02 -.1726E+02   .9999838  .0026714 -.0050193
T  412  2 .5097671E+07   3600144E-02  .4934E+01 -.5127E+02   .9999966 -.0006762 -.0025274
T  413  2 .5078855E+07   3600217E-02  .1949E+02 -.4312E+02   .9999970  .0007261 -.0023407
T  414  2 .5069235E+07   3600169E-02  .1362E+02  .4734E+02   .9999975 -.0009424  .0020287
T  415  2 .5087469E+07   3600023E-02 -.4879E+02  .1862E+02   .9999844 -.0055849  .0002346
T  416  2 .5085518E+07   3600140E-02  .5472E+02  .1812E+02   .9999934  .0024380  .0027081
T  417  2 .5088716E+07   3600142E-02 -.6821E+02  .4531E+01   .9999971 -.0006551  .0023198
T  418  2 .5079523E+07   3600040E-02 -.2078E+03  .1270E+03   .9998997 -.0125008  .0066543
T  419  2 .5060740E+07   3600000E-02 -.2723E+02  .1270E+03   .9999849 -.0001412  .0054966
T  420  2 .5078450E+07   3600090E-02 -.6521E+02 -.2393E+01   .9999958 -.0027178  .0010382
T  421  2 .5082768E+07   3600080E-02  .5049E+01 -.6703E+01   .9999918 -.0040575  .0000857
T  422  2 .5096270E+07   3600135E-02  .2347E+02 -.1722E+01   .9999966  .0025542 -.0004534
T  423  2 .5077795E+07   3600107E-02 -.6379E+02 -.1240E+03   .9999601 -.0054221 -.0070982
T  424  2 .5088637E+07   3600004E-02  .5501E+02  .1820E+02   .9999959  .0027195  .0008446
T  425  2 .5061631E+07   3600133E-02  .1294E+02 -.5950E+01   .9999914 -.0037123  .0018581
T  426  2 .5072667E+07   3600038E-02 -.4015E+02 -.1848E+03   .9999412 -.0012402 -.0107770
T  427  2 .5076966E+07   3600057E-02  .4159E+01  .6274E+02   .9999790 -.0003631  .0064744
T  428  2 .5084111E+07   3600160E-02  .2790E+02 -.5888E+02   .9999632  .0006550 -.0085587
T  429  2 .5073917E+07   3600162E-02 -.6131E+02 -.1735E+02   .9999854 -.0031352 -.0043994
T  430  2 .5098038E+07   3600140E-02  .5179E+02  .2388E+02   .9999848  .0039591 -.0038413
T  431  2 .5078105E+07   3600020E-02  .4218E+02 -.3802E+02   .9999926 -.0003851 -.0038158
T  432  2 .5083719E+07   3600115E-02  .2403E+02  .2342E+02   .9999996  .0006407 -.0005906
T  433  2 .5085600E+07   3600177E-02  .3099E+02 -.6780E+02   .9999764 -.0024581 -.0064192
T  434  2 .5074626E+07   3600162E-02  .1503E+02 -.2678E+02   .9999985  .0000749  .0017266
T  435  2 .5056461E+07   3600045E-02  .3986E+02  .3623E+03   .9997790 -.0048252  .0204603
T  436  2 .5079892E+07   3600201E-02  .2976E+02 -.1816E+01   .9999946 -.0021372  .0024986
T  437  2 .5098144E+07   3600079E-02 -.8278E+02 -.1014E+03   .9999934  .0016220 -.0032407
T  438  2 .5090878E+07   3600093E-02  .5567E+02  .1155E+03   .9999698  .0022267  .0074427
T  439  2 .5059581E+07   3600092E-02 -.1107E+03 -.9177E+02   .9999695 -.0068936 -.0036764
T  440  2 .5059917E+07   3600153E-02 -.7884E+02 -.4412E+02   .9999568 -.0072326 -.0058455
T  441  2 .5068757E+07   3600038E-02 -.1323E+02 -.2836E+03   .9998698 -.0025058 -.0159395
T  442  2 .5066364E+07   3600181E-02  .2925E+02 -.1368E+03   .9999704  .0067001 -.0037861
T  443  2 .5075520E+07   3600139E-02  .5448E+02 -.9459E+02   .9999986 -.0010808 -.0012533
T  444  2 .5075223E+07   3600092E-02 -.1846E+03 -.2495E+02   .9999631 -.0085880  .0003042
T  445  2 .5075722E+07   3600129E-02 -.3494E+02  .5287E+02   .9999911 -.0033235  .0025993
T  446  2 .5071895E+07   3600158E-02  .6420E+02 -.7627E+02   .9999849  .0053351  .0012994
T  447  2 .5075147E+07   3600125E-02 -.9014E+01  .5718E+02   .9999990  .0000935  .0013753
T  448  2 .5062069E+07   3600037E-02  .3983E+01 -.1773E+02   .9999977  .0020193 -.0007824
T  449  2 .5083090E+07   3600155E-02  .3019E+02 -.1525E+02   .9999957  .0005662  .0028720
T  450  2 .5089294E+07   3600028E-02  .1844E+03 -.5759E+03   .9998022  .0075071 -.0184161
T  451  2 .5089532E+07   3600202E-02  .1646E+02 -.6047E+02   .9999979  .0013963 -.0014813
T  452  2 .5081189E+07   3600213E-02  .1942E+02  .6233E+02   .9999993 -.0005456  .0010946
T  453  2 .5080276E+07   3600029E-02  .4881E+01  .3241E+02   .9999971  .0019635  .0013978
T  454  2 .5068044E+07   3600212E-02 -.1531E+02 -.1030E+03   .9999673 -.0034991 -.0072844
T  455  2 .5059032E+07   3600197E-02  .4244E+01 -.1373E+02   .9999979 -.0020099 -.0004180
T  456  2 .5062283E+07   3600059E-02  .2291E+02 -.1221E+03   .9999908 -.0019370 -.0038231
T  457  2 .5075349E+07   3600075E-02  .1247E+03 -.2588E+02   .9999694  .0076205  .0017709
T  458  2 .5078157E+07   3600195E-02  .4460E+03  .9725E+02   .9997485  .0221402  .0035696
T  459  2 .5099086E+07   3600085E-02  .1322E+02 -.7824E+02   .9999981  .0002094  .0019261
T  460  2 .5061140E+07   3600155E-02  .3008E+01  .1003E+03   .9999906 -.0019507  .0038785
T  461  2 .5085081E+07   3600144E-02  .5775E+02  .1803E+02   .9999901  .0038900 -.0021649
T  462  2 .5075883E+07   3600189E-02  .4925E+02 -.1872E+03   .9999641  .0028398 -.0079814
T  463  2 .5078552E+07   3600087E-02  .3930E+02  .7047E+02   .9999929  .0016466  .0033935
T  464  2 .5091481E+07   3600086E-02 -.2649E+02 -.2588E+02   .9999964 -.0019751 -.0018080
T  465  2 .5073047E+07   3600155E-02  .6564E+02 -.2771E+03   .9999469  .0030036 -.0098534
T  466  2 .5058005E+07   3600030E-02  .6888E+01 -.2226E+02   .9999964 -.0020559 -.0017435
T  467  2 .5076451E+07   3600207E-02 -.4214E+01 -.8831E+02   .9999936  .0006674 -.0035064
T  468  2 .5073551E+07   3600016E-02 -.1235E+02  .2785E+02   .9999952  .0008328  .0029899
T  469  2 .5090105E+07   3600141E-02  .2460E+02  .2890E+02   .9999969  .0011883  .0021964
T  470  2 .5064282E+07   3600182E-02 -.8184E+02  .4361E+02   .9999927 -.0031488  .0021677
T  471  2 .5054513E+07   3600086E-02 -.5766E+02  .8773E+02   .9999822 -.0019087  .0056506
T  472  2 .5091096E+07   3600034E-02  .4852E+01 -.1044E+03   .9999976  .0006733 -.0020848
T  473  2 .5069219E+07   3600003E-02 -.2092E+02 -.1181E+02   .9999983  .0009333 -.0016040
T  474  2 .5081338E+07   3600187E-02  .3248E+03 -.6683E+02   .9998610  .0160630 -.0044569
T  475  2 .3732359E+07   3600058E-02 -.4482E+04  .9499E+04   .4649743 -.3815752  .7988738
T  476  2 .5098611E+07   3600118E-02 -.2343E+02 -.1009E+03   .9999817 -.0017061 -.0058058
