============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  2 .5075147E+07   3600116E-02 -.8347E+01  .4059E+02   .9999905 -.0000947  .0043669
T   55  2 .5076389E+07   3600141E-02  .6397E+02  .4631E+02   .9999873  .0024660  .0043862
T   56  2 .5066460E+07   3600052E-02  .4382E+03  .7834E+03   .9981435  .0296064  .0532265
T   57  2 .5076395E+07   3600025E-02 -.4314E+01  .1332E+02   .9999980 -.0008620  .0018017
T   58  2 .5094697E+07   3600073E-02  .5370E+01  .8717E+02   .9999041  .0011164  .0138054
T   59  2 .5067618E+07   3600066E-02  .2152E+03  .2016E+03   .9998892  .0114442  .0095177
T   60  2 .5081581E+07   3600051E-02 -.5812E+02  .2023E+03   .9999301 -.0066310  .0097922
T   61  2 .5088572E+07   3600185E-02  .5227E+02 -.6350E+00   .9999823  .0034860  .0048156
T   62  2 .5065757E+07   3600152E-02 -.8515E+02 -.4573E+02   .9999917 -.0028464 -.0029192
T   63  2 .5069969E+07   3600093E-02  .2036E+02 -.1004E+03   .9999911  .0013635 -.0039814
T   64  2 .5079001E+07   3600192E-02  .7916E+02  .3902E+02   .9999929  .0036779  .0008483
T   65  2 .5102962E+07   3600023E-02 -.7657E+02  .1189E+02   .9999938 -.0034577  .0006133
T   66  2 .5083196E+07   3600004E-02  .4259E+02 -.4656E+02   .9999905  .0039644 -.0018377
T   67  2 .5090867E+07   3600045E-02 -.1283E+03  .3188E+02   .9999474 -.0102319  .0007741
T   68  2 .5075431E+07   3600041E-02  .4914E+02  .2149E+02   .9999985  .0016479  .0004520
T   69  2 .5076473E+07   3600119E-02 -.2741E+02  .6827E+02   .9999819 -.0049143  .0034763
T   70  2 .5076891E+07   3600133E-02 -.1373E+03  .7541E+02   .9999546 -.0090498  .0029674
T   71  2 .5064908E+07   3600217E-02  .1008E+03  .1558E+03   .9999890  .0020066  .0042349
T   72  2 .5089949E+07   3600194E-02 -.5562E+02 -.3882E+02   .9999995  .0004442 -.0008579
T   73  2 .5083992E+07   3600187E-02 -.3079E+00  .1247E+02   .9999969 -.0018154  .0017160
T   74  2 .5075760E+07   3600098E-02 -.1987E+02  .7918E+02   .9999957  .0010552  .0027514
T   75  2 .5068119E+07   3600070E-02 -.1125E+02  .8763E+01   .9999963 -.0019200  .0019358
T   76  2 .5086457E+07   3600104E-02 -.2346E+02  .2025E+01   .9999931  .0034299 -.0014242
T   77  2 .5086593E+07   3600168E-02  .4548E+01 -.4455E+02   .9999911 -.0011775 -.0040436
T   78  2 .5084132E+07   3600209E-02 -.5685E+02  .3641E+02   .9999999 -.0002858  .0002879
T   79  2 .5075182E+07   3600002E-02  .2927E+02 -.7530E+02   .9999863  .0020799 -.0047935
T   80  2 .5089262E+07   3600122E-02  .1136E+03 -.2955E+02   .9999602  .0071309 -.0053642
T   81  2 .5041189E+07   3600042E-02  .8869E+02  .8603E+02   .9999854  .0013160  .0052381
T   82  2 .5088030E+07   3600183E-02  .2052E+02  .1231E+02   .9999982 -.0018643  .0004249
T   83  2 .5075223E+07   3600133E-02 -.3689E+02 -.1465E+00   .9999954  .0020138 -.0022765
T   84  2 .5073749E+07   3600179E-02  .4307E+02 -.1996E+02   .9999871  .0050701 -.0000437
T   85  2 .5063437E+07   3600191E-02  .7331E+02  .1085E+03   .9999360  .0088233  .0070864
T   86  2 .5106656E+07   3600015E-02  .2569E+02 -.7207E+02   .9999847  .0017406 -.0052464
T   87  2 .5070595E+07   3600199E-02  .3367E+02 -.1145E+03   .9999669  .0011565 -.0080579
T   88  2 .5091233E+07   3600204E-02 -.7757E+02  .1084E+03   .9999805 -.0021534  .0058567
T   89  2 .5056653E+07   3600157E-02  .2195E+03 -.4100E+02   .9999560  .0091778 -.0019371
T   90  2 .5065216E+07   3600053E-02 -.1361E+03  .3740E+02   .9999708 -.0069547  .0031602
T   91  2 .5065809E+07   3600020E-02  .4715E+02  .7816E+02   .9999852  .0010500  .0053337
T   92  2 .5074273E+07   3600049E-02  .1470E+02 -.1302E+02   .9999976  .0022067  .0001742
T   93  2 .5072570E+07   3600132E-02  .1769E+02  .3598E+03   .9992445  .0021727  .0388031
T   94  2 .5080826E+07   3600199E-02  .1258E+02  .2620E+02   .9999806  .0037538  .0049697
T   95  2 .5094752E+07   3600079E-02 -.9854E+02  .6517E+02   .9999942 -.0031068  .0014056
T   96  2 .5082227E+07   3600016E-02 -.1650E+03  .3539E+02   .9999642 -.0082811  .0017533
T   97  2 .5089153E+07   3600185E-02 -.5276E+02 -.4900E-01   .9999997  .0002648  .0007545
T   98  2 .5083715E+07   3600184E-02  .6429E+02 -.3861E+02   .9999846  .0048660 -.0026689
T   99  2 .5103127E+07   3600114E-02  .5710E+02 -.4411E+02   .9999948  .0012786 -.0029612
T  100  2 .5077634E+07   3600164E-02 -.3475E+02 -.2725E+02   .9999939 -.0011976 -.0032722
T  101  2 .5073332E+07   3600005E-02  .1413E+02 -.5033E+02   .9999548 -.0092943  .0019864
T  102  2 .5062242E+07   3600073E-02  .2628E+02 -.6045E+02   .9999900 -.0010041 -.0043491
T  103  2 .5062114E+07   3600150E-02  .1012E+03  .1635E+02   .9999978  .0013135  .0016485
T  104  2 .5090079E+07   3600041E-02  .8177E+02  .2081E+02   .9999976  .0014071  .0016861
T  105  2 .5075221E+07   3600041E-02 -.5100E+02 -.5084E+02   .9999514 -.0032959 -.0092958
T  106  2 .5049847E+07   3600056E-02 -.2127E+03 -.5280E+03   .9993983 -.0071145 -.0339484
T  107  2 .5078069E+07   3600140E-02 -.1475E+02  .1739E+02   .9999999  .0000576 -.0000200
T  108  2 .5089538E+07   3600174E-02 -.3282E+02  .6791E+02   .9999297 -.0115657  .0026169
T  109  2 .5062536E+07   3600216E-02  .1053E+03  .1453E+02   .9999820  .0059099  .0010677
T  110  2 .5091351E+07   3600163E-02 -.8999E+01 -.4723E+02   .9999994  .0007067 -.0008901
T  111  2 .5083663E+07   3600079E-02  .9082E+02 -.6219E+02   .9999185  .0083408 -.0096622
T  112  2 .5086824E+07   3600063E-02  .9657E+02  .1172E+02   .9999911  .0036438 -.0021165
T  113  2 .5078574E+07   3600211E-02  .4173E+03  .2857E+03   .9997781  .0164370  .0131776
T  114  2 .5083596E+07   3600016E-02 -.8550E+02  .1067E+03   .9999265 -.0072789  .0096957
T  115  2 .5051234E+07   3600034E-02 -.1081E+02  .8557E+02   .9999945 -.0027482  .0018714
T  116  2 .5071949E+07   3600110E-02 -.4758E+02  .4951E+02   .9999949 -.0001493  .0031874
T  117  2 .5063080E+07   3600200E-02 -.9065E+02  .6845E+02   .9999695 -.0062897  .0046402
T  118  2 .5065424E+07   3600000E-02 -.2244E+02  .8262E+02   .9999942 -.0018324  .0028803
T  119  2 .5082037E+07   3600040E-02 -.9258E+02 -.1968E+02   .9999917 -.0038415 -.0013241
T  120  2 .5080225E+07   3600002E-02 -.6328E+02  .5594E+02   .9999716  .0000700  .0075367
T  121  2 .5104316E+07   3600035E-02  .4528E+02 -.3170E+02   .9999992  .0011178  .0005013
T  122  2 .5079726E+07   3600138E-02 -.1641E+03  .2905E+02   .9999747 -.0069099 -.0016986
